4'没有机会将球回敲                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'梅西左路拿球                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'给到了保利尼奥                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'禁区外围的远射被内托托出了横梁                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'巴萨的角球                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'角球送前点                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'第一点被后卫顶出来                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'巴萨右路再传                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
4'再要一个角球                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
5'打了一个战术                   4'开场仅4分钟，梅西传球，保利尼奥30码处重炮轰门被内托托出横梁
30'角球送禁区                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'落点不好                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'梅西这边禁区外围远射                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'内托出现了失误                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'脱手了                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'球往门里走                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'被内托从里面掏了出去                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'裁判没算进                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
30'但这球慢镜头回看是整体越过了门线                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
31'错判啊！！                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
31'梅西前场拿球被铲倒                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
32'孔多比亚得到一张黄牌！！                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
32'巴萨的任意球                   30'第30分钟出现明显误判，苏亚雷斯传球，梅西禁区前劲射令内托脱手，回放显示皮球明显越过门线，巴萨球员也开始庆祝，但裁判并未判罚进球有效
60'瓦伦西亚左路拿球                   60'瓦伦西亚第60分钟打破僵局，格德斯直传，加亚切入禁区左侧传中，特尔施特根前点拦截落空，罗德里戈近距离推射空门得手
60'1-0！！！                   60'瓦伦西亚第60分钟打破僵局，格德斯直传，加亚切入禁区左侧传中，特尔施特根前点拦截落空，罗德里戈近距离推射空门得手
60'罗德里戈！！！                   60'瓦伦西亚第60分钟打破僵局，格德斯直传，加亚切入禁区左侧传中，特尔施特根前点拦截落空，罗德里戈近距离推射空门得手
61'格德斯左路接球给到底线，加亚接球到禁区，横敲到小禁区，罗德里戈门前推射破门！！                   60'瓦伦西亚第60分钟打破僵局，格德斯直传，加亚切入禁区左侧传中，特尔施特根前点拦截落空，罗德里戈近距离推射空门得手
61'塞梅多这边两次出现失误                   60'瓦伦西亚第60分钟打破僵局，格德斯直传，加亚切入禁区左侧传中，特尔施特根前点拦截落空，罗德里戈近距离推射空门得手
61'最终被瓦伦西亚抓住一次机会破门                   60'瓦伦西亚第60分钟打破僵局，格德斯直传，加亚切入禁区左侧传中，特尔施特根前点拦截落空，罗德里戈近距离推射空门得手
61'看看巴萨接下来如何应对                   60'瓦伦西亚第60分钟打破僵局，格德斯直传，加亚切入禁区左侧传中，特尔施特根前点拦截落空，罗德里戈近距离推射空门得手
82'1-1！！！                   82'巴萨第82分钟扳平，梅西斜传，阿尔巴小禁区边缘凌空垫射入网，1-1
82'阿尔巴！！                   82'巴萨第82分钟扳平，梅西斜传，阿尔巴小禁区边缘凌空垫射入网，1-1
82'送出助攻的是梅西                   82'巴萨第82分钟扳平，梅西斜传，阿尔巴小禁区边缘凌空垫射入网，1-1
83'梅西前场挑传给到禁区，阿尔巴插上后将身体甩了出去，一记飞铲将球打进远端！！                   82'巴萨第82分钟扳平，梅西斜传，阿尔巴小禁区边缘凌空垫射入网，1-1
83'这球打进也是难度非常大                   82'巴萨第82分钟扳平，梅西斜传，阿尔巴小禁区边缘凌空垫射入网，1-1
