22'米兰进球了！！！                   22'AC米兰第22分钟取得领先
22'博纳文图拉！！！                   22'AC米兰第22分钟取得领先
23'禁区前的远射破门！                   22'AC米兰第22分钟取得领先
23'米兰1-0领先！                   22'AC米兰第22分钟取得领先
23'低平球直窜球门右下角                   22'AC米兰第22分钟取得领先
24'切塞纳右路传中，阿比亚蒂把球没收                   22'AC米兰第22分钟取得领先
24'出击和拉米撞在一起                   22'AC米兰第22分钟取得领先
25'没有大碍                   22'AC米兰第22分钟取得领先
25'梅内左路背身拿球回带，被绊倒                   22'AC米兰第22分钟取得领先
48'梅内右路背身拿球被绊倒                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
48'布里恩扎右路传中，德费乌迪斯射门被阿比亚蒂扑出！                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
48'险些破门                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
49'角球开出，后点切塞纳队员争顶犯规                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
49'上半场比赛结束！                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
48'德容禁区前传中，后点争顶双方撞在一起                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
49'尼卡和安东内利，尼卡倒地了                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
49'眉骨撞破出血了                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
49'安东内利没有大碍，尼卡也起身了，简单的处理一下                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
50'布里恩扎右路拿球回敲                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
50'久里奇禁区后点接应传中，射门被安东内利封堵                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
51'布里恩扎禁区前等球了，安东内利上抢                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
51'梅内右路接应转移球，出边线了                   48'上半时补时第3分钟，布里恩扎斜传禁区左侧，在门前9米处半凌空抽射被阿比亚蒂神勇封出
70'梅内右路斜传进禁区，帕齐尼头球顶偏                   70'第70分钟，梅内右路长途奔袭40米，先后两次人球分过，禁区右侧小角度打高
71'梅内右路突破，进禁区被伦泽蒂破坏                   70'第70分钟，梅内右路长途奔袭40米，先后两次人球分过，禁区右侧小角度打高
73'穆丁加伊中场被蒙托利沃拦截                   70'第70分钟，梅内右路长途奔袭40米，先后两次人球分过，禁区右侧小角度打高
73'帕齐尼禁区右侧拿球，抽射中边网                   70'第70分钟，梅内右路长途奔袭40米，先后两次人球分过，禁区右侧小角度打高
73'安东内利中场上抢犯规了                   70'第70分钟，梅内右路长途奔袭40米，先后两次人球分过，禁区右侧小角度打高
88'切尔奇左路拿球，内切被绊倒                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
88'裁判黄牌警告了卡佩利                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
90'任意球进禁区                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
90'裁判给了点球                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
90'慢镜头来看没有明显犯规，安东内利倒地                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
90'帕齐尼一蹴而就                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
90'米兰2-0锁定胜局                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
90'下半场部署5分钟                   88'第88分钟，切尔奇左路内切被沃尔塔放倒，沃尔塔吃到黄牌，博纳文图拉左侧开出任意球，安东内利后点被卡沃内罗拉倒，托马西吹罚点球
