1'上半场比赛开始！                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
1'上半场由曼城率先中圈开球                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
1'巴塞罗那在后场倒脚                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
1'特尔施特根交给了伊涅斯塔                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
1'倒脚也很冒险，几乎在门线上传球                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
2'内马尔前场得球分给梅西                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
2'梅西内切后直传                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
2'内马尔右路沿底线带球突进了禁区                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
2'倒三角传中，传到了梅西身后                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
2'中场依然是巴塞罗那控球                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
2'阿尔巴回传给乌姆蒂蒂                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
3'再交给特尔施特根，传给了伊涅斯塔                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
3'球被断了，费尔南迪尼奥回传后场给了科拉罗夫                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
3'科拉罗夫往前开大脚，到了右路的萨巴莱塔                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
4'萨巴莱塔与诺利托做二过一配合后地滚球斜传禁区，特尔施特根倒地将球控制                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
4'拉基蒂奇中场送直传，给大了一点                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
4'布拉沃将球控制                   1'斯特林第1分钟右路连续利用速度突击后传中均给巴萨防线带来麻烦
17'回复：枪手-含笑半步癫 03:01 举报回复 第一次没有明确支持哪个队（确实是两难选择）                   17'巴萨第17分钟取得领先，梅西直传伊涅斯塔被萨巴莱塔及时封堵，但费尔南迪尼奥滑倒，梅西拿球轻松晃过前队友布拉沃后射入空门
17'曼城后防线出现重大失误！                   17'巴萨第17分钟取得领先，梅西直传伊涅斯塔被萨巴莱塔及时封堵，但费尔南迪尼奥滑倒，梅西拿球轻松晃过前队友布拉沃后射入空门
17'梅西进球了！                   17'巴萨第17分钟取得领先，梅西直传伊涅斯塔被萨巴莱塔及时封堵，但费尔南迪尼奥滑倒，梅西拿球轻松晃过前队友布拉沃后射入空门
18'梅西左路带球上来，直传，苏亚雷斯接应横敲，回防的费尔南迪尼奥滑倒了，梅西中路单刀盘过了布拉沃打进空门！                   17'巴萨第17分钟取得领先，梅西直传伊涅斯塔被萨巴莱塔及时封堵，但费尔南迪尼奥滑倒，梅西拿球轻松晃过前队友布拉沃后射入空门
