2'马内下底到中路                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
2'乔-哈特单拳将球击出                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
2'马内禁区外围低射一脚                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
2'打得太正被乔-哈特得到                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
3'曼城中场拿球转移                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
3'纳斯里右路拿球没有机会                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
3'曼城前场倒脚还是给到右路                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
3'底线的下底送后点                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
3'纳斯里这边没有抢到                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
4'马蒂纳中场争抢的时候先犯规                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
4'曼城左路进攻没有打起来                   2'马内开场仅2分钟在禁区边缘外的劲射被没收
20'曼城这边也获得机会                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'范迪克后场自己玩火                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'曼城这边前场断球后低平球送禁区中路                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'斯特林跟进推射                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'这球推的太正了                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'福斯特将球扑了出去                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'费尔南迪尼奥前场禁区弧顶战术犯规                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'延缓了对方的进攻速度                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
21'费尔南迪尼奥得到一张黄牌！                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
22'动作不大，但是一个明显的战术犯规                   20'曼城第20分钟险些破门，伊赫纳乔切入禁区左侧回传，斯特林10码处的射门角度稍正，福斯特及时将皮球扑出
25'1-0！！！                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
25'肖恩-朗！！！                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
25'自己职业生涯的第100球！！                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
25'此时此刻值得来杯嘉士伯                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
26'南安普敦中场长传打身后，队友底线接球直接传到中路，肖恩-朗跟进直接将球踹进球门                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
27'南安普敦右路送直塞                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
27'曼城这次不敢大意将球滑铲出边线                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
28'曼城左路带球到底线                   25'第25分钟，马蒂纳长传，塔迪奇禁区右侧底线附近外脚背凌空钩回，肖恩-朗小禁区边缘凌空踹入网窝
44'曼城这边的反击也是没有起速                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
44'2-1！！！                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
44'伊赫纳乔！！                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
45'曼城前场拿球给到右路，纳斯里低平球给到禁区内，马蒂纳解围失误，球正好弹到中间，伊赫纳乔顺势头球攻门将球顶进！！                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
45'此时此刻值得来杯嘉士伯                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
46'南安普敦前场拿球给到左路                   44'曼城第44分钟扳回一城，伊赫纳乔突破分球，纳斯里右路传中，马蒂纳解围失误，伊赫纳乔小禁区前头球破门，1-2
