4'张晨龙把球断下直传球向前                   4'第4分钟，萨马尔季奇后场中路起球到门前，直接被韩锋没收
4'中圈中路扎哈维策应遭到逼抢                   4'第4分钟，萨马尔季奇后场中路起球到门前，直接被韩锋没收
6'陈灏带球到了前场右路                   4'第4分钟，萨马尔季奇后场中路起球到门前，直接被韩锋没收
6'中圈前沿杨阔一记回敲                   4'第4分钟，萨马尔季奇后场中路起球到门前，直接被韩锋没收
7'外围中路两队拼抢                   4'第4分钟，萨马尔季奇后场中路起球到门前，直接被韩锋没收
7'雷纳迪尼奥前场中路被放倒在地                   4'第4分钟，萨马尔季奇后场中路起球到门前，直接被韩锋没收
6'陈灏带球到了前场右路                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
6'中圈前沿杨阔一记回敲                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
7'外围中路两队拼抢                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
7'雷纳迪尼奥前场中路被放倒在地                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
8'中圈左侧黄政宇直传球向前                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
8'张晨龙再次低平球往前传，被顾操踢出界外                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
9'唐淼把球拿到，面对逼抢晃过对方                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
9'再回传给到身后                   6'第6分钟，黄政宇左路传中，扎哈维中路包抄踢空，吴龑反应迅速将球扑出，随后的角球中，唐淼外围远射打高
9'唐淼把球拿到，面对逼抢晃过对方                   9'第9分钟，建业门将险些玩火，韩峰开大脚直接打到了陈灏的身上，球最终弹出了底线
9'再回传给到身后                   9'第9分钟，建业门将险些玩火，韩峰开大脚直接打到了陈灏的身上，球最终弹出了底线
11'黄政宇就地反抢，在将球断下回传给了后场的队友                   9'第9分钟，建业门将险些玩火，韩峰开大脚直接打到了陈灏的身上，球最终弹出了底线
11'后场韩锋禁区内得球                   9'第9分钟，建业门将险些玩火，韩峰开大脚直接打到了陈灏的身上，球最终弹出了底线
12'雷纳迪尼奥跟进到了禁区内右侧，扎哈维中路包抄一脚推射被吴龑抱住                   9'第9分钟，建业门将险些玩火，韩峰开大脚直接打到了陈灏的身上，球最终弹出了底线
12'吴龑大脚开球，禁区前沿右侧陈灏斜传给到身前                   9'第9分钟，建业门将险些玩火，韩峰开大脚直接打到了陈灏的身上，球最终弹出了底线
15'中圈汪嵩拿球遭到逼抢，挑传给到左侧                   15'第15分钟，陈灏右路内切后送出过顶传球，奥斯曼前插至禁区后踢空，韩锋将球拿到，随后奥斯曼踢到韩锋，被主裁判出示黄牌
16'黄政宇带球推进过了半场                   15'第15分钟，陈灏右路内切后送出过顶传球，奥斯曼前插至禁区后踢空，韩锋将球拿到，随后奥斯曼踢到韩锋，被主裁判出示黄牌
16'吉安努前场右路追球，撞倒了身前的李晓明                   15'第15分钟，陈灏右路内切后送出过顶传球，奥斯曼前插至禁区后踢空，韩锋将球拿到，随后奥斯曼踢到韩锋，被主裁判出示黄牌
17'陈灏向前给出一记半高球，直接被韩锋没收                   15'第15分钟，陈灏右路内切后送出过顶传球，奥斯曼前插至禁区后踢空，韩锋将球拿到，随后奥斯曼踢到韩锋，被主裁判出示黄牌
17'奥斯曼冲撞门将吃到了一张黄牌                   15'第15分钟，陈灏右路内切后送出过顶传球，奥斯曼前插至禁区后踢空，韩锋将球拿到，随后奥斯曼踢到韩锋，被主裁判出示黄牌
21'后场中路汪嵩得球，到了中圈弧右侧                   21'第21分钟，尹鸿博中场长传，奥斯曼胸部停球后过掉唐淼，随后起左脚劲射，韩锋反应迅速将球扑到
22'于洋把球拿到，横敲张贤秀                   21'第21分钟，尹鸿博中场长传，奥斯曼胸部停球后过掉唐淼，随后起左脚劲射，韩锋反应迅速将球扑到
22'扎哈维转身再要带球推进被尹鸿博铲断                   21'第21分钟，尹鸿博中场长传，奥斯曼胸部停球后过掉唐淼，随后起左脚劲射，韩锋反应迅速将球扑到
23'前场左路两队拼抢，陈灏拿球遭到侵犯                   21'第21分钟，尹鸿博中场长传，奥斯曼胸部停球后过掉唐淼，随后起左脚劲射，韩锋反应迅速将球扑到
23'张晨龙后场左路拿球，向前方一脚过顶长传被外力拿到                   21'第21分钟，尹鸿博中场长传，奥斯曼胸部停球后过掉唐淼，随后起左脚劲射，韩锋反应迅速将球扑到
25'底线尹鸿博一记回敲                   25'第25分钟，扎哈维带球到禁区前给到雷纳尔迪尼奥，后者脚后跟一磕给到右路跟上的扎哈维，扎哈维右路小角度打门，皮球滑门而出
25'外围左侧李晓明弧线球传中，韩锋出击把球没收                   25'第25分钟，扎哈维带球到禁区前给到雷纳尔迪尼奥，后者脚后跟一磕给到右路跟上的扎哈维，扎哈维右路小角度打门，皮球滑门而出
26'雷纳迪尼奥脚后跟一磕，扎哈维跟进禁区内右侧打门，皮球滑门而过                   25'第25分钟，扎哈维带球到禁区前给到雷纳尔迪尼奥，后者脚后跟一磕给到右路跟上的扎哈维，扎哈维右路小角度打门，皮球滑门而出
28'前场左路扎哈维带球内切给到身前左侧                   25'第25分钟，扎哈维带球到禁区前给到雷纳尔迪尼奥，后者脚后跟一磕给到右路跟上的扎哈维，扎哈维右路小角度打门，皮球滑门而出
33'建业前场争顶，陈灏中路拿到第二点转身直接打门，球打在张贤秀身上弹出                   33'第33分钟，建业前场争顶，陈灏中路拿到第二点转身直接打门，球打在张贤秀身上弹出
33'中圈被陈志钊断下，回敲后场的于洋                   33'第33分钟，建业前场争顶，陈灏中路拿到第二点转身直接打门，球打在张贤秀身上弹出
35'右路杨阔跟进弧线球传中，被张晨龙身体挡出边线                   33'第33分钟，建业前场争顶，陈灏中路拿到第二点转身直接打门，球打在张贤秀身上弹出
35'杨阔前场右路抛出界外球                   33'第33分钟，建业前场争顶，陈灏中路拿到第二点转身直接打门，球打在张贤秀身上弹出
36'外围右侧帕蒂尼奥得球给到冯卓毅                   33'第33分钟，建业前场争顶，陈灏中路拿到第二点转身直接打门，球打在张贤秀身上弹出
36'冯卓毅边路传中，黄征宇头球解围                   33'第33分钟，建业前场争顶，陈灏中路拿到第二点转身直接打门，球打在张贤秀身上弹出
40'前场右路杨阔寻求撞墙配合                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
40'可惜陈灏的传球被张晨龙踢出界外                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
40'前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
41'黄政宇斜传给到身前                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
41'中圈后侧张贤秀向前方一脚过顶长传                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
41'雷纳迪尼奥的前插，可惜被吴龑抱住                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
43'于洋贴身盯防把球踢出底线                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
43'尹鸿博开出角球，后点陈灏甩头攻门被韩锋没收                   40'第40分钟，前场右路杨阔大力抛出皮球，到了禁区内右侧，帕蒂尼奥得球转身打门偏出底线
47'再给身后的雷纳迪尼奥                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
47' 雷纳迪尼奥左路起速突破被杨阔挡出底线                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
48'角球开出来，前点汪嵩蹭到打在外力身上出了底线                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
48'再次角球开出，又出了底线                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
47'黄征宇后场犯规吃到一张黄牌                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
48'任意球开出，做了个配合，奥斯曼直接打门，皮球偏出右侧立柱                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
49'陈志钊带球推进斜传给到身前                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
49'右路唐淼飞速前插得球                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
50'雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围                   47'上半场补时2分钟，上半场比赛双方暂时0-0平
50'雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围                   50'第50分钟，雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围
51' 张晨龙横敲中路，汪嵩遭到逼抢                   50'第50分钟，雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围
51' 黄政宇斜传给到身前                   50'第50分钟，雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围
52'建业换人，钟晋宝替下冯卓毅                   50'第50分钟，雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围
52'尹鸿博直传球向前，奥斯曼禁区右侧拿球                   50'第50分钟，雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围
53'奥斯曼右侧拿球弧线球传中，帕蒂尼奥跟进头球攻门得手，但被吹越位在先                   50'第50分钟，雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围
53'回放显示是个好球啊                   50'第50分钟，雷纳迪尼奥右侧弧线球传中，点球点附近扎哈维背身拿球回做，跟进的陈志钊准备打门遭到干扰后被对方大脚解围
53'奥斯曼右侧拿球弧线球传中，帕蒂尼奥跟进头球攻门得手，但被吹越位在先                   53'第53分钟，奥斯曼右侧拿球弧线球传中，帕蒂尼奥跟进头球攻门得手，但被吹越位在先
53'回放显示是个好球啊                   53'第53分钟，奥斯曼右侧拿球弧线球传中，帕蒂尼奥跟进头球攻门得手，但被吹越位在先
54'扎哈维分球，雷纳迪尼奥禁区内右侧得球直接攻门被防守球员封堵                   53'第53分钟，奥斯曼右侧拿球弧线球传中，帕蒂尼奥跟进头球攻门得手，但被吹越位在先
55' 陈志钊横敲中路                   53'第53分钟，奥斯曼右侧拿球弧线球传中，帕蒂尼奥跟进头球攻门得手，但被吹越位在先
56'扎哈维禁区前沿拿球分左侧，雷纳迪尼奥停球打门被顾操踢出底线                   53'第53分钟，奥斯曼右侧拿球弧线球传中，帕蒂尼奥跟进头球攻门得手，但被吹越位在先
55' 陈志钊横敲中路                   55'第55分钟，扎哈维禁区前沿拿球分左侧，雷纳迪尼奥停球打门被顾操踢出底线
56'扎哈维禁区前沿拿球分左侧，雷纳迪尼奥停球打门被顾操踢出底线                   55'第55分钟，扎哈维禁区前沿拿球分左侧，雷纳迪尼奥停球打门被顾操踢出底线
57'富力进球啦                   55'第55分钟，扎哈维禁区前沿拿球分左侧，雷纳迪尼奥停球打门被顾操踢出底线
57'顾操禁区内手球吃到黄牌，并给了富力点球机会，扎哈维点球一蹴而就                   55'第55分钟，扎哈维禁区前沿拿球分左侧，雷纳迪尼奥停球打门被顾操踢出底线
61'韩锋禁区内给出一记长传球                   60'第60分钟，雷纳迪尼奥禁区内右侧分球，禁区前沿，陈志钊打门被后卫封堵
61'球被李晓明头球往前                   60'第60分钟，雷纳迪尼奥禁区内右侧分球，禁区前沿，陈志钊打门被后卫封堵
62'唐淼禁区右侧拿球弧线球传中，中路吉安努甩头攻门被吴龑摘下                   60'第60分钟，雷纳迪尼奥禁区内右侧分球，禁区前沿，陈志钊打门被后卫封堵
65'张贤秀长传，中圈被外力断球                   65'第65分钟，建业换人，路尧上场替下杨阔
65'给到帕蒂尼奥，摆脱后给到奥斯曼                   65'第65分钟，建业换人，路尧上场替下杨阔
65'奥斯曼跟进打门，飞出底线                   65'第65分钟，建业换人，路尧上场替下杨阔
66'建业换人，路尧上场替下杨阔                   65'第65分钟，建业换人，路尧上场替下杨阔
66'路尧四十五度角传中                   65'第65分钟，建业换人，路尧上场替下杨阔
