3'拜仁第3分钟就开纪录，比达尔！                   2'拜仁欧冠前2分钟内打进6球，排名首位
3'科斯塔右路斜传长到前场左路，里贝里得球横传禁区，后排插上的比达尔头球攻门球进！                   2'拜仁欧冠前2分钟内打进6球，排名首位
5'拜仁第3分钟就取得1：0领先                   2'拜仁欧冠前2分钟内打进6球，排名首位
5'里贝里状态非常好，要到一个左路的角球机会                   2'拜仁欧冠前2分钟内打进6球，排名首位
57'本菲卡的机会                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
57'桑切斯中场断球斜塞                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
57'盖坦爆射被诺伊尔扑出                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
58'本菲卡又是逮住机会反抢                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
58'不过霍纳斯手球了                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
58'霍纳斯中场防守犯规，凶狠地踩到了比达尔的脚面犯规                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
59'霍纳斯吃到一张黄牌！                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
59'霍纳斯将缺席双方次回合的比赛                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
59'莱万多夫斯基分左路的里贝里                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
59'传中被林德罗夫挡一下，贝尔纳特跟进劲射打高了                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
59'拜仁换人，8号哈维-马丁内斯换下了33号基米希                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
60'回复：过底线 前几年的本菲卡欧冠可以说是次一流伪豪门，和大巴黎马竞打也是四六开，还能取胜，现在居然被拜仁，现在就成了二流水平，（（也正常）                   57'本菲卡第57分钟几乎扳平，若纳斯禁区左侧转身扣过阿拉巴，在门前11米处左脚推射被诺伊尔封出
84'刚才球是折射出底线，拜仁右路的角球机会                   84'第84分钟，里贝里右侧开出角球，莱万头球落在球网上方
84'里贝里里贝里发到禁区里，莱万多夫斯基头球攻门顶得稍稍有点高                   84'第84分钟，里贝里右侧开出角球，莱万头球落在球网上方
85'拜仁换人，19号格策换下了25号穆勒                   84'第84分钟，里贝里右侧开出角球，莱万头球落在球网上方
86'科曼回中场接应，桑切斯推人犯规                   84'第84分钟，里贝里右侧开出角球，莱万头球落在球网上方
86'下半场进行了40分钟，拜仁仍然只以1：0领先                   84'第84分钟，里贝里右侧开出角球，莱万头球落在球网上方
87'拉姆压上来给了好球，科曼扣回来传后点，传太高了                   84'第84分钟，里贝里右侧开出角球，莱万头球落在球网上方
87'科曼的传中还是得练练                   84'第84分钟，里贝里右侧开出角球，莱万头球落在球网上方
89'拉姆右路控球，格策护球回给比达尔                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
89'比达尔穿透力极强的斜塞，里贝里反越位成功单刀球还横拔                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
89'拔大了，拉姆也有点反应不过来再去追时没有射门角度了                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
89'拉姆底线前将球停好传中，传大了                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
89'本菲卡反击                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
90'皮奇右路内切远射，打偏得不少                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
90'更正一下，刚才单刀横传的是莱万多夫斯基！                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
91'本菲卡换人，2号洛佩斯换下了21号皮奇                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
91'下半场补时5分钟                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
92'马丁内斯回给诺伊尔                   89'拜仁第89分钟错过绝佳机会，比达尔直传撕开防线，莱万反越位成功，禁区左侧形成单刀，但他没有自己射门，想推给另一侧插上的拉姆，结果没能送到队长脚下
