1'上半场比赛                   1'双方第1分钟均显得小心谨慎
1'上半场由利物浦开球                   1'双方第1分钟均显得小心谨慎
1'埃雷拉分边右路的阿什利扬                   1'双方第1分钟均显得小心谨慎
1'直传，马蒂奇将球破坏出边线                   1'双方第1分钟均显得小心谨慎
1'瓦伦西亚右路掷界外球                   1'双方第1分钟均显得小心谨慎
1'阿什利扬接应交给瓦伦西亚                   1'双方第1分钟均显得小心谨慎
2'瓦伦西亚的传中，洛夫伦将球挡出底线                   1'双方第1分钟均显得小心谨慎
2'曼联右路的角球                   1'双方第1分钟均显得小心谨慎
2'姆希塔良发前点，维纳尔杜姆将球踢出底线                   1'双方第1分钟均显得小心谨慎
2'继续是角球                   1'双方第1分钟均显得小心谨慎
2'姆希塔良发角球，洛夫伦头球解围                   1'双方第1分钟均显得小心谨慎
2'外围达米安远射，打高了                   1'双方第1分钟均显得小心谨慎
3'洛夫伦亨德森合回传给洛夫伦                   1'双方第1分钟均显得小心谨慎
3'再交给亨德森，回传给了米尼奥莱                   1'双方第1分钟均显得小心谨慎
3'马蒂普接应                   1'双方第1分钟均显得小心谨慎
3'直传被姆希塔良拦截，姆希塔良的分边球，球出边线                   1'双方第1分钟均显得小心谨慎
3'莫雷诺回传给米尼奥莱                   1'双方第1分钟均显得小心谨慎
3'交给洛夫伦                   1'双方第1分钟均显得小心谨慎
4'交给马蒂普                   1'双方第1分钟均显得小心谨慎
4'横传给洛夫伦                   1'双方第1分钟均显得小心谨慎
4'与莫雷诺互传一下                   1'双方第1分钟均显得小心谨慎
4'埃姆雷詹带球上来分给莫雷诺，莫雷诺直传给大了                   1'双方第1分钟均显得小心谨慎
4'瓦伦西亚拿球回传给德赫亚                   1'双方第1分钟均显得小心谨慎
4'德赫亚开大脚上来                   1'双方第1分钟均显得小心谨慎
4'洛夫伦控球                   1'双方第1分钟均显得小心谨慎
