13'勒沃库森球员基斯林拼抢犯规,对手获得控球权.                   13'开场13分钟，胡尔克右路左脚开出任意球，门前无人碰到，球击中远门柱
13'哈维-加西亚为泽尼特在右路,赢得一个任意球.                   13'开场13分钟，胡尔克右路左脚开出任意球，门前无人碰到，球击中远门柱
14'多纳蒂为勒沃库森在右路,赢得一个任意球.                   13'开场13分钟，胡尔克右路左脚开出任意球，门前无人碰到，球击中远门柱
14'泽尼特球员克里西托拼抢犯规,对手获得控球权.                   13'开场13分钟，胡尔克右路左脚开出任意球，门前无人碰到，球击中远门柱
15'勒沃库森球员拉斯-本德大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是恰尔汉奥卢.                   13'开场13分钟，胡尔克右路左脚开出任意球，门前无人碰到，球击中远门柱
16'基斯林为勒沃库森赢得一个任意球.                   13'开场13分钟，胡尔克右路左脚开出任意球，门前无人碰到，球击中远门柱
16'泽尼特球员维特塞尔拼抢犯规,对手获得控球权.                   13'开场13分钟，胡尔克右路左脚开出任意球，门前无人碰到，球击中远门柱
49'勒沃库森球员基斯林拼抢犯规,对手获得控球权.                   47'2分钟后，丹尼又直传托普拉克身后，克尔扎科夫趟过门将莱诺，但也失去了射门角度，右路打在边网上
49'哈维-加西亚为泽尼特赢得一个任意球.                   47'2分钟后，丹尼又直传托普拉克身后，克尔扎科夫趟过门将莱诺，但也失去了射门角度，右路打在边网上
50'孙兴民为勒沃库森赢得一个任意球.                   47'2分钟后，丹尼又直传托普拉克身后，克尔扎科夫趟过门将莱诺，但也失去了射门角度，右路打在边网上
50'泽尼特球员维特塞尔拼抢犯规,对手获得控球权.                   47'2分钟后，丹尼又直传托普拉克身后，克尔扎科夫趟过门将莱诺，但也失去了射门角度，右路打在边网上
68'进球啦！！！勒沃库森球员孙兴民大禁区外右脚射门,球从右下角飞进球门,球进了!助攻的是贝拉拉比. 泽尼特 0-1 勒沃库森.                   68'第68分钟，勒沃库森凭借巧妙任意球配合打破僵局，恰尔汉奥卢塞给禁区前沿无人盯防的贝拉拉比，贝拉拉比回做，孙兴民在门前26米处弧线球贴右门柱入网，1比0
70'勒沃库森球员基斯林拼抢犯规,对手获得控球权.                   68'第68分钟，勒沃库森凭借巧妙任意球配合打破僵局，恰尔汉奥卢塞给禁区前沿无人盯防的贝拉拉比，贝拉拉比回做，孙兴民在门前26米处弧线球贴右门柱入网，1比0
70'哈维-加西亚为泽尼特在对方半场,赢得一个任意球.                   68'第68分钟，勒沃库森凭借巧妙任意球配合打破僵局，恰尔汉奥卢塞给禁区前沿无人盯防的贝拉拉比，贝拉拉比回做，孙兴民在门前26米处弧线球贴右门柱入网，1比0
70'泽尼特球员胡尔克大禁区外左脚射门,被防守球员封堵.                   68'第68分钟，勒沃库森凭借巧妙任意球配合打破僵局，恰尔汉奥卢塞给禁区前沿无人盯防的贝拉拉比，贝拉拉比回做，孙兴民在门前26米处弧线球贴右门柱入网，1比0
70'基斯林将球处理出底线,泽尼特获得角球.                   68'第68分钟，勒沃库森凭借巧妙任意球配合打破僵局，恰尔汉奥卢塞给禁区前沿无人盯防的贝拉拉比，贝拉拉比回做，孙兴民在门前26米处弧线球贴右门柱入网，1比0
71'基斯林为勒沃库森赢得一个任意球.                   68'第68分钟，勒沃库森凭借巧妙任意球配合打破僵局，恰尔汉奥卢塞给禁区前沿无人盯防的贝拉拉比，贝拉拉比回做，孙兴民在门前26米处弧线球贴右门柱入网，1比0
71'泽尼特球员维特塞尔拼抢犯规,对手获得控球权.                   68'第68分钟，勒沃库森凭借巧妙任意球配合打破僵局，恰尔汉奥卢塞给禁区前沿无人盯防的贝拉拉比，贝拉拉比回做，孙兴民在门前26米处弧线球贴右门柱入网，1比0
89'进球啦！！！泽尼特球员隆东大禁区中央右脚射门,球从左上角飞进球门,球进了!助攻的是梁赞采夫. 泽尼特 1-2 勒沃库森.                   89'第89分钟，龙东横传，梁赞采夫禁区弧顶胸部停球挑传，龙东反越位距门7米处凌空垫射入网，1比2
90'+1'勒沃库森换人,克鲁斯换下基斯林                   89'第89分钟，龙东横传，梁赞采夫禁区弧顶胸部停球挑传，龙东反越位距门7米处凌空垫射入网，1比2
90'+2'勒沃库森球员克鲁斯大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是德尔米奇.                   89'第89分钟，龙东横传，梁赞采夫禁区弧顶胸部停球挑传，龙东反越位距门7米处凌空垫射入网，1比2
90'+2'托普拉克为勒沃库森赢得一个任意球.                   89'第89分钟，龙东横传，梁赞采夫禁区弧顶胸部停球挑传，龙东反越位距门7米处凌空垫射入网，1比2
90'+2'泽尼特球员隆东拼抢犯规,对手获得控球权.                   89'第89分钟，龙东横传，梁赞采夫禁区弧顶胸部停球挑传，龙东反越位距门7米处凌空垫射入网，1比2
90'+4'下半场结束,泽尼特 1-2 勒沃库森                   89'第89分钟，龙东横传，梁赞采夫禁区弧顶胸部停球挑传，龙东反越位距门7米处凌空垫射入网，1比2
