5'利物浦球员何塞-恩里克大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   5'第5分钟，恩里克前场抢断后远射偏出
6'维冈球员A-科内拼抢犯规,对手获得控球权.                   5'第5分钟，恩里克前场抢断后远射偏出
6'阿格尔为利物浦赢得一个任意球.                   5'第5分钟，恩里克前场抢断后远射偏出
7'利物浦球员苏索大禁区外左脚射门,被防守球员封堵.给他传球的是乔-阿伦.                   5'第5分钟，恩里克前场抢断后远射偏出
8'菲格罗亚为维冈赢得一个任意球.                   5'第5分钟，恩里克前场抢断后远射偏出
8'利物浦球员苏亚雷斯拼抢犯规,对手获得控球权.                   5'第5分钟，恩里克前场抢断后远射偏出
14'维冈球员沃森大禁区外尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是A-科内.                   14'第14分钟，科内回传，本-沃森30码处爆射高出
22'利物浦球员格伦-约翰逊大禁区外右脚射门,被防守球员封堵.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
22'沃森将球处理出底线,利物浦获得角球.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
23'利物浦球员阿格尔大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是杰拉德.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
23'射门!!!利物浦球员苏索大禁区外左脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
24'利物浦球员苏索拼抢犯规,对手获得控球权.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
24'麦卡锡为维冈赢得一个任意球.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
24'利物浦球员杰拉德拼抢犯规,对手获得控球权.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
24'博塞豪尔为维冈在左路,赢得一个任意球.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
25'阿格尔将球处理出底线,维冈获得角球.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
25'利物浦球员斯特林拼抢犯规,对手获得控球权.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
25'沃森为维冈在对方半场,赢得一个任意球.                   22'第22分钟，维冈解围角球，格伦-约翰逊禁区弧顶的射门又被麦卡锡挡出，杰拉德再开角球，阿格尔小禁区边缘外头球攻门偏出
25'阿格尔将球处理出底线,维冈获得角球.                   25'第25分钟，斯特灵禁区前对本-沃森犯规，后者重伤离场，拉米斯25码处任意球直接射门被挡出
25'利物浦球员斯特林拼抢犯规,对手获得控球权.                   25'第25分钟，斯特灵禁区前对本-沃森犯规，后者重伤离场，拉米斯25码处任意球直接射门被挡出
25'沃森为维冈在对方半场,赢得一个任意球.                   25'第25分钟，斯特灵禁区前对本-沃森犯规，后者重伤离场，拉米斯25码处任意球直接射门被挡出
26'维冈沃森受伤倒地,比赛暂停                   25'第25分钟，斯特灵禁区前对本-沃森犯规，后者重伤离场，拉米斯25码处任意球直接射门被挡出
34'维冈球员菲格罗亚大禁区外尝试左脚射门,可惜皮球偏出球门.                   34'第34分钟，菲格罗亚25码处任意球直接射门送上看台
35'苏亚雷斯为利物浦在对方半场,赢得一个任意球.                   34'第34分钟，菲格罗亚25码处任意球直接射门送上看台
35'维冈球员麦卡锡拼抢犯规,对手获得控球权.                   34'第34分钟，菲格罗亚25码处任意球直接射门送上看台
36'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球高出球门.                   34'第34分钟，菲格罗亚25码处任意球直接射门送上看台
36'利物浦换人,亨德森上,苏索因伤下场.                   34'第34分钟，菲格罗亚25码处任意球直接射门送上看台
40'利物浦球员杰拉德大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   40'第40分钟，杰拉德远射偏出
55'射门!!!维冈球员迪桑托大禁区外右脚射门,被对方守门员横身扑出.给他传球的是博塞豪尔.                   55'第55分钟，博塞茹尔25码处劲射偏转后被雷纳没收
56'利物浦球员亨德森大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   55'第55分钟，博塞茹尔25码处劲射偏转后被雷纳没收
57'格伦-约翰逊将球处理出底线,维冈获得角球.                   55'第55分钟，博塞茹尔25码处劲射偏转后被雷纳没收
58'进球啦！！！利物浦球员苏亚雷斯大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是何塞-恩里克. 利物浦 2-0 维冈.                   55'第55分钟，博塞茹尔25码处劲射偏转后被雷纳没收
58'进球啦！！！利物浦球员苏亚雷斯大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是何塞-恩里克. 利物浦 2-0 维冈.                   58'利物浦第58分钟扩大比分，恩里克直传，反越位成功的苏亚雷斯12码处单刀捅射破门梅开二度
60'格伦-约翰逊为利物浦赢得一个任意球.                   58'利物浦第58分钟扩大比分，恩里克直传，反越位成功的苏亚雷斯12码处单刀捅射破门梅开二度
60'维冈球员A-科内拼抢犯规,对手获得控球权.                   58'利物浦第58分钟扩大比分，恩里克直传，反越位成功的苏亚雷斯12码处单刀捅射破门梅开二度
61'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是杰拉德.                   58'利物浦第58分钟扩大比分，恩里克直传，反越位成功的苏亚雷斯12码处单刀捅射破门梅开二度
61'利物浦球员苏亚雷斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是杰拉德.                   61'第61分钟，杰拉德传球，苏亚雷斯禁区前射门偏出
63'利物浦球员苏亚雷斯球门右侧小角度右脚射门,被防守球员封堵.给他传球的是斯特林.                   61'第61分钟，杰拉德传球，苏亚雷斯禁区前射门偏出
63'麦卡锡将球处理出底线,利物浦获得角球.                   61'第61分钟，杰拉德传球，苏亚雷斯禁区前射门偏出
65'射门!!!利物浦球员斯特林大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是苏亚雷斯.                   64'第64分钟，苏亚雷斯拼抢中踩踏大卫-琼斯脚踝侥幸逃脱处罚
65'进球啦！！！利物浦球员何塞-恩里克球门线跟前右脚射门,球从中路飞进球门,球进了! 利物浦 3-0 维冈.                   64'第64分钟，苏亚雷斯拼抢中踩踏大卫-琼斯脚踝侥幸逃脱处罚
66'维冈球员迪桑托被主裁判出示了一张黄牌.                   64'第64分钟，苏亚雷斯拼抢中踩踏大卫-琼斯脚踝侥幸逃脱处罚
66'维冈球员加里-考德威尔被主裁判出示了一张黄牌.                   64'第64分钟，苏亚雷斯拼抢中踩踏大卫-琼斯脚踝侥幸逃脱处罚
67'利物浦球员亨德森大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是何塞-恩里克.                   64'第64分钟，苏亚雷斯拼抢中踩踏大卫-琼斯脚踝侥幸逃脱处罚
67'利物浦球员亨德森大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是何塞-恩里克.                   67'第67分钟，恩里克斜传，亨德森小禁区左侧射门打飞
68'阿格尔为利物浦赢得一个任意球.                   67'第67分钟，恩里克斜传，亨德森小禁区左侧射门打飞
68'维冈球员A-科内拼抢犯规,对手获得控球权.                   67'第67分钟，恩里克斜传，亨德森小禁区左侧射门打飞
69'维冈换人,约迪-戈麦斯换下加里-考德威尔                   67'第67分钟，恩里克斜传，亨德森小禁区左侧射门打飞
70'维冈换人,米亚依奇换下迪桑托                   67'第67分钟，恩里克斜传，亨德森小禁区左侧射门打飞
70'维冈球员约迪-戈麦斯大禁区中央尝试左脚射门,可惜皮球偏出球门.给他传球的是博塞豪尔.                   67'第67分钟，恩里克斜传，亨德森小禁区左侧射门打飞
75'维冈球员博塞豪尔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是约迪-戈麦斯.                   75'第75分钟，戈麦斯传球，博塞茹尔远射偏出，越位位置的科内近距离射门打中立柱
75'维冈球员博塞豪尔一脚直塞球给A-科内,但是边裁举旗显示后者已经越位.                   75'第75分钟，戈麦斯传球，博塞茹尔远射偏出，越位位置的科内近距离射门打中立柱
77'利物浦球员格伦-约翰逊大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是何塞-恩里克.                   75'第75分钟，戈麦斯传球，博塞茹尔远射偏出，越位位置的科内近距离射门打中立柱
82'利物浦球员苏亚雷斯球门左侧小角度尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是何塞-恩里克.                   82'第82分钟，恩里克直传，苏亚雷斯禁区左侧斜射偏出
82'利物浦换人,卡拉格换下阿格尔                   82'第82分钟，恩里克直传，苏亚雷斯禁区左侧斜射偏出
85'维冈球员麦卡锡大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是肖恩-马洛尼.                   82'第82分钟，恩里克直传，苏亚雷斯禁区左侧斜射偏出
87'利物浦换人,谢尔维换下苏亚雷斯                   87'第87分钟，苏亚雷斯被谢尔维换下，全场球迷起立鼓掌
89'维斯多姆将球处理出底线,维冈获得角球.                   87'第87分钟，苏亚雷斯被谢尔维换下，全场球迷起立鼓掌
89'维冈球员D-琼斯大禁区左侧尝试左脚射门,可惜皮球偏出球门.给他传球的是博塞豪尔.                   87'第87分钟，苏亚雷斯被谢尔维换下，全场球迷起立鼓掌
