5'菲尔米诺直塞给罗伯逊                   3'开场仅3分钟，诺布尔传球，埃尔南德斯禁区边缘内低射稍稍偏出右侧立柱
5'但是越位了                   3'开场仅3分钟，诺布尔传球，埃尔南德斯禁区边缘内低射稍稍偏出右侧立柱
6'法比安斯基起大脚                   3'开场仅3分钟，诺布尔传球，埃尔南德斯禁区边缘内低射稍稍偏出右侧立柱
6'球出了边线                    3'开场仅3分钟，诺布尔传球，埃尔南德斯禁区边缘内低射稍稍偏出右侧立柱
6'利物浦边线球                   3'开场仅3分钟，诺布尔传球，埃尔南德斯禁区边缘内低射稍稍偏出右侧立柱
6'范戴克给到马蒂普                   3'开场仅3分钟，诺布尔传球，埃尔南德斯禁区边缘内低射稍稍偏出右侧立柱
6'再给罗伯逊                   3'开场仅3分钟，诺布尔传球，埃尔南德斯禁区边缘内低射稍稍偏出右侧立柱
22'被利物浦后卫解围                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
22'左侧边路罗伯逊拿球                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
22'再给到右侧边路的米尔纳                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
22'直塞给到拉拉纳                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
22'球进了马内                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
24'米尔纳右侧边路下底横传                    22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
24'马内小禁区附近拿球 起左脚打门 将球打进                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
25'利物浦后场控球                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
25'范戴克长传找左侧边路的罗伯逊                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
25'被西汉姆联解围出边线                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
25'西汉姆联中场附近拼抢                   22'利物浦第22分钟取得领先，米尔纳右路传中，马内小禁区前从容停球后转身扫射入网
28'西汉姆联右侧边路拿球                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
28'安德森长传找禁区内的小豌豆                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
28'但是被阿利松没收                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
28'球进了安东尼奥                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
29'西汉姆联前场任意球 诺布尔直塞给到安东尼奥                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
29'安东尼奥禁区内起右脚打门                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
30'球打入球门右下角                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
30'利物浦后场拿球                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
30'直塞给到前面的队友凯塔                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
30'凯塔大禁区弧顶处起左脚打门                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
30'球碰到西汉姆联后卫出了底线                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
30'利物浦再次获得角球                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
31'被西汉姆联后卫解围                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
31'再次长传到禁区                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
31'被法比安斯基没收                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
31'西汉姆联获得前场边线球                   28'西汉姆第28分钟扳平，安德森任意球直传，安东尼奥插入禁区右肋10码处顺势低射左下角入网，1-1
47'西汉姆联左侧边路安德森带球突破                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
47'被放倒 西汉姆联获得前场任意球                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
47'起右脚远射打门 被利物浦后卫挡出                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
47'西汉姆联获得前场边线球                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
47'安东尼奥右侧边路传中                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
48'被利物浦后卫挡出底线                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
48'西汉姆联获得角球                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
48'迪奥普头球攻门                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
48'球偏出了球门                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
49'利物浦获得前场边线球                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
50'利物浦后场倒球                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
50'范戴克给到米尔纳                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
50'再回给范戴克                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
50'给到左侧边路的罗伯逊                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
50'再横传给凯塔                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
50'再给萨拉赫                   47'2分钟后，还是米尔纳传球，但萨拉赫禁区右侧的射门又稍稍高出
55'克雷斯维尔一脚远射 将球打高了                   55'尽管两队最后10分钟对抗激烈，但创造进球机会寥寥
55'利物浦后场倒球                   55'尽管两队最后10分钟对抗激烈，但创造进球机会寥寥
55'给到右侧边路的米尔纳                   55'尽管两队最后10分钟对抗激烈，但创造进球机会寥寥
56'传中没有跟上的队友                   55'尽管两队最后10分钟对抗激烈，但创造进球机会寥寥
