 随着主裁判一声哨响,上半场比赛开始.
1'阿尔德韦雷尔德将球处理出底线,阿斯顿维拉获得角球.
2'阿斯顿维拉球员维勒图特一脚直塞球给格斯特德,但是边裁举旗显示后者已经越位.
4'热刺球员凯恩大禁区右侧右脚射门,命中门柱横梁.给他传球的是拉梅拉.
5'热刺球员埃里克森大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是拉梅拉.
8'热刺球员拉梅拉大禁区中央左脚射门,被防守球员封堵.给他传球的是Dele Alli.
8'热刺球员罗斯大禁区外左脚射门,被防守球员封堵.
8'射门!!!热刺球员Dele Alli大禁区外右脚射门,被对方守门员横身扑出.
9'热刺球员拉梅拉一脚直塞球给凯恩,但是边裁举旗显示后者已经越位.
11'罗斯将球处理出底线,阿斯顿维拉获得角球.
14'热刺球员阿尔德韦雷尔德一脚直塞球给凯恩,但是边裁举旗显示后者已经越位.
18'热刺球员埃里克森大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是凯恩.
21'阿斯顿维拉球员乔丹-阿尤大禁区外右脚射门,被防守球员封堵.给他传球的是马特奥斯-维维安.
23'埃里克-迪尔将球处理出底线,阿斯顿维拉获得角球.
23'埃里克-迪尔为热刺赢得一个任意球.
23'阿斯顿维拉球员格斯特德拼抢犯规,对手获得控球权.
24'射门!!!热刺球员凯恩大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是罗斯.
24'西索科将球处理出底线,热刺获得角球.
26'阿斯顿维拉球员维勒图特大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.
26'射门!!!热刺球员凯恩大禁区左侧右脚射门,被对方守门员横身扑出.
27'维斯特伍德将球处理出底线,热刺获得角球.
28'热刺球员凯恩大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是拉梅拉.
30'射门!!!热刺球员拉梅拉大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是沃克尔.
33'射门!!!热刺球员沃克尔大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是拉梅拉.
35'乔丹-阿尤为阿斯顿维拉赢得一个任意球.
35'热刺球员沃克尔拼抢犯规,对手获得控球权.
37'阿斯顿维拉球员哈顿拼抢犯规,对手获得控球权.
37'凯恩为热刺在左路,赢得一个任意球.
38'马特奥斯-维维安为阿斯顿维拉在左路,赢得一个任意球.
38'热刺球员沃克尔拼抢犯规,对手获得控球权.
39'射门!!!阿斯顿维拉球员格斯特德大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是卡莱斯-吉尔.
40'阿斯顿维拉球员马特奥斯-维维安拼抢犯规,对手获得控球权.
40'罗斯为热刺在对方半场,赢得一个任意球.
40'维斯特伍德将球处理出底线,热刺获得角球.
43'维勒图特为阿斯顿维拉在对方半场,赢得一个任意球.
43'热刺球员Kevin Wimmer拼抢犯规,对手获得控球权.
