2'勒沃库森球员拉斯-本德拼抢犯规,对手获得控球权.                   2'开场2分钟，拉菲尼亚远射高出
2'阿拉巴为拜仁慕尼黑在对方半场,赢得一个任意球.                   2'开场2分钟，拉菲尼亚远射高出
2'拜仁慕尼黑球员拉菲尼亚大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是施魏因斯泰格.                   2'开场2分钟，拉菲尼亚远射高出
4'伯尼施将球处理出底线,拜仁慕尼黑获得角球.                   2'开场2分钟，拉菲尼亚远射高出
11'拜仁慕尼黑球员穆勒大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是沙奇里.                   11'第11分钟，沙奇里右路切入禁区传中，穆勒在门前11米处停球转身左脚抽射偏出右门柱
13'勒沃库森球员埃姆雷-詹拼抢犯规,对手获得控球权.                   11'第11分钟，沙奇里右路切入禁区传中，穆勒在门前11米处停球转身左脚抽射偏出右门柱
13'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   11'第11分钟，沙奇里右路切入禁区传中，穆勒在门前11米处停球转身左脚抽射偏出右门柱
14'勒沃库森球员罗尔费斯大禁区外左脚射门,被防守球员封堵.给他传球的是基斯林.                   11'第11分钟，沙奇里右路切入禁区传中，穆勒在门前11米处停球转身左脚抽射偏出右门柱
14'丹特将球处理出底线,勒沃库森获得角球.                   11'第11分钟，沙奇里右路切入禁区传中，穆勒在门前11米处停球转身左脚抽射偏出右门柱
14'勒沃库森球员罗尔费斯一脚直塞球给萨姆,但是边裁举旗显示后者已经越位.                   11'第11分钟，沙奇里右路切入禁区传中，穆勒在门前11米处停球转身左脚抽射偏出右门柱
16'拜仁慕尼黑球员沙奇里大禁区外左脚射门,被防守球员封堵.给他传球的是施魏因斯泰格.                   16'第16分钟，沙奇里在门前26米处左脚抽射被斯帕希奇封堵
17'斯帕希奇将球处理出底线,拜仁慕尼黑获得角球.                   16'第16分钟，沙奇里在门前26米处左脚抽射被斯帕希奇封堵
18'罗尔费斯为勒沃库森赢得一个任意球.                   16'第16分钟，沙奇里在门前26米处左脚抽射被斯帕希奇封堵
18'拜仁慕尼黑球员博阿滕拼抢犯规,对手获得控球权.                   16'第16分钟，沙奇里在门前26米处左脚抽射被斯帕希奇封堵
18'拜仁慕尼黑球员里贝里大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是沙奇里.                   16'第16分钟，沙奇里在门前26米处左脚抽射被斯帕希奇封堵
19'勒沃库森球员萨姆拼抢犯规,对手获得控球权.                   16'第16分钟，沙奇里在门前26米处左脚抽射被斯帕希奇封堵
19'丹特为拜仁慕尼黑赢得一个任意球.                   16'第16分钟，沙奇里在门前26米处左脚抽射被斯帕希奇封堵
22'射门!!!拜仁慕尼黑球员克罗斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是里贝里.                   22'第22分钟，里贝里禁区左侧停球回做，克罗斯在门前22米处怒射被莱诺击出
