2'吕迪格回传大卫路易斯！交给阿斯皮利奎塔！                   1'切尔西第1分钟就控制比赛
2'吕迪格带中场！回传大卫路易斯！                   1'切尔西第1分钟就控制比赛
3'切尔西中场长传前场右侧！                   1'切尔西第1分钟就控制比赛
3'球直接出了底线！                   1'切尔西第1分钟就控制比赛
3'谢希奇交给阿戈利！                   1'切尔西第1分钟就控制比赛
3'回传给萨迪科夫！                   1'切尔西第1分钟就控制比赛
3'分左侧梅德维德夫！                   1'切尔西第1分钟就控制比赛
3'分阿尔梅达！回传给阿戈利！                   1'切尔西第1分钟就控制比赛
3'交给阿尔梅达！分中场左侧！                   1'切尔西第1分钟就控制比赛
4'加拉耶夫得球！回传后场雷岑兹尼亚克！                   1'切尔西第1分钟就控制比赛
4'回传给梅德维德夫！                   1'切尔西第1分钟就控制比赛
4'转移右侧阿戈利！分给米歇尔！                   1'切尔西第1分钟就控制比赛
4'右侧送出直塞！被吕迪格抢断！                   1'切尔西第1分钟就控制比赛
4'回传给可开通为！长传中场！                   1'切尔西第1分钟就控制比赛
4'佩德罗中圈得球直传前场右侧！                   1'切尔西第1分钟就控制比赛
4'威廉没有拿到！球被破坏出去！                   1'切尔西第1分钟就控制比赛
15'大卫路易斯后场推进！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
15'长传前场左侧！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
15'雷岑兹尼亚克头球回传给谢希奇！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
15'谢希奇分给萨迪科夫！禁区内长传中场！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
15'争顶后坎特分右侧扎帕科斯塔！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
15'回传后场吕迪格！                   13'卡拉巴赫第13分钟险些破门，梅德韦杰夫踢墙配合后趟球稍大，另一侧跟进的米歇尔小禁区前抽射憾中横梁弹回，阿尔梅达凌空扫射偏出
