1'上半场比赛开始！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
1'首先由蓝衣蓝裤的切尔西开球，从画面的左侧向右进攻！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
1'利物浦中场抢断，反击！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
1'克莱恩的直塞球给到斯图里奇                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
2'斯图里奇拿球内切，被回防的米克尔踢翻在地！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
2'利物浦获得大禁区右侧角上的任意球机会！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
2'斯图里奇和米尔纳站在球前，看看谁罚！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
2'斯图里奇任意球直接攻门，打偏！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
3'本场利物浦全主力出战，切尔西则是队长特里因上轮的红牌停赛！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
4'利物浦前场右路再攻，赢得角球机会！！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
4'库蒂尼奥角球开出到禁区，图雷的头球顶偏！                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
4'克莱因前场拿球，横传找米尔纳                   1'利物浦第1分钟连续施压，斯图里奇禁区右上角外的任意球直接射门离谱高出
32'阿扎尔前场左路拿球，没机会，转身回带，接着转身内切，连续摆脱利物浦三名球员，进入禁区，一脚抽射，打进远角！                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
32'此时此刻值得来杯嘉士伯！！！！                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
33'威廉右路拿球，直塞找特劳雷                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
33'莫雷诺回防，将球解围出边线！！                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
34'埃姆雷-詹后场抢断，面对小法的逼抢，直接大脚将球踢到前场！！                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
34'蓝色海洋，没有一名红衣队友啊！！                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
35'斯图里奇前场左路拿球，直塞给到莫雷诺                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
35'莫雷诺横传中路给库蒂尼奥，库蒂尼奥停球，直接远射，被贝戈维奇封堵！                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
35'拉赫曼后场拿球准备反击，克莱因右路逼抢，犯规！                   32'切尔西第32分钟取得领先，阿扎尔同巴巴-拉赫曼踢墙配合，比利时边锋接连突破米尔纳、拉拉纳和菲尔米诺后至禁区边缘内，面对洛夫伦果断起脚射入右下角
39'佩德罗再给右侧找特劳雷                   39'切尔西第39分钟险些扩大比分，佩德罗直传，米尼奥莱出击犹疑，特劳雷禁区右侧的弧线球射门稍稍偏出远角
39'米尼奥莱出击，犹豫中球被特劳雷拿到                   39'切尔西第39分钟险些扩大比分，佩德罗直传，米尼奥莱出击犹疑，特劳雷禁区右侧的弧线球射门稍稍偏出远角
39'直接起脚打门，脚下打滑，摔倒，球打飞！                   39'切尔西第39分钟险些扩大比分，佩德罗直传，米尼奥莱出击犹疑，特劳雷禁区右侧的弧线球射门稍稍偏出远角
40'克洛普在场边很激动，看表情，对于弟子们的表现，应该不满                   39'切尔西第39分钟险些扩大比分，佩德罗直传，米尼奥莱出击犹疑，特劳雷禁区右侧的弧线球射门稍稍偏出远角
41'威廉右路拿球，内切后横传给马蒂奇                   39'切尔西第39分钟险些扩大比分，佩德罗直传，米尼奥莱出击犹疑，特劳雷禁区右侧的弧线球射门稍稍偏出远角
41'马蒂奇再给米克尔，米克尔强突被放倒在地！！                   39'切尔西第39分钟险些扩大比分，佩德罗直传，米尼奥莱出击犹疑，特劳雷禁区右侧的弧线球射门稍稍偏出远角
41'切尔西快发任意球，阿扎尔拿球横切，远射，被米尼奥莱倒地拿到！                   39'切尔西第39分钟险些扩大比分，佩德罗直传，米尼奥莱出击犹疑，特劳雷禁区右侧的弧线球射门稍稍偏出远角
61'拉拉纳拿球，横传斯图里奇                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
61'斯图里奇再给米尔纳，米尔纳转移球右侧给克莱因                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
61'克莱因再给禁区弧顶的菲尔米诺，菲尔米诺直塞打身后                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
61'斯图里奇跟进，面对贝戈维奇，起脚打门，被后者扑出底线！                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
62'利物浦获得右侧角球机会！！                   61'第61分钟，拉拉纳直传，斯图里奇禁区右肋12码处射门被贝戈维奇神勇扑出，斯图里奇战术角球连续晃过小法后传中，图雷小禁区外的头球攻门被贝戈维奇摘下
