3'山东鲁能队前场迭球，刘彬彬分球，郑铮的传 中球被防守队员顶了出来                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
3'主场作战的山东鲁能队打得更为主动一些                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
3'山东鲁能队中场控球，阿洛伊西奥转移球到左侧，交给郑铮，转移到刘彬彬的脚下                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
4'刘彬彬禁区左侧强行内切被放倒了！不过裁判举旗，刘彬彬接球时越位在先！                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
5'山东鲁能队过顶的传 球，刘彬彬禁区内调整打门被唐淼破坏出了底线，角球机会！                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
5'蒿俊闵来主罚角球！开到前点，又是对方抢到第一点，头球解围！                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
5'本场比赛是蒿俊闵征战的第200场中超联赛！                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
6'山东鲁能队走右路推 进，王彤的斜 长传 被对方得到大脚解围！                   3'但上赛季，山东鲁能3-0领先情况下被富力队最后15分钟连追三球
4'刘彬彬禁区左侧强行内切被放倒了！不过裁判举旗，刘彬彬接球时越位在先！                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
5'山东鲁能队过顶的传 球，刘彬彬禁区内调整打门被唐淼破坏出了底线，角球机会！                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
5'蒿俊闵来主罚角球！开到前点，又是对方抢到第一点，头球解围！                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
5'本场比赛是蒿俊闵征战的第200场中超联赛！                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
6'山东鲁能队走右路推 进，王彤的斜 长传 被对方得到大脚解围！                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
7'乌索控球，转身传球时脚下打滑了！                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
7'奥拉纳尔断球准备反击，面对汪强的回防拉人犯规了！                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
7'山东鲁能队中场继续控球，倒脚来寻找机会                   4'开场4分钟，山东鲁能边线球进攻，阿洛伊西奥接球晃过一名防守队员后起脚低射，球稍稍偏出立柱
20'过早丢球，对山东鲁能队来说非常不利，他们在加强进攻                   20'第20分钟，刘彬彬回传出现失误，阿隆断球给姜宁，后者与中路配合后杀到禁区内并引出王大雷，之后弧线球传到禁区，后点的汪嵩凌空抽射打入近角，场上比分变为0-1
21'山东鲁能队在后场大范围转移，寻找进攻机会                   20'第20分钟，刘彬彬回传出现失误，阿隆断球给姜宁，后者与中路配合后杀到禁区内并引出王大雷，之后弧线球传到禁区，后点的汪嵩凌空抽射打入近角，场上比分变为0-1
21'后场郄大脚长传，刘彬彬启动早了点越位啦                   20'第20分钟，刘彬彬回传出现失误，阿隆断球给姜宁，后者与中路配合后杀到禁区内并引出王大雷，之后弧线球传到禁区，后点的汪嵩凌空抽射打入近角，场上比分变为0-1
21'刘殿座大脚开球到前场，汪强把球争顶下来                   20'第20分钟，刘彬彬回传出现失误，阿隆断球给姜宁，后者与中路配合后杀到禁区内并引出王大雷，之后弧线球传到禁区，后点的汪嵩凌空抽射打入近角，场上比分变为0-1
22'郑铮后场得球，奥拉纳尔抢球犯规                   20'第20分钟，刘彬彬回传出现失误，阿隆断球给姜宁，后者与中路配合后杀到禁区内并引出王大雷，之后弧线球传到禁区，后点的汪嵩凌空抽射打入近角，场上比分变为0-1
23'山东鲁能队攻到前场，对方犯规，得到任意球机会                   20'第20分钟，刘彬彬回传出现失误，阿隆断球给姜宁，后者与中路配合后杀到禁区内并引出王大雷，之后弧线球传到禁区，后点的汪嵩凌空抽射打入近角，场上比分变为0-1
24'蒿俊闵发任意球到禁区内，跟上队员头球顶门，刘殿座拿到球后人到门线内，但把球留在门线外！                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
25'蒿俊闵前场得球分到左路，张驰横传球被断                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
25'阿洛伊西奥在前场抢球犯规                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
26'刘彬彬在前场背身拿球，被侵犯                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
26'中场山东鲁能队险些失误，只好把球回传，再交给王大雷                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
27'阿洛伊西奥前场得球转身突破，被对方三人包夹把球抢下来                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
27'郑铮左路回传球，对方挡出边线                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
27'阿洛伊西奥左路突破，横向带球强突被断下来                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
27'唐淼得球右路反击，阿洛伊西奥背后抢球犯规                   24'第24分钟，蒿俊闵主罚任意球到后点，杨旭头球顶球门远角，刘殿座回撤中将球没收，但是皮球有越过门线嫌疑
39'只有一颗恒心GZEG：一统，场面怎么样[回复]山东鲁能队先丢球，目前是全力进攻，广州富力队打防反！                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
39'郑铮在前场左路拿球，强突横传，蒿俊闵直传，刘彬彬横传门前，非常到位啊，阿洛伊西奥抢点打门偏出！！！                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
40'这球打不进！！可真不容易！！！                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
41'yangyangzhenshuai：谁说富力是鲁能克星？富力见了鲁能就跪，去年被双杀了吧[直播员]不能说跪，双方交战纪录中山东鲁能队占到优势！                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
41'[互动话题]上半场比赛接近尾声，山东鲁能队能有进球吗？A、能 B、不能[qiangda]                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
42'王永珀左路突破下义，回传再传到中路                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
42'蒿俊闵跑上打门，被对方挡出来                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
42'广州富力队打反击啦，奥拉纳尔长传球交给姜宁                   39'第39分钟，山东鲁能反击组织进攻，乌索禁区前拿球一脚远射打飞
51'山东鲁能队两名队员倒在地上，杨旭问题不大，但刘殿座第一次扑球时扑倒了汪强                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
51'汪强受伤倒在地上，出血啦！                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
52'鼻子出血了，到场外接受治疗！！                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
52'广州富力队开球到前场，王彤把球控下来                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
52'姜宁在前场得球，想分到左路给汪嵩，被断啦                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
53'王永珀挑传球到禁区内，杨旭头球回顶，蒙蒂略抢点打门高出                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
53'不过杨旭越位在先                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
53'汪强伤得不轻，山东鲁能队只能换人啦！换上了赵明剑！                   51'第51分钟，汪强在拼抢中面部出血无法坚持，被担架抬下场，之后，赵明剑替补汪强登场
