8'Miguel Layún将球处理出底线,莱比锡获得角球.                   8'第8分钟，布吕马左路距门25米处低射造成门将脱手，奥班左脚铲射入网
8'射门!!!莱比锡球员布鲁马左侧很远处右脚射门,被对方守门员横身扑出.给他传球的是萨比策.                   8'第8分钟，布吕马左路距门25米处低射造成门将脱手，奥班左脚铲射入网
8'进球啦！！！莱比锡球员奥尔班小禁区左侧左脚射门,球从中路偏上飞进球门,球进了! 莱比锡 1-0 波尔图.                   8'第8分钟，布吕马左路距门25米处低射造成门将脱手，奥班左脚铲射入网
10'莱比锡球员布鲁马大禁区右侧左脚射门,被防守球员封堵.给他传球的是萨比策.                   8'第8分钟，布吕马左路距门25米处低射造成门将脱手，奥班左脚铲射入网
10'马卡诺将球处理出底线,莱比锡获得角球.                   8'第8分钟，布吕马左路距门25米处低射造成门将脱手，奥班左脚铲射入网
37'射门!!!波尔图球员达尼洛-佩雷拉大禁区外左脚射门,被对方守门员横身扑出.                   37'第37分钟，扎比策直传，福斯贝里点球点捅射入右下角，2比1
37'进球啦！！！莱比锡球员弗斯博格大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是萨比策. 莱比锡 2-1 波尔图.                   37'第37分钟，扎比策直传，福斯贝里点球点捅射入右下角，2比1
40'进球啦！！！莱比锡球员奥古斯丁大禁区中央右脚射门,球从右下角飞进球门,球进了! 莱比锡 3-1 波尔图.                   37'第37分钟，扎比策直传，福斯贝里点球点捅射入右下角，2比1
44'进球啦！！！波尔图球员马卡诺球门线跟前左脚射门,球从中路飞进球门,球进了!助攻的是Héctor Herrera. 莱比锡 3-2 波尔图.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
45'+1'上半场结束,莱比锡 3-2 波尔图,稍事休息,我们一会来看看下半场两队的表现.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
46'波尔图球员卜拉希米拼抢犯规,对手获得控球权.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
46'奥古斯丁为莱比锡赢得一个任意球.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
46'黄牌！波尔图球员卜拉希米因为恶意犯规,被主裁判出示黄牌.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
47'阿布巴卡尔为波尔图在对方半场,赢得一个任意球.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
47'莱比锡球员奥尔班拼抢犯规,对手获得控球权.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
47'黄牌！莱比锡球员奥尔班因为恶意犯规,被主裁判出示黄牌.                   44'第44分钟，波尔图右侧开出角球，埃克托-埃雷拉后点顶回中路，马卡诺在门前3米处凌空垫射入网，2比3
