2'兰德尔后场拿球，过顶给到前场中路的奥约                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
2'奥约再分球找乔-阿伦，被断！！                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
2'不过库克的解围球没能踢远，碰到乔-阿伦到了斯图里奇脚下                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
2'斯图里奇得球进入禁区，左脚劲射，被博鲁茨拿到！！                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
3'丹尼尔斯左路拿球，过了中线，横传找格拉德尔                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
3'格拉德尔停球转身，强突被断！！                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
3'利物浦的反击，图雷直塞找奥约                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
4'奥约拿球，被上抢的戈斯林踢倒在地！！                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
5'利物浦前场抢断，伊比的直塞给到斯图里奇                   2'开场仅2分钟，菲尔米诺传球，斯图里奇禁区右侧的射门被博鲁奇扑出
41'利物浦进球了！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
41'菲尔米诺膝盖垫射！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
41'此时此刻值得来杯嘉士伯！！！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
42'伊比左路拿球，内切到禁区，横传给斯图里奇，斯图里奇脚后跟攻门，被博鲁茨一挡，打在菲尔米诺左侧膝盖弹入网窝！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
43'弗兰西斯右路拿球，强突传中！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
44'直接打在了史密斯的额头上，痛啊！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
44'史密斯受伤倒地，简单休息后，出场接受治疗！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
44'伯恩茅斯的右侧角球机会，开出到禁区，并未形成威胁！！                   41'利物浦第41分钟打破僵局，艾比左路传球，斯图里奇在数人包夹下10码处脚后跟射门被博鲁奇勉强扑出，菲尔米诺近距离补射空门入网
53'斯图里奇前场拿球，禁区外的远射，被博鲁茨扑出底线！！                   53'第53分钟，乔-艾伦传球，斯图里奇的射门又憾中右侧立柱
54'利物浦的角球机会，开出到禁区，第一点被库克头球解围！                   53'第53分钟，乔-艾伦传球，斯图里奇的射门又憾中右侧立柱
55'乔-阿伦中场拿球，强突被戈斯林绊倒在地！！                   53'第53分钟，乔-艾伦传球，斯图里奇的射门又憾中右侧立柱
55'利物浦左路的进攻，史密斯直塞球找乔-阿伦                   53'第53分钟，乔-艾伦传球，斯图里奇的射门又憾中右侧立柱
56'弗朗西斯滑铲，将球解围出边线！！                   53'第53分钟，乔-艾伦传球，斯图里奇的射门又憾中右侧立柱
83'奥里吉强突后的斜传球到禁区！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
83'斯图里奇跟进拿球，横趟两步，左脚劲射，打飞！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
83'拉拉纳中场拿球，被上抢的瑟曼踢翻在地！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
84'金前场中路拿球，面对三人围抢，强突！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
85'裁判哨响，吹罚了乔-阿伦的犯规！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
85'伯恩茅斯获得前场中路，靠近左侧的任意球机会！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
86'任意球横传中间，金弧顶起脚打门，被防守球员用身体挡出！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
86'丹尼尔斯左路拿球，斜传禁区！！                   83'第83分钟，拉拉纳传球，斯图里奇禁区左侧的射门又打中左侧立柱
