2'布尔谢特为Hertha Berlin赢得一个任意球.                   1'第1分钟，拜仁并不急于进攻
2'拜仁慕尼黑球员莱万多夫斯基拼抢犯规,对手获得控球权.                   1'第1分钟，拜仁并不急于进攻
4'丹特将球处理出底线,Hertha Berlin获得角球.                   1'第1分钟，拜仁并不急于进攻
4'Hertha Berlin球员卡卢拼抢犯规,对手获得控球权.                   1'第1分钟，拜仁并不急于进攻
4'魏泽尔为拜仁慕尼黑赢得一个任意球.                   1'第1分钟，拜仁并不急于进攻
18'射门!!!拜仁慕尼黑球员穆勒大禁区外左脚射门,被对方守门员横身扑出.给他传球的是罗德.                   18'第18分钟，穆勒禁区边缘左脚低射被布尔歇特得到
55'射门!!!Hertha Berlin球员尼科-舒尔茨大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是原口元气.                   55'第55分钟，原口元气中路直塞，舒尔茨单刀突入禁区距门13米处左脚推射被诺伊尔封出左门柱
55'诺伊尔将球处理出底线,Hertha Berlin获得角球.                   55'第55分钟，原口元气中路直塞，舒尔茨单刀突入禁区距门13米处左脚推射被诺伊尔封出左门柱
56'尼科-舒尔茨为Hertha Berlin赢得一个任意球.                   55'第55分钟，原口元气中路直塞，舒尔茨单刀突入禁区距门13米处左脚推射被诺伊尔封出左门柱
56'拜仁慕尼黑球员Sinan Kurt拼抢犯规,对手获得控球权.                   55'第55分钟，原口元气中路直塞，舒尔茨单刀突入禁区距门13米处左脚推射被诺伊尔封出左门柱
77'射门!!!拜仁慕尼黑球员莱万多夫斯基大禁区中央头球,被对方守门员横身扑出.给他传球的是蒂亚戈.                   77'第77分钟，蒂亚戈右侧开出角球，莱万在门前8米处头球被布尔歇特托出右门柱
77'布尔谢特将球处理出底线,拜仁慕尼黑获得角球.                   77'第77分钟，蒂亚戈右侧开出角球，莱万在门前8米处头球被布尔歇特托出右门柱
77'拜仁慕尼黑球员施魏因斯泰格大禁区中央尝试头球,可惜皮球高出右上角球门.给他传球的是蒂亚戈.                   77'第77分钟，蒂亚戈右侧开出角球，莱万在门前8米处头球被布尔歇特托出右门柱
78'射门!!!Hertha Berlin球员恩坚大禁区外右脚射门,被对方守门员横身扑出.给他传球的是佩卡里克.                   77'第77分钟，蒂亚戈右侧开出角球，莱万在门前8米处头球被布尔歇特托出右门柱
79'拜仁慕尼黑球员施魏因斯泰格大禁区中央头球,命中门柱右侧立柱.给他传球的是博阿滕.                   77'第77分钟，蒂亚戈右侧开出角球，莱万在门前8米处头球被布尔歇特托出右门柱
80'进球啦！！！拜仁慕尼黑球员施魏因斯泰格大禁区中央右脚射门,球从右上角飞进球门,球进了!助攻的是魏泽尔. 拜仁慕尼黑 1-0 Hertha Berlin.                   77'第77分钟，蒂亚戈右侧开出角球，莱万在门前8米处头球被布尔歇特托出右门柱
47'卢斯滕贝格尔为Hertha Berlin赢得一个任意球.                   46'错过进球的小猪1分钟后弥补遗憾，魏泽突入禁区右侧回敲，小猪在门前12米处推进右上角，1比0
47'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   46'错过进球的小猪1分钟后弥补遗憾，魏泽突入禁区右侧回敲，小猪在门前12米处推进右上角，1比0
48'Hertha Berlin球员原口元气拼抢犯规,对手获得控球权.                   46'错过进球的小猪1分钟后弥补遗憾，魏泽突入禁区右侧回敲，小猪在门前12米处推进右上角，1比0
48'丹特为拜仁慕尼黑赢得一个任意球.                   46'错过进球的小猪1分钟后弥补遗憾，魏泽突入禁区右侧回敲，小猪在门前12米处推进右上角，1比0
48'拜仁慕尼黑球员罗德一脚直塞球给格策,但是边裁举旗显示后者已经越位.                   46'错过进球的小猪1分钟后弥补遗憾，魏泽突入禁区右侧回敲，小猪在门前12米处推进右上角，1比0
49'Hertha Berlin球员原口元气大禁区外右脚射门,被防守球员封堵.给他传球的是谢尔布雷.                   46'错过进球的小猪1分钟后弥补遗憾，魏泽突入禁区右侧回敲，小猪在门前12米处推进右上角，1比0
