1'上半场比赛开始                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
1'乌迪内斯发球出来                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
1'给到了后场中路的费利佩                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
2'乌迪内斯后场断球给到了德保罗                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
2'德保罗回敲身后队友                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
3'现在右侧边线球发出来                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
3'直接被博纳文图拉中后场区域断下                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
3'库茨卡直接一脚长传吊向前场禁区内                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
4'卡尔内齐斯继续禁区内得到球                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
4'场内似乎有乌迪内球员受伤了                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
4'裁判吹停了比赛                   1'1开场5分钟，萨米尔左路突破低传，泰雷奥前点小角度射门被唐纳鲁马封出
8'米兰球员前场右侧的定位球机会                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
8'洛卡特利和苏索站在球前                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
8'苏索左脚开出，被达尼洛头球解围出来                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
9' 苏索右路传中到门前，博纳文图拉凌空垫射，进了                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
9'米兰率先打破了僵局                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
10' 德西利奥一脚横向转移                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
11'这球半途被乌迪内球员断下                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
11'泰罗右路传中到禁区，被罗马尼奥利头球解围                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
11'萨帕塔分球到禁区外右侧                   8'第8分钟，苏索右路左脚传中，对方后卫冒顶，博纳文图拉在门前3米处停球凌空勾射入网，1比0
31'乌迪内斯换人， 安格拉替下法拉奥尼                   31'乌迪内斯第31分钟追平
31'乌迪内斯扳平了                   31'乌迪内斯第31分钟追平
32'德保罗带球杀入禁区给到泰罗，泰罗跟进抽射破门                   31'乌迪内斯第31分钟追平
32' 苏索带球快下，分球到禁区                   31'乌迪内斯第31分钟追平
32' 巴卡这球趟大了                   31'乌迪内斯第31分钟追平
34' 洛卡特利一脚挑传送禁区                   31'乌迪内斯第31分钟追平
34'这球被达尼洛迅速解围出去                   31'乌迪内斯第31分钟追平
73'费利佩断下分球到禁区外右侧                   73'乌迪内斯第73分钟反超
74'给到了德保罗                   73'乌迪内斯第73分钟反超
76'乌迪内斯反超了                   73'乌迪内斯第73分钟反超
76'禁区外右侧德保罗无人盯防远射破门                   73'乌迪内斯第73分钟反超
89'米兰获得角球机会                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
89'洛卡特利角球开出，乱战中拉啪杜拉打门击中立柱弹出底线                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
89'卡尔内齐斯后场开出球                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
90'帕莱塔长传球被萨米尔直接断下                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
90'安格拉右路传中，球被米兰球员解围出底线                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
90'乌迪内斯的右侧角球                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
91'战术角球给到德保罗，被米兰一脚解围出去                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
91'达尼洛吊向禁区被多纳鲁马没收                   88'拉帕杜拉第88分钟几乎扳平，德乌洛费乌左侧开出角球，卡尔内齐斯扑球脱手，拉帕杜拉左侧小角度补射击中近门柱外侧弹出
