10'裴帅后场停球失误，手球                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
10'在主裁判鸣哨后，还准备出脚踢球，被口头警告一翻                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
11'亚泰后场过顶长传球到前场找拉斐尔                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
11'张烈出击，面对上来的拉斐尔和孙继海，将球往怀里揽                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
11'结果相撞后球没能拿好                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
12'孙继海的回防和拉斐尔还发生了点摩擦，对吼了                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
12'好在裁判回来及时，将两人及时分开                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
13'于海左路拿球传中到后点，尤里抢点没能碰到                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
13'球被后卫解围，陈杰拿球，再给米西                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
13'米西和马辛斯基配合，后者起脚打门，踢飞                   10'第10分钟，亚泰后场起高球长传，拉斐尔在孙继海干扰下未能将球控制在脚下
16'人和的进攻赢得左侧角球机会，米西主罚                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
17'角球开出到禁区，第一点被后卫解围                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
17'马辛斯基抢到第二落点，给到尤里                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
17'尤里带球到右侧角旗附近，起球，打在后卫身上出底线                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
17'人和继续右侧角球机会，米西主罚                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
17'角球开出到前点，曹添堡头球解围                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
18'米西右路拿球再传，到后点，伊斯梅洛夫的解围差点乌龙哦                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
18'拉斐尔前场停球，被饶伟辉放倒在地                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
18'亚泰前场右路的任意球                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
19'吕建军右路拿球，面对于海，强突下底，赢得角球                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
19'埃尼尼奥主罚，角球开到后点，无人碰到                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
19'球权还在亚泰这边，前场继续传接控制                   16'第16分钟，贵州人和连续获得角球机会，但亚泰稳固的防守将险情一一化解
27'尤里右路和张成林的配合失误，传球出了边线                   27'第27分钟，埃尼奥接贝切莱传球利用速度闯入禁区，被人和后卫倒地将球铲出底线，埃尼奥开出的角球险些直接转入球门
28'亚泰左路直塞球到前场，贝奇拉耶拿球                   27'第27分钟，埃尼奥接贝切莱传球利用速度闯入禁区，被人和后卫倒地将球铲出底线，埃尼奥开出的角球险些直接转入球门
28'贝奇拉耶横传给到埃尼尼奥                   27'第27分钟，埃尼奥接贝切莱传球利用速度闯入禁区，被人和后卫倒地将球铲出底线，埃尼奥开出的角球险些直接转入球门
28'埃尼尼奥带球强突禁区，一脚打门，被张烈封堵出底线                   27'第27分钟，埃尼奥接贝切莱传球利用速度闯入禁区，被人和后卫倒地将球铲出底线，埃尼奥开出的角球险些直接转入球门
29'亚泰的角球，开出直接往门里悬了，被后卫门线上解围                   27'第27分钟，埃尼奥接贝切莱传球利用速度闯入禁区，被人和后卫倒地将球铲出底线，埃尼奥开出的角球险些直接转入球门
29'亚泰再次获得右侧角球，没什么威胁                   27'第27分钟，埃尼奥接贝切莱传球利用速度闯入禁区，被人和后卫倒地将球铲出底线，埃尼奥开出的角球险些直接转入球门
30'吕建军右路拿球，转身直塞直接出了边线                   27'第27分钟，埃尼奥接贝切莱传球利用速度闯入禁区，被人和后卫倒地将球铲出底线，埃尼奥开出的角球险些直接转入球门
38'孙捷前场拿球，张成林上抢拉人犯规                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
39'亚泰前场左侧的任意球机会                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
39'任意球斜传禁区，贝奇拉耶头球后尘                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
39'后蹭                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
39'萨利控制第二落点，将球解围                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
40'曹添堡中线拿球，陈杰的上抢推人犯规                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
40'上半场40分钟，比分还是0-0                   38'第38分钟，亚泰在中圈处断球成功发起快速反击，经验老道的孙继海在门将倒地失去的对球的控制后将球巧妙解围处危险区域
