1'上半场比赛开始！！                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
2'那不勒斯从左向右进攻！！                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
2'那不勒斯右路的强突，因西涅人球分过                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
2'可惜分球直接出了边线！                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
3'那不勒斯首发（4-3-3）：25-雷纳/2-希塞，33-阿尔比奥尔，26-库利巴利，31-古朗/5-阿兰，42-迪亚瓦拉，17-哈姆西克（队长）/7-卡列洪，14-梅尔滕斯，24-因西涅                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
3'皇马首发(4-3-3)：1-纳瓦斯/2-卡瓦哈尔，3-佩佩，4-拉莫斯（队长），12-马塞洛/19-摩德里奇，14-卡塞米罗，8-克罗斯/11-贝尔，9-本泽马，7-C罗                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
3'皇马中场失误，那不勒斯的左路反击                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
4'梅尔滕斯的斜传球，被拉莫斯上抢断球                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
4'皇马反击，后场过顶长传找前场左路C罗                   1'第1分钟，迪亚瓦拉右路低传，梅尔滕斯禁区边缘转身射门被拉莫斯挡出横梁
15'库利巴利中场拿球，虚晃莫德里奇                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
16'结果把自己晃晕了，球被莫德里奇成功抢断                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
16'莫德里奇直塞右路前插的贝尔                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
16'贝尔强突后横传禁区弧顶                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
16'克罗斯跟进的一脚远射，打飞！！                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
16'那不勒斯前场再攻，哈姆西克禁区外背身拿球                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
17'面对卡塞米罗的防守，转身一脚低射，打偏！                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
18'卡瓦哈尔右路强突，斜塞身后找贝尔                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
18'贝尔在和卡列洪的争抢中，球出底线！！                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
18'贝尔示意角球，裁判没理会，给了那不勒斯球门球                   15'皇马第15分钟才有首次射门，摩德里奇右路直传反击，贝尔传中，克罗斯在门前20米处凌空抽射被雷纳没收
24'目前的控球率：那不勒斯57%，皇马43%                   24'那不勒斯第24分钟取得领先
24'1-0，那不勒斯领先啦！！                   24'那不勒斯第24分钟取得领先
24'梅尔滕斯的进球！！                   24'那不勒斯第24分钟取得领先
25'哈姆西克禁区弧顶拿球，斜塞左侧给到插上的梅尔滕斯，梅尔滕斯停球趟两下，面对回防的佩佩和出击的纳瓦斯，左脚低射远角，打进！                   24'那不勒斯第24分钟取得领先
25'这样双方的总比分来到了2-3，皇马压力山大啦！！                   24'那不勒斯第24分钟取得领先
26'卡塞米罗后场拿球，分球给到克罗斯                   24'那不勒斯第24分钟取得领先
26'克罗斯再给左侧的马塞洛                   24'那不勒斯第24分钟取得领先
27'马塞洛面对逼抢，大范围转移球给到靠近右侧的佩佩                   24'那不勒斯第24分钟取得领先
27'那不勒斯前场再攻，因西涅的远射，太正，被纳瓦斯拿到                   24'那不勒斯第24分钟取得领先
29'本泽马再给莫德里奇，莫德里奇分球左侧给克罗斯                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
29'克罗斯内切横传给到本泽马                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
29'本泽马再找C罗，C罗禁区停球，摆脱伊藤吉                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
29'面对出击的雷纳，趟过，小角度打门，击中立柱弹出                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
30'贝尔右路拿球，调整一下，再打，打偏了                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
30'皇马前场抢断，卡塞米罗禁区外的远射，放了高射炮！！                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
31'之前梅尔滕斯左路拿球强突禁区，在佩佩的防守下摔倒在禁区，貌似有犯规哦                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
32'莫德里奇前场中路背身拿球，转身摆脱迪亚瓦拉                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
32'面的阿兰的夹抢，摔倒在地                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
32'裁判吹罚了阿兰的阻挡犯规！！                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
32'阿兰很不满，抱着皮球抗议，裁判微笑面对                   29'皇马第29分钟险些扳平，本泽马中路直传空档，C罗拿球趟过出击的雷纳，右侧距门9米处小角度推射击中近门柱外侧
37'阿尔比奥尔再找回来接应的哈姆西克                   37'那不勒斯第37分钟也打中立柱
37'哈姆西克分球左侧给到因西涅                   37'那不勒斯第37分钟也打中立柱
37'因西涅拿球面对莫德里奇和佩佩的围抢，转身被踢翻在地                   37'那不勒斯第37分钟也打中立柱
37'那不勒斯获得前场左路的任意球机会！！                   37'那不勒斯第37分钟也打中立柱
38'梅尔滕斯的打门，击中左侧立柱弹出！！                   37'那不勒斯第37分钟也打中立柱
39'这脚球好像来自克罗斯解围阿兰突破时踢回来的妙传                   37'那不勒斯第37分钟也打中立柱
39'如果这个球再进，皇马就命悬一线了啊                   37'那不勒斯第37分钟也打中立柱
39'卡列洪左路拿球，面对马塞洛的逼抢，回传伊藤吉                   37'那不勒斯第37分钟也打中立柱
40'那不勒斯前场再攻，哈姆西克禁区外的远射，打偏！！                   37'那不勒斯第37分钟也打中立柱
51'卡瓦哈尔没机会，回传后场找佩佩                   51'皇马第51分钟打进关键入球
51'佩佩在对方球员逼抢下，不敢怠慢，解围出边线                   51'皇马第51分钟打进关键入球
51'那不勒斯界外球直接到禁区，佩佩头球解围                   51'皇马第51分钟打进关键入球
51'卡瓦哈尔接着大脚踢到前场                   51'皇马第51分钟打进关键入球
52'皇马的反击，右路的传中球，被回防的球员解围出底线！！                   51'皇马第51分钟打进关键入球
52'皇马获得左侧角球机会！！                   51'皇马第51分钟打进关键入球
52'1-1，皇马扳平啦！！                   51'皇马第51分钟打进关键入球
52'队长拉莫斯！！！                   51'皇马第51分钟打进关键入球
53'克罗斯角球开出到前点，拉莫斯甩头轰门，顶进球门右上角！！                   51'皇马第51分钟打进关键入球
53'这样双方的总比分来到了2-4，那不勒斯必须再进两球，才有加时的机会！                   51'皇马第51分钟打进关键入球
54'那不勒斯前场进攻，赢得左侧角球机会！！                   51'皇马第51分钟打进关键入球
56'卡塞米罗后场背身拿球，迪亚瓦拉和阿兰身后夹抢                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
56'卡塞米罗摔倒在地，裁判鸣哨                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
56'阿兰被主裁判出示了黄牌警告！！                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
56'阿兰情绪很激动，裁判和拉莫斯过来劝解，都拉不住啊                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
56'那不勒斯换人：30号罗格上，换下5号阿兰！！                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
57'卡瓦哈尔前场右路的强突传中，赢得角球                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
57'1-2，皇马反超啦！！                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
57'又是拉莫斯！！！梅开二度！！                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
58'克罗斯角球开出到禁区中路，拉莫斯力压库利巴利头球轰门，打在了梅尔滕斯头上变向后进网！！                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
58'关键时刻，队长拉莫斯挺身，头球梅开二度！！                   56'罗格换下阿兰，但那不勒斯第56分钟再丢一球，克罗斯换到右侧开出角球，又是拉莫斯争到落点，在门前9米处头球蹭梅尔滕斯头皮入右上角，2比1，皇马总比分5比2领先
46'慢镜回放显示，卡瓦哈尔突破到左路拿球，阿兰上抢踩到了其脚面                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
46'卡瓦哈尔出场治疗，比赛恢复尽心                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
46'进行                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
47'上半场比赛补时1分钟！！                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
47'阿兰前场中路拿球，直塞被莫德里奇抢断                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
47'莫德里奇再找C罗，C罗停球，被库利巴利踢倒在地                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
46'下半场比赛开始！！                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
46'皇马开球，从画面的左侧向右进攻！！                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
46'莫德里奇 中场的过顶球找禁区的C罗                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
46'雷纳出击，抢在C罗之前，将球拿到                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
47'卡瓦哈尔右路抢断，直接大脚解围到前场                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
47'阿兰中线位置凌空将球踢向前场，出了边线                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
48'马塞洛左路拿球，外脚背斜传右侧找本泽马                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
48'本泽马让球到身前，接着凌空抽射，打在了边网上！                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
48'因西涅的传中找梅尔滕斯，被拉莫斯解围出底线                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
48'那不勒斯获得左侧角球机会，卡列洪主罚                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
49'开出到禁区中路，皇马球员头球解围                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
49'克罗斯外围再拿，遭遇夹击，球没控制好，出了边线                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
49'阿兰右路拿球强突马塞洛                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
49'马塞洛伸脚将球先捅出了边线                   46'补时第1分钟，马塞洛左肋直塞禁区，C罗反越位距门9米处左脚低射被雷纳双腿挡出，莫拉塔中路推射入网，3比1
