1'上半场比赛开始了！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
1'开球回给后场考迪！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
1'一脚长传球给前场左侧！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
1'拉波尔特回撤把球断下来！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
1'给中场右路的伯纳多-席尔瓦！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
1'伯纳多-席尔瓦给身边大卫-席尔瓦！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
2'大卫-席尔瓦右路带球推进！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
2'大卫-席尔瓦长传球给前场右路！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
2'边裁举旗了！这是吹了曼城球员的越位！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
2'狼队后场球！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
3'门将大脚开球给中场左侧！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
3'双方争抢！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
3'皮球被卡斯特罗碰出边线！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
3'曼城边线发球给中路！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
4'穆蒂尼奥把球抢下来！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
4'低平球找前场右侧多尔蒂！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
4'再给中路跟进的穆蒂尼奥！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
4'穆蒂尼奥斜传球找禁区左侧！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
4'迪奥戈-若塔得球传中起来！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
4'禁区内！埃尔德-科斯塔摆渡给身边右侧！                   1'曼城第1分钟试图控制比赛，但狼队的防线组织滴水不漏
20'外围鲁本-内维斯直接迎球打门！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
20'这球是打高出了横梁！球门球！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
20'帕特里西奥大脚开球给前场左侧！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
20'拉波尔特后场把球拦截下来！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
20'拉波尔特给身边的大卫-席尔瓦！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
21'再倒脚给后场孔帕尼！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
21'孔帕尼横做给中圈附近费尔南迪尼奥！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
21'再给右侧插上的凯尔-沃克！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
21'凯尔-沃克再给前场中路大卫-席尔瓦！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
22'斜传球给禁区左侧阿奎罗！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
22'考迪上前逼防！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
22'阿奎罗自己趟球出了底线！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
22'狼队的球门球！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
23'帕特里西奥大脚开球给前场右路！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
23'门迪把球破坏出边线！                   20'第20分钟，孔帕尼上抢落空失误，迪奥戈突入禁区左侧斜传，但希门尼斯远点推射破门因越位在先被判无效
