1'施魏因斯泰格为拜仁慕尼黑赢得一个任意球.                   1'第1分钟，霍芬海姆后场防守非常严密
1'霍芬海姆球员赫德林拼抢犯规,对手获得控球权.                   1'第1分钟，霍芬海姆后场防守非常严密
16'射门!!!拜仁慕尼黑球员拉姆小禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是博阿滕.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
17'莫德斯特为霍芬海姆赢得一个任意球.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
17'拜仁慕尼黑球员哈维-马丁内斯拼抢犯规,对手获得控球权.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
17'射门!!!拜仁慕尼黑球员穆勒大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是里贝里.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
17'卡斯特尔斯将球处理出底线,拜仁慕尼黑获得角球.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
18'萨利霍维奇为霍芬海姆赢得一个任意球.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
18'拜仁慕尼黑球员格策拼抢犯规,对手获得控球权.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
19'拜仁慕尼黑球员曼朱基齐大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿拉巴.                   16'拜仁第16分钟才获得首次射门机会，拉姆右侧底线突破小角度射门，被守在近角的卡斯特尔斯得到
19'拜仁慕尼黑球员曼朱基齐大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是阿拉巴.                   19'第19分钟，阿拉巴左路传中，曼朱基奇在门前7米处推射偏出远门柱
21'贝克为霍芬海姆赢得一个任意球.                   19'第19分钟，阿拉巴左路传中，曼朱基奇在门前7米处推射偏出远门柱
21'拜仁慕尼黑球员阿拉巴拼抢犯规,对手获得控球权.                   19'第19分钟，阿拉巴左路传中，曼朱基奇在门前7米处推射偏出远门柱
22'拜仁慕尼黑球员施魏因斯泰格大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是拉姆.                   19'第19分钟，阿拉巴左路传中，曼朱基奇在门前7米处推射偏出远门柱
24'拜仁慕尼黑球员哈维-马丁内斯球门线跟前尝试,可惜皮球稍稍偏出了左球门.给他传球的是施魏因斯泰格.                   24'第24分钟，小猪左路任意球斜传，马丁内斯在门前7米处凌空垫射稍稍偏出左门柱
25'霍芬海姆球员福兰德拼抢犯规,对手获得控球权.                   24'第24分钟，小猪左路任意球斜传，马丁内斯在门前7米处凌空垫射稍稍偏出左门柱
25'哈维-马丁内斯为拜仁慕尼黑在左路,赢得一个任意球.                   24'第24分钟，小猪左路任意球斜传，马丁内斯在门前7米处凌空垫射稍稍偏出左门柱
26'福兰德为霍芬海姆赢得一个任意球.                   24'第24分钟，小猪左路任意球斜传，马丁内斯在门前7米处凌空垫射稍稍偏出左门柱
26'拜仁慕尼黑球员施魏因斯泰格拼抢犯规,对手获得控球权.                   24'第24分钟，小猪左路任意球斜传，马丁内斯在门前7米处凌空垫射稍稍偏出左门柱
32'射门!!!拜仁慕尼黑球员里贝里大禁区外右脚射门,被对方守门员横身扑出.给他传球的是穆勒.                   32'第32分钟，穆勒头球摆渡，里贝里在门前17米处低射被卡斯特尔斯得到
33'丹特将球处理出底线,霍芬海姆获得角球.                   32'第32分钟，穆勒头球摆渡，里贝里在门前17米处低射被卡斯特尔斯得到
33'穆勒将球处理出底线,霍芬海姆获得角球.                   32'第32分钟，穆勒头球摆渡，里贝里在门前17米处低射被卡斯特尔斯得到
34'进球啦！！！霍芬海姆球员聚勒小禁区右侧左脚射门,球从中路飞进球门,球进了! 霍芬海姆 1-0 拜仁慕尼黑.                   32'第32分钟，穆勒头球摆渡，里贝里在门前17米处低射被卡斯特尔斯得到
47'霍芬海姆球员莫德斯特拼抢犯规,对手获得控球权.                   47'2分钟后，贝克右路传中，福兰德前点距门8米处转身左脚扫射击中边网
47'哈维-马丁内斯为拜仁慕尼黑赢得一个任意球.                   47'2分钟后，贝克右路传中，福兰德前点距门8米处转身左脚扫射击中边网
48'霍芬海姆球员鲁迪拼抢犯规,对手获得控球权.                   47'2分钟后，贝克右路传中，福兰德前点距门8米处转身左脚扫射击中边网
48'里贝里为拜仁慕尼黑赢得一个任意球.                   47'2分钟后，贝克右路传中，福兰德前点距门8米处转身左脚扫射击中边网
48'拜仁慕尼黑球员格策一脚直塞球给穆勒,但是边裁举旗显示后者已经越位.                   47'2分钟后，贝克右路传中，福兰德前点距门8米处转身左脚扫射击中边网
49'拜仁慕尼黑球员博阿滕大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是里贝里.                   47'2分钟后，贝克右路传中，福兰德前点距门8米处转身左脚扫射击中边网
39'拜仁慕尼黑球员里贝里大禁区外右脚射门,被防守球员封堵.                   39'第39分钟，里贝里在左侧距门20米处主罚任意球，他的低射打在曼朱基奇腿上变线入近角，1比1
39'进球啦！！！拜仁慕尼黑球员曼朱基齐大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是里贝里. 霍芬海姆 1-1 拜仁慕尼黑.                   39'第39分钟，里贝里在左侧距门20米处主罚任意球，他的低射打在曼朱基奇腿上变线入近角，1比1
40'霍芬海姆球员萨利霍维奇一脚直塞球给莫德斯特,但是边裁举旗显示后者已经越位.                   39'第39分钟，里贝里在左侧距门20米处主罚任意球，他的低射打在曼朱基奇腿上变线入近角，1比1
41'霍芬海姆球员贝克拼抢犯规,对手获得控球权.                   39'第39分钟，里贝里在左侧距门20米处主罚任意球，他的低射打在曼朱基奇腿上变线入近角，1比1
41'格策为拜仁慕尼黑在对方半场,赢得一个任意球.                   39'第39分钟，里贝里在左侧距门20米处主罚任意球，他的低射打在曼朱基奇腿上变线入近角，1比1
55'霍芬海姆球员福兰德大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是鲁迪.                   55'第55分钟，鲁迪右路传中，福兰德后点距门8米处凌空垫射打高
57'聚勒将球处理出底线,拜仁慕尼黑获得角球.                   55'第55分钟，鲁迪右路传中，福兰德后点距门8米处凌空垫射打高
66'射门!!!拜仁慕尼黑球员里贝里球门左侧小角度右脚射门,被对方守门员横身扑出.                   66'第66分钟，里贝里左路切入禁区低传，穆勒抢前点没打上，里贝里小角度射门被卡斯特尔斯没收
