43'科隆球员里瑟大禁区外尝试右脚射门,可惜皮球高出右上角球门.                   43'拜仁进球后更加不紧不慢，科隆第43分钟才有首次射门，里塞任意球偏出
43'科隆球员比当古拼抢犯规,对手获得控球权.                   43'拜仁进球后更加不紧不慢，科隆第43分钟才有首次射门，里塞任意球偏出
43'拉菲尼亚为拜仁慕尼黑在右路,赢得一个任意球.                   43'拜仁进球后更加不紧不慢，科隆第43分钟才有首次射门，里塞任意球偏出
44'射门!!!拜仁慕尼黑球员蒂亚戈大禁区左侧头球,被对方守门员横身扑出.给他传球的是罗德.                   43'拜仁进球后更加不紧不慢，科隆第43分钟才有首次射门，里塞任意球偏出
45'科隆球员莫德斯特拼抢犯规,对手获得控球权.                   43'拜仁进球后更加不紧不慢，科隆第43分钟才有首次射门，里塞任意球偏出
45'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   43'拜仁进球后更加不紧不慢，科隆第43分钟才有首次射门，里塞任意球偏出
45'上半场结束,科隆 0-1 拜仁慕尼黑,稍事休息,我们一会来看看下半场两队的表现.                   43'拜仁进球后更加不紧不慢，科隆第43分钟才有首次射门，里塞任意球偏出
74'科隆球员莫德斯特大禁区中央右脚射门,被防守球员封堵.                   74'拜仁第74分钟经历险情，科隆右路斜长传阿拉巴身后，莫德斯托卸球被诺伊尔奋力出击封出，距门10米处转身推射又被阿拉巴封堵
74'科隆球员索伦森拼抢犯规,对手获得控球权.                   74'拜仁第74分钟经历险情，科隆右路斜长传阿拉巴身后，莫德斯托卸球被诺伊尔奋力出击封出，距门10米处转身推射又被阿拉巴封堵
74'里贝里为拜仁慕尼黑赢得一个任意球.                   74'拜仁第74分钟经历险情，科隆右路斜长传阿拉巴身后，莫德斯托卸球被诺伊尔奋力出击封出，距门10米处转身推射又被阿拉巴封堵
75'马罗为科隆赢得一个任意球.                   74'拜仁第74分钟经历险情，科隆右路斜长传阿拉巴身后，莫德斯托卸球被诺伊尔奋力出击封出，距门10米处转身推射又被阿拉巴封堵
75'拜仁慕尼黑球员莱万多夫斯基拼抢犯规,对手获得控球权.                   74'拜仁第74分钟经历险情，科隆右路斜长传阿拉巴身后，莫德斯托卸球被诺伊尔奋力出击封出，距门10米处转身推射又被阿拉巴封堵
77'科隆球员比当古球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是里瑟.                   74'拜仁第74分钟经历险情，科隆右路斜长传阿拉巴身后，莫德斯托卸球被诺伊尔奋力出击封出，距门10米处转身推射又被阿拉巴封堵
49'马罗为科隆赢得一个任意球.                   49'补时第4分钟，科隆右路传中，比当古前点近距离扫射被诺伊尔封出
49'拜仁慕尼黑球员道格拉斯-科斯塔拼抢犯规,对手获得控球权.                   49'补时第4分钟，科隆右路传中，比当古前点近距离扫射被诺伊尔封出
50'射门!!!科隆球员比当古大禁区外左脚射门,被对方守门员横身扑出.给他传球的是莫德斯特.                   49'补时第4分钟，科隆右路传中，比当古前点近距离扫射被诺伊尔封出
51'科隆球员格哈特拼抢犯规,对手获得控球权.                   49'补时第4分钟，科隆右路传中，比当古前点近距离扫射被诺伊尔封出
51'蒂亚戈为拜仁慕尼黑赢得一个任意球.                   49'补时第4分钟，科隆右路传中，比当古前点近距离扫射被诺伊尔封出
52'马罗为科隆赢得一个任意球.                   49'补时第4分钟，科隆右路传中，比当古前点近距离扫射被诺伊尔封出
52'拜仁慕尼黑球员蒂亚戈拼抢犯规,对手获得控球权.                   49'补时第4分钟，科隆右路传中，比当古前点近距离扫射被诺伊尔封出
