29'拜仁右侧角球机会                   29'拜仁第29分钟扩大比分
29'拜仁又进一个！！！                   29'拜仁第29分钟扩大比分
29'阿拉巴！！！世界波！！！！                   29'拜仁第29分钟扩大比分
30'角球被顶出到外围，禁区前阿拉巴凌空抽射入死角                   29'拜仁第29分钟扩大比分
30'汉诺威0-2落后拜仁                   29'拜仁第29分钟扩大比分
32'穆勒斜传左路，科曼漏过                   29'拜仁第29分钟扩大比分
32'转移回去，格纳布里右路进禁区                   29'拜仁第29分钟扩大比分
32'倒三角被拦截了                   29'拜仁第29分钟扩大比分
53'右路继续，格纳布里做球被解围出边线                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
53'基米希上来，倒三角到禁区                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
53'拜仁又进球了！！！                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
53'格纳布里！！！                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
54'格纳布里禁区内接应基米希的传球，射门被封堵，自己跟上再打有了                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
54'汉诺威0-3落后拜仁                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
55'拜仁右路继续打                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
55'穆勒拿球横敲，格纳布里打门被封堵                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
55'后门柱，莱万补射被挡，角球                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
55'角球开出，被解围出危险区                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
56'科曼左路拿球下底，被原口元气破坏                   53'拜仁第53分钟扩大战果，蒂亚戈送出过顶球，基米希右路回敲，格纳布里禁区右侧扣球左脚射门被挡后距门6米处铲射入网，3比0
62'基米希右路大空当，拿球横敲                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
62'穆勒中路抽射被扑出                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
62'拜仁又进了！！！                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
62'莱万多夫斯基！！！！                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
63'穆勒打门被扑住，基米希二点拿好，搓传门前，莱万头球破门                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
63'汉诺威0-4落后拜仁                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
64'汉诺威换人，穆斯利亚换下浅野拓磨                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
64'穆斯利亚被断球                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
64'科曼左路带球，送入禁区                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
64'莱万单刀被破坏，角球                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
65'角球被安东顶出去                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
65'维丹特前场左路拿球，敲一步被拦截                   62'拜仁第62分钟再下一城，科曼回做，穆勒禁区前沿左脚抽射被埃塞尔侧扑封出，基米希禁区右侧底线停球左脚传中，莱万在门前4米处甩头顶进左下角，4比0，这是莱万本赛季俱乐部正式比赛第22球（含德国超级杯3球），排名欧洲首位
