2'埃弗拉接球的瞬间先越位了                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
2'德扬底线附近拿球，赢得一个界外球                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
2'于大宝右路下底被挡                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
3'郎征前场上抢的时候犯规                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
3'上港前场拿球做撞墙配合                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
3'埃弗拉禁区内拿球到底线                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
3'直接传球送到了杨智的手里                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
3'这球他应该还是想打一脚的                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
3'赵和靖中场控球给到徐云龙                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
4'巴塔拉右路跟队友撞墙配合                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
4'周挺右路起球送禁区内                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
4'也是送到了颜骏凌的手里                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
4'上港前场拿球给到边路                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
5'王燊超突破到底线下底                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
5'这球是先出了底线                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
5'德扬中场拿球给到边路                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
5'巴塔拉禁区中路得球                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
5'自己打了！！                   2'比赛打到第2分钟，埃弗拉禁区左侧射门被杨智得到
6'这球是打偏了                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
6'海森拉到边路来接球                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
7'边路的传球往禁区内送                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
7'球在前点就被国安队顶了出去                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
7'武磊前场中路拿球被绊倒                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
7'裁判也是警告了一下赵和靖                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
7'上港队前场的任意球                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
8'位置不错，距离也稍微有些远                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
8'不过在射程范围内                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
8'孙祥大力轰门打了一个低平球，球出了底线                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
8'裁判给了一个角球！                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
8'这球从慢镜头来看，并没有碰到防守球员                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
9'角球送中路，球被杨智击出                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
9'禁区外围，孙祥打一脚                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
9'这球很高，杨智也在观察                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
9'杨智打了一下后没有马上拿到                   6'第6分钟武磊突破赢得前场任意球，孙祥任意球打在对方腿上出底线
9'角球送中路，球被杨智击出                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
9'禁区外围，孙祥打一脚                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
9'这球很高，杨智也在观察                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
9'杨智打了一下后没有马上拿到                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
10'第二反应还是很快将球拿在手里                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
10'国安队右路起球送前点                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
10' 德扬滑铲打得太正！！                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
10'颜骏凌下意识扑了一下将球挡出                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
10'第二落点上港队将球拿到                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
11'陈志钊左路拿球传到后点                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
11'这球传的比较深，周挺没有追到                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
11'德扬前场接球先越位                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
12'陈志钊中场背身接球被王燊超推倒                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
12'巴塔拉右路拿球给到于大宝                   9'躲过一劫的国安险些首开纪录，第9分钟于大宝右路传中，德扬人群中杀出包抄铲射，被颜骏凌飞身把球扑出
14'国安队后场长传打到前场                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
14'这球传的没有什么威胁                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
15'于大宝今天在国安队的右路                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
15'上港进球了！！                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
15'海森！！                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
15'王燊超右路起球送禁区中路，海森俯身鱼跃头球顶在立柱内侧入网！                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
16'国安队这边队长徐云龙受伤了                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
16'队长袖标交给了杨智                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
17'国安队换人，徐云龙下，晋鹏翔上！                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
17'海森中场拿球给到边路                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
17'上港这边气势起来了                   14'第14分钟埃弗拉左路拿球向右侧及时转移，无人看守的王龀拿球后观察一下后，起脚传中到禁区，皮球绕过跟进稍慢的徐云龙，摆脱朗征的海森抢先到位，俯冲头球攻门，皮球撞门柱左侧后弹入门内，1比0，上港领先
16'国安队这边队长徐云龙受伤了                   16'第16分钟海森禁区外射门太正
16'队长袖标交给了杨智                   16'第16分钟海森禁区外射门太正
17'国安队换人，徐云龙下，晋鹏翔上！                   16'第16分钟海森禁区外射门太正
17'海森中场拿球给到边路                   16'第16分钟海森禁区外射门太正
17'上港这边气势起来了                   16'第16分钟海森禁区外射门太正
18'巴塔拉前场拿球给到左路                   16'第16分钟海森禁区外射门太正
18'陈志钊左路突破没有形成角球机会                   16'第16分钟海森禁区外射门太正
19'海森前场争抢犯规                   16'第16分钟海森禁区外射门太正
27'国安队这段时间有些困难                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
28'赵和靖禁区前沿犯规送给了对方任意球                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
28'新赛季两队有过失利吗？1有、2没有[qiangda]                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
28'看看上港的这次任意球机会                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
29'位置很好                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
29'巴塔拉这边提前移动被吹了犯规                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
29'巴塔拉得到一张黄牌                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
30'国安队这边认为，球是拨出来后巴塔拉在冲上去                   27'第27分钟赵和靖禁区外拦截时撞倒武磊，上港获得任意球机会，但在球没踢的情况下，人墙里的巴塔拉先跑出来拦截，结果吃到黄牌
