7'任意球直接打门，皮球弹地偏出底线                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
7'中场刘金东背后抢球放倒了王赟                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
8'任意球发出来，上海申鑫队中路短传渗透，没能成功                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
8'鲁能泰山队在路直传打身后球！！！大了                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
8'上海申鑫队长传球前场左路，凯萨前插，王彤护球出界                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
8'安塔尔后场直传，送到了对方脚下                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
9'中场上海申鑫队直传禁区，没有队员跟上，耿晓锋把球轻松没收                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
9'后场鲁能泰山队断球左路反击，王赟战术犯规                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
10'刘金东后场分边，对方铲抢出边线                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
10'鲁能泰山队左路挑传，对方两人关门把球断下来！                   7'第7分钟，山东鲁能获得任意球机会，王永珀大力远射稍稍偏出
19'崔鹏在前场左路拼抢，王赟阻挡犯规，手上有动作                   19'第19分钟，山东鲁能再次取得破门，后场送出长传，吕征拿球形成突破，弧线球传到禁区内，鲁能四点包抄，中路的王永珀高高跃起头球破门，0-2
19'鲁能泰山队进球，王永珀，2-0                   19'第19分钟，山东鲁能再次取得破门，后场送出长传，吕征拿球形成突破，弧线球传到禁区内，鲁能四点包抄，中路的王永珀高高跃起头球破门，0-2
20'吕征右路突破横传门前，王永珀抢点顶门！！球进！                   19'第19分钟，山东鲁能再次取得破门，后场送出长传，吕征拿球形成突破，弧线球传到禁区内，鲁能四点包抄，中路的王永珀高高跃起头球破门，0-2
21'后场鲁能泰山队得球左路传球被断                   19'第19分钟，山东鲁能再次取得破门，后场送出长传，吕征拿球形成突破，弧线球传到禁区内，鲁能四点包抄，中路的王永珀高高跃起头球破门，0-2
21'安东尼奥左路斜传禁区，凯萨抢点冲顶被挡在身后！！好悬！                   19'第19分钟，山东鲁能再次取得破门，后场送出长传，吕征拿球形成突破，弧线球传到禁区内，鲁能四点包抄，中路的王永珀高高跃起头球破门，0-2
22'耿晓锋开门球直接开出边线，应该少一些这样的失误                   19'第19分钟，山东鲁能再次取得破门，后场送出长传，吕征拿球形成突破，弧线球传到禁区内，鲁能四点包抄，中路的王永珀高高跃起头球破门，0-2
21'后场鲁能泰山队得球左路传球被断                   21'第21分钟，上海申鑫长传被王彤解围，安东尼奥得球弧线球传中，凯撒鱼跃头球稍晚，没能顶到球
21'安东尼奥左路斜传禁区，凯萨抢点冲顶被挡在身后！！好悬！                   21'第21分钟，上海申鑫长传被王彤解围，安东尼奥得球弧线球传中，凯撒鱼跃头球稍晚，没能顶到球
22'耿晓锋开门球直接开出边线，应该少一些这样的失误                   21'第21分钟，上海申鑫长传被王彤解围，安东尼奥得球弧线球传中，凯撒鱼跃头球稍晚，没能顶到球
23'中场上海申鑫队得球挑传禁区，这样的传球对耿晓锋来说很轻松！                   21'第21分钟，上海申鑫长传被王彤解围，安东尼奥得球弧线球传中，凯撒鱼跃头球稍晚，没能顶到球
23'吕征右路突破到禁区，对方两人上来逼抢！！没办法传起来                   21'第21分钟，上海申鑫长传被王彤解围，安东尼奥得球弧线球传中，凯撒鱼跃头球稍晚，没能顶到球
24'凯萨左路突破到禁区内横传，刘峻楠突破被王彤放倒，点球！！！！                   21'第21分钟，上海申鑫长传被王彤解围，安东尼奥得球弧线球传中，凯撒鱼跃头球稍晚，没能顶到球
