1'达姆施塔特球员西里古大禁区右侧右脚射门,被防守球员封堵.给他传球的是海勒.                   1'第1分钟，黑勒左路突破回传，西里古后点射门被蒂亚戈封堵
3'拜仁慕尼黑球员比达尔大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是蒂亚戈.                   1'第1分钟，黑勒左路突破回传，西里古后点射门被蒂亚戈封堵
71'达姆施塔特球员霍兰德拼抢犯规,对手获得控球权.                   71'拜仁第71分钟打破僵局
71'拉菲尼亚为拜仁慕尼黑在对方半场,赢得一个任意球.                   71'拜仁第71分钟打破僵局
71'进球啦！！！拜仁慕尼黑球员道格拉斯-科斯塔大禁区外左脚射门,球从左上角飞进球门,球进了!助攻的是蒂亚戈. 达姆施塔特 0-1 拜仁慕尼黑.                   71'拜仁第71分钟打破僵局
73'拜仁慕尼黑球员穆勒大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阿拉巴.                   71'拜仁第71分钟打破僵局
74'达姆施塔特球员席普洛克拼抢犯规,对手获得控球权.                   71'拜仁第71分钟打破僵局
74'哈维-马丁内斯为拜仁慕尼黑赢得一个任意球.                   71'拜仁第71分钟打破僵局
77'射门!!!达姆施塔特球员Jérôme Gondorf大禁区外右脚射门,被对方守门员横身扑出.                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
77'射门!!!达姆施塔特球员尼迈尔大禁区中央头球,被对方守门员横身扑出.                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
78'达姆施塔特球员海勒拼抢犯规,对手获得控球权.                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
78'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
78'达姆施塔特换人,乔拉克换下尼迈尔                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
80'拜仁慕尼黑换人,基米希换下穆勒                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
80'达姆施塔特球员西里古危险动作,对手获得控球权.                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
80'里贝里为拜仁慕尼黑赢得一个任意球.                   77'拜仁第77分钟经历险情，贡多夫禁区弧顶任意球造成诺伊尔脱手，尼迈尔在门前7米处冲顶太正被诺伊尔抱住
