1'上半场比赛开始！！！                   1'曼城第1分钟全力施压
1'首先开球的是布莱顿                   1'曼城第1分钟全力施压
1'不好意思首先开球的是曼城                   1'曼城第1分钟全力施压
1'曼城今天是身穿一身枣红色的比赛球衣                   1'曼城第1分钟全力施压
1'布莱顿中场断球                   1'曼城第1分钟全力施压
1'送直塞给到前场                   1'曼城第1分钟全力施压
1'埃德森冲出禁区线将球解围                   1'曼城第1分钟全力施压
2'曼城后场边路拿球                   1'曼城第1分钟全力施压
2'马奇的上抢造成了曼城的失误                   1'曼城第1分钟全力施压
2'布莱顿右路起球送禁区                   1'曼城第1分钟全力施压
2'落点上稍稍差了一点点                   1'曼城第1分钟全力施压
2'曼城这边的反击机会                   1'曼城第1分钟全力施压
3'曼城这边中场控球                   1'曼城第1分钟全力施压
3'孔帕尼拿球回敲                   1'曼城第1分钟全力施压
4'曼城今天穿红色的球衣也是有些别扭                   1'曼城第1分钟全力施压
4'奥塔门迪中场拿球给到边路                   1'曼城第1分钟全力施压
4'热苏斯禁区内拿球                   1'曼城第1分钟全力施压
4'面对两人的包夹                   1'曼城第1分钟全力施压
4'直接选择了打门                   1'曼城第1分钟全力施压
4'这球也是被后卫挡出                   1'曼城第1分钟全力施压
27'曼城这边先进球了                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
27'但哨子先响了                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
27'进球无效                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
27'热苏斯这边也是受伤倒地                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
28'热苏斯跟门将撞在了一起                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
28'热苏斯也是用手将球拍进球门                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
28'比较明显的手球                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
29'热苏斯得到一张黄牌！                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
29'热苏斯在场边也是接受队医的检查                   27'第27分钟，德布劳内直传，热苏斯高速插上将皮球拍入大门，他也被黄牌警告
53'布莱顿这边前场投入的兵力并不多                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
54'布莱顿右路拿球被破坏                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
54'边路的挑传被破坏                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
55'布莱顿这边左路进攻上来                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
55'底线这边回敲回来                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
55'边路起球送你禁区                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
55'后卫的头球解围将球顶了出去                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
55'布莱顿的角球机会                   52'第52分钟，费尔南迪尼奥挑传，越位位置的席尔瓦横敲热苏斯打入空门，进球无效
70'机会不好直接回传门将                   70'曼城第70分钟打破僵局，德布劳内策动进攻，席尔瓦直传，无人防守的阿圭罗禁区右肋10码处射入远角
70'0-1！！！                   70'曼城第70分钟打破僵局，德布劳内策动进攻，席尔瓦直传，无人防守的阿圭罗禁区右肋10码处射入远角
70'阿圭罗！！！                   70'曼城第70分钟打破僵局，德布劳内策动进攻，席尔瓦直传，无人防守的阿圭罗禁区右肋10码处射入远角
