2'比达尔右侧直塞禁区！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
2'苏亚雷斯斜插射门！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
2'被门将挡出！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
2'球被解围出去！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
3'阿尔巴分中路苏亚雷斯！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
3'中路直接远射！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
3'球被门将拿到！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
3'莱万特左侧进攻拿到角球1                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
4'角球给前点被解围了！                   2'开场仅2分钟，比达尔直传，苏亚雷斯小禁区右上角外低射被费尔南德斯用腿挡出
41'库蒂尼奥助跑！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
41'任意球直接射！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
41'香蕉球！！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
41'碰！！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
41'打中横梁弹出底线！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
43'塞梅多右侧突破分球！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
43'被铲倒犯规！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
43'巴萨前场右侧任意球！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
44'任意球给到禁区！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
44'被解围出右侧底线！                   41'第41分钟，库蒂尼奥25码处任意球直接射门击中横梁弹出
62'苏亚雷斯禁区右侧左脚扫射！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
62'被防守球员挡出！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
62'中路拼抢到了禁区！                   62'巴萨第62分钟打破僵局，苏亚雷斯禁区右侧射门被封堵，比达尔前顶，梅西10码处扣过罗贝尔后射门，皮球被费尔南德斯扑挡后仍入网
