6'射门!!!罗马球员德罗西大禁区外右脚射门,被对方守门员横身扑出.给他传球的是皮亚尼奇.                   6'开场6分钟，德罗西在门前28米处大力抽射被汉达诺维奇封出左门柱
7'埃尔纳内斯为国际米兰赢得一个任意球.                   6'开场6分钟，德罗西在门前28米处大力抽射被汉达诺维奇封出左门柱
7'罗马球员纳因戈兰拼抢犯规,对手获得控球权.                   6'开场6分钟，德罗西在门前28米处大力抽射被汉达诺维奇封出左门柱
8'罗马雅尼加-姆比瓦受伤倒地,比赛暂停                   6'开场6分钟，德罗西在门前28米处大力抽射被汉达诺维奇封出左门柱
9'暂停结束,球员们重新开始比赛.                   6'开场6分钟，德罗西在门前28米处大力抽射被汉达诺维奇封出左门柱
15'进球啦！！！国际米兰球员埃尔纳内斯大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是帕拉西奥. 国际米兰 1-0 罗马.                   15'国米第15分钟取得领先
18'Víctor Ibarbo为罗马赢得一个任意球.                   15'国米第15分钟取得领先
18'国际米兰球员胡安拼抢犯规,对手获得控球权.                   15'国米第15分钟取得领先
49'罗马球员托蒂一脚直塞球给Víctor Ibarbo,但是边裁举旗显示后者已经越位.                   49'罗马4分钟后几乎追平，托蒂右侧斜传，拉诺基亚禁区内铲球解围不远，伊瓦尔沃在门前12米处左脚半凌空补射击中左门柱底部
50'国际米兰球员伊卡尔迪大禁区外右脚射门,被防守球员封堵.                   49'罗马4分钟后几乎追平，托蒂右侧斜传，拉诺基亚禁区内铲球解围不远，伊瓦尔沃在门前12米处左脚半凌空补射击中左门柱底部
51'罗马球员纳因戈兰大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是弗洛伦齐.                   49'罗马4分钟后几乎追平，托蒂右侧斜传，拉诺基亚禁区内铲球解围不远，伊瓦尔沃在门前12米处左脚半凌空补射击中左门柱底部
52'国际米兰球员伊卡尔迪大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是瓜林.                   49'罗马4分钟后几乎追平，托蒂右侧斜传，拉诺基亚禁区内铲球解围不远，伊瓦尔沃在门前12米处左脚半凌空补射击中左门柱底部
52'罗马换人,凯塔换下托蒂                   49'罗马4分钟后几乎追平，托蒂右侧斜传，拉诺基亚禁区内铲球解围不远，伊瓦尔沃在门前12米处左脚半凌空补射击中左门柱底部
52'国际米兰球员伊卡尔迪大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是瓜林.                   52'下半时开始7分钟，瓜林反击直传，伊卡尔迪禁区右侧射门偏出近门柱
