14'蒿俊闵交给戴琳，分给李松益                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
14'回给戴琳，长传找到了吴兴涵                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
14'下底传中，张弛插到门前俯射冲顶，球进了！                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
15'黄政宇交给右路的雷纳迪尼奥                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
16'交给陈志钊，直传给了唐淼，唐淼下底传中，戴琳头球后蹭解围                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
16'弋腾交给张贤秀，李提香接应一下                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
16'扎哈维接应交给陈志钊，分左侧，给大了球直接传出边线                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
17'李松益掷界外球                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
17'唐淼控球回传给黄政宇                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
17'富力在后场倒脚                   14'第14分钟，吴兴涵边路突破送助攻，张弛俯身冲顶头球破门
60'塔尔德利护球传中被黄政宇拦截出边线                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
60'宋龙掷界外球，塔尔德利回做                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
60'球出边线                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
60'陈志钊带球突进，分给肖智                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
60'雷纳迪尼奥横传被拦截                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
61'塔尔德利左路得球，内切低射打进了球门左下角！                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
62'比赛继续                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
62'佩莱直传，塔尔德利禁区内推射被程月磊扑住                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
62'这球也是相当危险                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
62'如果不是程月磊输得更多                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
63'卢琳护球被张弛踢倒                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
63'富力左路的任意球机会                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
63'鲁能准备换上刘彬彬                   60'第60分钟，王彤断球送出斜传，塔尔德利内切过三人后低射破门
59'蒿俊闵左路带球进了禁区，传中，佩莱停球打门被姜至鹏挡出                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
59'富力的右路继续相当吃力                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
60'塔尔德利护球传中被黄政宇拦截出边线                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
60'宋龙掷界外球，塔尔德利回做                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
60'球出边线                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
60'陈志钊带球突进，分给肖智                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
60'雷纳迪尼奥横传被拦截                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
61'塔尔德利左路得球，内切低射打进了球门左下角！                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
62'比赛继续                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
62'佩莱直传，塔尔德利禁区内推射被程月磊扑住                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
62'这球也是相当危险                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
62'如果不是程月磊输得更多                   59'第14分钟，戴琳后场送出长传，吴兴涵边路拿球踩单车过人后送出弧线球传中，前点佩莱吸引防守，后点的张弛俯身头球破门，山东鲁能1-0领先
