1'上半场比赛开始！                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
1'首先开球的是拉齐奥队                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
1'拉齐奥后场长传被德希利奥顶了一下                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
1'拉齐奥获得角球机会                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
2'角球送到前点，卢利奇的头球攻门在阿巴特的干扰下将球顶偏                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
2'卢利奇起身后也是跟裁判申诉阿巴特手上有附加动作                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
2'佩雷里尼亚中场拿球送到边路                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
2'德希利奥先出一脚将球破坏出边线                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
3'萨帕塔后场的传球被佩雷里尼亚顶了一下                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
3'拉齐奥右路斜传送到禁区，队友没有跑位                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
4'米兰后场长传打到前场，沙拉维直接将球横敲被拉齐奥后卫挡了一下后又回到沙拉维脚下                   1'第1分钟，坎德雷瓦开出角球，卢利奇小角度头球偏出
5'沙拉维左侧小禁区内想打个门将的两腿之间结果被马尔凯蒂封出                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
5'米兰右侧传球送到禁区内，沙拉维停球后摆脱防守                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
6'马尔凯蒂出击干扰了下沙拉维，结果帕齐尼的补射打远角偏出门框                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
6'坎德雷瓦右路带球突破到禁区内，底线的回敲送到禁区前沿                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
6'弗洛卡里跟上的射门打得没什么力量被阿比亚蒂得到                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
7'蒙托利沃中场拿球将球横向转移                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
7'德希利奥左路斜传球送到禁区内，第一点被拉齐奥顶了出来                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
8'博阿滕右路禁区边缘拿球将球横敲                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
8'沙拉维得球后将球回做                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
8'安布罗西尼跟上的打门被防守球员挡出                   5'第5分钟，坎德雷瓦突入禁区右侧回传，弗洛卡里在门前14米处推射被阿比亚蒂没收
