1'上半场比赛开始了                   1'双方第1分钟小心试探
1'埃弗顿开出皮球                   1'双方第1分钟小心试探
2'埃弗顿后场长传，被吕迪格顶了回去                   1'双方第1分钟小心试探
2'摩西边线球掷出来，球被踢了回去                   1'双方第1分钟小心试探
3'路易斯后场拿球给到左侧                   1'双方第1分钟小心试探
3'坎特防守推倒了桑德罗                   1'双方第1分钟小心试探
4'埃弗顿后场长传球，霍尔盖特没能追到啊                   1'双方第1分钟小心试探
4'莫拉塔左路突入禁区，一脚打门被封堵                   1'双方第1分钟小心试探
27'威廉斯后场拼抢犯规了                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
27'切尔西快速开出定位球                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
27'进球啦                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
27'小法的进球                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
29'小法禁区内和莫拉塔撞墙后，外脚背写意般的射门打进                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
30'皮克福德后场拿球给到威廉斯                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
30'戴维斯中场得球再回做                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
30'皮克福德开出皮球，被顶出了边线                   27'切尔西第27分钟打破僵局，小法传球，威廉右路吸引防守后回传，小法又同莫拉塔踢墙配合，前皇马中锋头球摆渡，小法10码处第一时间低射左下角入网
40'进球啦                   40'切尔西第40分钟扩大比分，威廉禁区右侧突破受阻，阿斯皮利奎塔斜传，无人盯防的莫拉塔小禁区前头球破门，2-0
40'切尔西外围吊到禁区，莫拉塔头球破门                   40'切尔西第40分钟扩大比分，威廉禁区右侧突破受阻，阿斯皮利奎塔斜传，无人盯防的莫拉塔小禁区前头球破门，2-0
41'阿斯皮利奎塔的传中球，精确制导啊                   40'切尔西第40分钟扩大比分，威廉禁区右侧突破受阻，阿斯皮利奎塔斜传，无人盯防的莫拉塔小禁区前头球破门，2-0
41' 基恩一脚横向转移球，被上抢的摩西断下                   40'切尔西第40分钟扩大比分，威廉禁区右侧突破受阻，阿斯皮利奎塔斜传，无人盯防的莫拉塔小禁区前头球破门，2-0
42' 分到中路的小法                   40'切尔西第40分钟扩大比分，威廉禁区右侧突破受阻，阿斯皮利奎塔斜传，无人盯防的莫拉塔小禁区前头球破门，2-0
43'控球比是52对48                   40'切尔西第40分钟扩大比分，威廉禁区右侧突破受阻，阿斯皮利奎塔斜传，无人盯防的莫拉塔小禁区前头球破门，2-0
43'格耶前场得球回敲贝恩斯                   40'切尔西第40分钟扩大比分，威廉禁区右侧突破受阻，阿斯皮利奎塔斜传，无人盯防的莫拉塔小禁区前头球破门，2-0
85'贝恩斯45度传禁区，威廉斯头球顶偏了                   85'埃弗顿全场最好机会出现在第85分钟，西古德森角球混战中左路传中，但阿什利-威廉姆斯小禁区前头球攻门，皮球擦右侧立柱偏出
85'库尔图瓦大脚开了出去                   85'埃弗顿全场最好机会出现在第85分钟，西古德森角球混战中左路传中，但阿什利-威廉姆斯小禁区前头球攻门，皮球擦右侧立柱偏出
86'阿隆索禁区前沿打门，被挡出底线                   85'埃弗顿全场最好机会出现在第85分钟，西古德森角球混战中左路传中，但阿什利-威廉姆斯小禁区前头球攻门，皮球擦右侧立柱偏出
86'切尔西左侧角球                   85'埃弗顿全场最好机会出现在第85分钟，西古德森角球混战中左路传中，但阿什利-威廉姆斯小禁区前头球攻门，皮球擦右侧立柱偏出
87'小法角球找前点，被鲁尼解围                   85'埃弗顿全场最好机会出现在第85分钟，西古德森角球混战中左路传中，但阿什利-威廉姆斯小禁区前头球攻门，皮球擦右侧立柱偏出
87'摩西右路传中，被解围了出去                   85'埃弗顿全场最好机会出现在第85分钟，西古德森角球混战中左路传中，但阿什利-威廉姆斯小禁区前头球攻门，皮球擦右侧立柱偏出
88'列侬禁区内回做，外围格耶射门被库尔图瓦扑出底线                   85'埃弗顿全场最好机会出现在第85分钟，西古德森角球混战中左路传中，但阿什利-威廉姆斯小禁区前头球攻门，皮球擦右侧立柱偏出
