9'莫雷诺斜传左路，曹赟定领球进禁区                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
9'登巴巴背身拿球，把球敲出去                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
9'王刚右路断球，带球出了边线                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
10'王赟左侧肋部塞球，登巴巴远射被封堵                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
11'登巴巴左路下底强行突破，陈昌源先解围                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
12'西索科中场拿球转身，交给莫雷诺                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
12'王刚停球过大，直接回到后场申花队员脚下                   9'第9分钟，状态正佳的登巴巴禁区外远射被后卫奋不顾身挡出
17'陈昌源右路内切，再向王刚这边送，依旧给出边线                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
17'莫雷诺中场带球被绊倒                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
18'张璐右路高速下底传中，外围曹赟定禁区前接应                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
18'莫雷诺套上，禁区内接球斜射打偏！                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
19'王刚右路超车赶在柏佳俊前接应，回敲禁区前                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
19'米西莫维奇低射被耿晓峰扑住                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
20'浴水清蟾51927：今天贵阳冷惨了，上海队员恐怕受不了                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
20'王赟斜传左路，传大了给出边线                   17'第17分钟，上海申花边路突破后传到中路，曹赟定得球分球，莫雷诺复制刚刚登巴巴刚才射门，球擦着立柱偏出
