3'于海左路拿球突破被侵犯                   3'第3分钟辽宁快攻到前场，但最后远射打偏
4'上港前场左路获得定位球机会                   3'第3分钟辽宁快攻到前场，但最后远射打偏
4'孔卡任意球送前点                   3'第3分钟辽宁快攻到前场，但最后远射打偏
4'杨善平头球顶了出来                   3'第3分钟辽宁快攻到前场，但最后远射打偏
4'辽宁宏运这边有机会                   3'第3分钟辽宁快攻到前场，但最后远射打偏
4'禁区外围，孙世林远射将球打偏                   3'第3分钟辽宁快攻到前场，但最后远射打偏
4'这球打得并不自行                   3'第3分钟辽宁快攻到前场，但最后远射打偏
14'上港前场左路拿球                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
14'孔卡出球后被放倒                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
14'辽宁队中后场断球                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
14'杨超声传球给波利                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
14'这球传到了波利身后                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
14'吉安前场争抢头球的时候先犯规                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
14'辽宁队今天打得还是比较保守                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
15'丁海峰这边的防守压力也是比较重                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
15'上港队这边又获得角球机会                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
15'角球送前点                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
15'辽宁队先将球解围                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
15'上港边路再传，又是被挡出底线                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
15'角球直接转向球门，张鹭将球击了一下                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
16'张鹭这球没敢拿                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
16'上港将球打到禁区找吉安                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
16'辽宁队这边头球顶出底线                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
16'角球送前点，辽宁队抢到第一点                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
16'孔卡禁区外围打远射将球打高了                   14'第14分钟孔卡角球直接攻门被张鹭打出，外围孔卡球重新传进，王博在上港两人中间把球顶出界外，孙祥换到左路开出角球，辽宁解围不远，孔卡远射稍高出界
21'于海边路传球送禁区                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
21'威胁并不大                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
21'孔卡左路到了禁区有机会                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
22'横敲到门前被丁捷解围了出去！！                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
22'这球传的非常有威胁                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
22'让后卫也不是很好处理                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
23'丁捷中场附近拿球被侵犯                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
23'上港这边想把节奏打快                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
23'但辽宁宏运这边并不着急                   20'第20分钟达维左路直传，孔卡杀入禁区假射真传，丁捷第一下没拦好，但反应很快的他随即再起一脚解围
27'长传打到了上港队的身后                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
27'杨超声底线接球后将球回敲                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
27'孙世林前场送直塞到禁区                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
27'蔡慧康这边干扰了一下                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
28'上港右路起送禁区中路                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
28'吉安这边头球差了一点点                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
29'王燊超中场拦截犯规                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
29'王燊超得到一张黄牌！                   27'上港进攻只能更为疯狂，第27分钟孔卡禁区内转身传中，吉安尽全力拼命跃起，头球射门偏出
32'辽宁宏运右路拿球被破坏                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
32'宏运界外球掷到禁区里                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
32'颜骏凌出来将球拿到                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
32'上港快速攻到前场                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
33'转移到右路被孙世林滑铲解围                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
33'孙祥左路助攻上来                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
33'边路起送禁区内                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
33'队友蝎子摆尾把球停给了武磊                   32'第32分钟上港右路掷出界外球，孔卡禁区外得球稍微观察一下后，突然起右脚怒射，皮球炮弹一样飞入大门右侧，1比1
