6'桑切斯分禁区左侧马夏尔！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
6'马夏尔侧身扫射！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
6'球被挡出左侧底线！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
6'角球给到前点！被解围了！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
6'弗雷德中路挑传禁区左侧！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
7'马塔越位在先了！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
7'弗雷泽左侧突破！传中被阿什利-扬挡出底线！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
8'阿什利-扬倒地很快起来！没有大碍！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
8'伯恩茅斯角球给小禁区！博格巴头球解围了！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
8'斯莫林得球分右侧弗雷德！快速推进直塞前场右侧！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
8'桑切斯停球被解围出底线！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
8'曼联右侧角球！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
9'角球给到小禁区！球被贝戈维奇摘下！                   6'6分钟后，弗雷泽挑传，威尔逊小禁区左侧凌空垫射被德赫亚挡出
11'伯恩茅斯左侧进攻！直塞到禁区内！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
11'弗雷泽传中到小禁区！威尔逊凌空捅射！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
11'德赫亚挡了下来！球被解围出右侧底线！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
11'伯恩茅斯右侧角球给到禁区被解围了！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
11'伯恩茅斯右侧继续传中！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
11'威尔逊门前抢点推射破门！！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
12'曼联开局不利啊！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
13'比赛继续！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
14'弗雷泽左侧传中到后点！被破坏出去！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
14'伯恩茅斯继续进攻！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
14'回传给刘易斯！交给后场库克！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
14'横传阿克！短传刘易斯！                   11'伯恩茅斯第11分钟取得领先，曼联解围角球，斯坦尼斯拉斯右路传中，威尔逊小禁区边缘推射入网
35'弗朗西斯右侧得球45度传中！                   35'曼联第35分钟扳平，阿什利-扬传球，桑切斯禁区右侧传中，马夏尔12码处推射入网，1-1
35'偏出左侧底线！                   35'曼联第35分钟扳平，阿什利-扬传球，桑切斯禁区右侧传中，马夏尔12码处推射入网，1-1
35'阿什利-扬右侧反击！直塞禁区右侧！                   35'曼联第35分钟扳平，阿什利-扬传球，桑切斯禁区右侧传中，马夏尔12码处推射入网，1-1
35'桑切斯得球横传中路！                   35'曼联第35分钟扳平，阿什利-扬传球，桑切斯禁区右侧传中，马夏尔12码处推射入网，1-1
35'马夏尔插上推射！球进了！！！！                   35'曼联第35分钟扳平，阿什利-扬传球，桑切斯禁区右侧传中，马夏尔12码处推射入网，1-1
64'曼联右侧进攻获得任意球！                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
64'任意球直接打门！贝戈维奇扑救脱手了1                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
64'禁区内的补射！门线上被解围了1                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
65'马夏尔左侧反击！球被铲出边线！                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
66'边线球给出来！拼抢出了边线！                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
66'德赫亚后场得球！大脚给到中场！                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
66'马夏尔点给左侧博格巴！横传弧顶！                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
66'埃雷拉迎球左脚爆射！                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
67'偏出左侧立柱啊！！                   64'第64分钟，阿什利-扬右路禁区前任意球直接射门打中横梁弹回，拉什福德小禁区边缘射门被阿克封挡，博格巴近距离射门也被布洛克斯封堵
92'林德洛夫分左侧卢克肖！长传前场中路！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
92'博格巴带左侧！下底传中！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
92'后点拉什福德得球！左脚推射！！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
92'GOOOOOOOOOOOOOOAL！！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
93'曼联反超了比分！！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
94'伯恩茅斯后场推进！弗朗西斯右侧拿球被埃雷拉犯规了！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
94'贝戈维奇长传前场！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
94'争顶后弗朗西斯大脚往前给！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
94'被头球解围了！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
95'威尔逊左侧得球传中！偏出了禁区！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
95'博格巴大脚往前给！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
95'拼抢后阿克右侧转身！球别捅走！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
95'德赫亚慢慢拿起球！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
95'大脚欸中场！球拼抢出边线！                   92'曼联第92分钟绝杀，博格巴左路传中，阿克冒顶，拉什福德胸部停球小禁区边缘抽射入网，2-1
