1'霍恩为科隆赢得一个任意球.                   1'第1分钟，科隆全线退守打反击，拜仁踢得很有耐心，控球率接近80%
1'拜仁慕尼黑球员穆勒拼抢犯规,对手获得控球权.                   1'第1分钟，科隆全线退守打反击，拜仁踢得很有耐心，控球率接近80%
3'射门!!!科隆球员Simon Zoller大禁区外左脚射门,被对方守门员横身扑出.给他传球的是格哈特.                   1'第1分钟，科隆全线退守打反击，拜仁踢得很有耐心，控球率接近80%
16'拜仁慕尼黑球员道格拉斯-科斯塔左侧远离球门处小角度左脚射门,被防守球员封堵.给他传球的是莱万多夫斯基.                   16'第16分钟，又是莱万争到落点，科斯塔左侧凌空斜射被瑟伦森挡出底线
17'索伦森将球处理出底线,拜仁慕尼黑获得角球.                   16'第16分钟，又是莱万争到落点，科斯塔左侧凌空斜射被瑟伦森挡出底线
18'格哈特为科隆赢得一个任意球.                   16'第16分钟，又是莱万争到落点，科斯塔左侧凌空斜射被瑟伦森挡出底线
18'拜仁慕尼黑球员比达尔拼抢犯规,对手获得控球权.                   16'第16分钟，又是莱万争到落点，科斯塔左侧凌空斜射被瑟伦森挡出底线
50'射门!!!科隆球员莱曼大禁区外右脚射门,被对方守门员横身扑出.给他传球的是福格特.                   50'仅过5分钟，科曼左路扣过索伦森切入禁区回传，比达尔在门前14米处推进左下角，2比0，科曼近5场德甲参与4球(2球，2次助攻)
52'拜仁慕尼黑球员科曼大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是道格拉斯-科斯塔.                   50'仅过5分钟，科曼左路扣过索伦森切入禁区回传，比达尔在门前14米处推进左下角，2比0，科曼近5场德甲参与4球(2球，2次助攻)
53'射门!!!拜仁慕尼黑球员莱万多夫斯基大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是罗本.                   50'仅过5分钟，科曼左路扣过索伦森切入禁区回传，比达尔在门前14米处推进左下角，2比0，科曼近5场德甲参与4球(2球，2次助攻)
62'拜仁慕尼黑换人,哈维-马丁内斯换下博阿滕                   62'拜仁第62分钟再添一分，科斯塔左侧开出任意球，莱万前点距门6米处头球弹地入远角，3比0，莱万近12场俱乐部和国家队比赛打进20球，代表拜仁40场德甲30球，而在多特蒙德踢了67场德甲才达到30球
62'进球啦！！！拜仁慕尼黑球员莱万多夫斯基大禁区中央头球,球从中路飞进球门,球进了!助攻的是道格拉斯-科斯塔. 拜仁慕尼黑 3-0 科隆.                   62'拜仁第62分钟再添一分，科斯塔左侧开出任意球，莱万前点距门6米处头球弹地入远角，3比0，莱万近12场俱乐部和国家队比赛打进20球，代表拜仁40场德甲30球，而在多特蒙德踢了67场德甲才达到30球
64'科隆球员Simon Zoller大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是格哈特.                   62'拜仁第62分钟再添一分，科斯塔左侧开出任意球，莱万前点距门6米处头球弹地入远角，3比0，莱万近12场俱乐部和国家队比赛打进20球，代表拜仁40场德甲30球，而在多特蒙德踢了67场德甲才达到30球
65'拜仁慕尼黑换人,基米希换下罗本                   62'拜仁第62分钟再添一分，科斯塔左侧开出任意球，莱万前点距门6米处头球弹地入远角，3比0，莱万近12场俱乐部和国家队比赛打进20球，代表拜仁40场德甲30球，而在多特蒙德踢了67场德甲才达到30球
76'科隆球员马罗犯规,致使对方获得点球.                   76'第76分钟，莱万禁区左侧接应传球，在里塞和马罗夹防下倒地，点球
76'点球,莱万多夫斯基在禁区内被侵犯,拜仁慕尼黑获得点球.                   76'第76分钟，莱万禁区左侧接应传球，在里塞和马罗夹防下倒地，点球
77'进球啦！！！拜仁慕尼黑球员穆勒右脚射门,球从右下角飞进球门,球进了! 拜仁慕尼黑 4-0 科隆.                   76'第76分钟，莱万禁区左侧接应传球，在里塞和马罗夹防下倒地，点球
78'拜仁慕尼黑换人,蒂亚戈换下穆勒                   76'第76分钟，莱万禁区左侧接应传球，在里塞和马罗夹防下倒地，点球
