4'富勒姆的防线收的挺厉害                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
4'凶悍的铲球，加西亚放倒了路易斯                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
4'富勒姆再次传球失误                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
5'阿坤抢断后敲给图雷，禁区外自己打远射！！！偏了                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
5'富勒姆防守的这边恰好是正对阳光                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
6'后场起高球，富勒姆分边到右路                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
6'达夫传中球质量不高                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
6'富勒姆重新把球控制住                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
7'达夫给休斯的传球触地之后突然弹起，休斯不慎手球了                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
7'阿奎罗左路连续突破，反向传球给巴里                   4'第4分钟，阿圭罗传球，亚亚-图雷禁区前劲射偏出
13'富勒姆右路推进                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
13'图雷回来参与防守，身体抗住了对方前锋                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
13'特维斯到了禁区内，3人在包夹                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
13'特维斯连续的盘带，禁区线上强行打门！没什么力量                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
15'富勒姆虽然控球时间不多，不过他们的几名前锋总是能够给曼城制造威胁                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
15'前面打不开，图雷也只有频频的回来到后场拿球                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
15'图雷传球被彼得里奇挡了一下                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
15'富勒姆的快速反击                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
16'罗达莱加低平球横敲，彼得里奇迎球推射！可惜打高了                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
16'曼城这段时间几乎就没看到过席尔瓦的身影                   13'第13分钟，席尔瓦传球，特维斯禁区前的射门被鲁迪得到
25'伯纳乌先生:以曼城的人员配置，拿个欧冠冠军都没问题，可是……可是……哎---说实话曼城的后防线并不是顶级的，头重脚轻啊                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
25'特维斯横向盘带，找到萨巴莱塔的空当，传球落点不错                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
26'萨巴莱塔横传门前，汉格兰德倒地把球解围出去                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
26'彼得里奇分到左路，里瑟再次插上                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
27'传球出现了失误，西德维尔赶紧的战术犯规                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
27'罗达莱加被孔帕尼撞倒，曼城送上定位球                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
27'孔帕尼的出脚真狠啊                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
28'裁判并没有掏牌，其实这个动作完全够得上了                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
28'进入了重炮里瑟的射程范围                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
28'呼！这球果然直接打门！                   25'此后的比赛陷入僵局，第25分钟，特维斯斜传，萨巴莱塔禁区右侧传中，汉格兰德小禁区内抢在亚亚-图雷之前解围
29'贴着草皮飞行了30多米，哈特把球压在身下                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
29'又到了萨巴莱塔脚下，传中球有些别扭                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
29'应该是个角球，后卫挡了一下                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
29'后点空门了！                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
30'前点被加西亚顶到，无人防守位置的阿奎罗头球！顶偏了                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
31'特维斯个人突进，禁区内摔倒了！                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
31'特维斯这下要不干了                   29'曼城第29分钟错失良机，席尔瓦开出角球，哈维-加西亚头球蹭到远点，阿圭罗小禁区左侧头球攻门偏出近角
