1'上半场比赛开始了                   1'双方第1分钟均显得小心谨慎
1'纽卡率先开球                   1'双方第1分钟均显得小心谨慎
1'球回传到后场，中路长传                   1'双方第1分钟均显得小心谨慎
1'摩西把球挡回                   1'双方第1分钟均显得小心谨慎
1'姆本巴中圈左侧碰出边线                   1'双方第1分钟均显得小心谨慎
1'切尔西界外球给出来                   1'双方第1分钟均显得小心谨慎
1'右侧拼抢，梅里诺得球，分到左侧                   1'双方第1分钟均显得小心谨慎
2'一脚传中，小禁区前沿杯吕迪格头球挡出                   1'双方第1分钟均显得小心谨慎
2'外围右侧拼抢，纽卡把球碰出边线                   1'双方第1分钟均显得小心谨慎
2'后场右侧界外球，交给阿紫脚下                   1'双方第1分钟均显得小心谨慎
2'回敲吕迪格，在给门将库尔图瓦                   1'双方第1分钟均显得小心谨慎
2'大脚抡起来                   1'双方第1分钟均显得小心谨慎
2'右侧纽卡把球拦截，交给墨菲                   1'双方第1分钟均显得小心谨慎
3'横敲，，送到禁区附近，被解围                   1'双方第1分钟均显得小心谨慎
3'外围小法得球，左侧在给到中圈                   1'双方第1分钟均显得小心谨慎
3'德林克沃特拿球被对方绊倒在地                   1'双方第1分钟均显得小心谨慎
3'切尔西定位球，给到中圈的小法                   1'双方第1分钟均显得小心谨慎
3'长传搓起来，，被后卫大脚解围                   1'双方第1分钟均显得小心谨慎
3'克里斯滕森拿球，左侧在给小法                   1'双方第1分钟均显得小心谨慎
3'低球斜传，出了边线                   1'双方第1分钟均显得小心谨慎
3'纽卡界外球，交给右路迪亚梅                   1'双方第1分钟均显得小心谨慎
4'分到边路曼基略被对手踢翻在地                   1'双方第1分钟均显得小心谨慎
4'德林克沃特的犯规                   1'双方第1分钟均显得小心谨慎
4'纽卡定位球，转移到左侧                   1'双方第1分钟均显得小心谨慎
4'左路的长传冲吊                   1'双方第1分钟均显得小心谨慎
4'克里斯滕森解围，回做给库尔图瓦                   1'双方第1分钟均显得小心谨慎
4'右侧给到阿紫，中路给吕迪格                   1'双方第1分钟均显得小心谨慎
4'斜传中路阿扎尔拿球，右侧在给阿紫                   1'双方第1分钟均显得小心谨慎
12'达洛右侧在给姆本巴，向前中路给墨菲                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
12'吕迪格上抢犯规了                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
12'纽卡定位球，开起来                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
12'阿隆索把球解围                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
12'解围不利索，，库尔图瓦禁区中路在打一下                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
13'右侧盖尔跟上，，打门有了                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
13'纽卡客场取得梦幻开局                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
14'外围中路阿隆索解围不利，里奇跟上的射门被库尔图瓦挡出，禁区右侧盖尔跟上补射得手                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
14'比赛继续来看，右侧克里斯滕森                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
14'在给德林克沃特，挑传中路                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
14'小法把球拿到，身前右侧给坎特                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
14'斜传边路给到摩西                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
14'摩西中路回敲阿扎尔，在过渡到右侧摩西                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
14'摩西突破，杀到底线附近，右脚起球传中                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
15'纽卡防守把球挡出底线                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
15'切尔西右侧角球开起来                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
15'小禁区前沿直接杯达洛没收                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
15'达洛大脚把球开起来                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
15'切尔西后场左侧拿球                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
15'回敲库尔图瓦，身前右侧在给同伴                   12'纽卡斯尔第12分钟取得领先，阿隆索回传失误，墨菲试图捅射被出击的库尔图瓦勉强挡出，盖尔禁区右肋射入空门
17'达洛大脚开出来                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
17'中圈争抢，小法一垫                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
17'后场吕迪格得球，在给身前小法                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
17'小法甩一记长传，禁区中路阿扎尔把球卸下                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
17'阿扎尔单刀面对达洛                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
17'外脚背射门杯达洛神奇挡出                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
18'达洛这球直接人肉堵了上去                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
18'阿扎尔错失良机                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
18'小法的传球相当飘逸啊                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
18'切尔西卷土重来，右侧向前给莫拉塔                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
18'莫拉塔背身拿球杯迪亚梅踢翻                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
18'切尔西定位球开起来                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
19'中路给坎特，在交给吕迪格，长传                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
19'禁区中路莫拉塔把球卸下                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
19'身后达洛也出来，莫拉塔是被达洛撞翻，，达洛随后把球没收                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
19'在禁区内门将是有绝对话语权的啊                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
19'达洛大脚长传出来                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
20'中圈附近拼抢，坎特得球                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
20'盘带向前，在交到右侧莫拉塔                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
20'莫拉塔右脚一记传中                   17'第17分钟，小法中后场精准长传，反越位成功的阿扎尔10码处单刀捅射被达洛救出
