9'泰达进攻，胡人天斜插，左路带出了底线，裁判给了角球                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
10'泰达角球机会，给到前点，李本舰和队友抢到了一块                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
10'进球了！                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
10'伊沃                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
11'建业后场长传到左路，伊沃头球点了一下后，顺势打远角得分                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
12'泰达这边大反击，李本舰的射门被当啊出                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
12'建业中场控球                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
12'烈鸟挑传禁区  被河南后卫解围                   9' 第9分钟，胡人天左路斜插，在对方防守下造成角球
11'建业后场长传到左路，伊沃头球点了一下后，顺势打远角得分                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
12'泰达这边大反击，李本舰的射门被当啊出                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
12'建业中场控球                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
12'烈鸟挑传禁区  被河南后卫解围                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
13'泰达右路进攻，胡人天                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
14'巴尔克斯想要脚下，队友却给了身前，被门将得到                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
14'伊沃回撤拿球组织进攻                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
14'传球出现了失误                   11'第11分钟，河南队后场长传，伊沃头球将球卸下，转身顺势抽射远角得手
13'泰达右路进攻，胡人天                   13'第13分钟，烈鸟挑传禁区，河南后卫抢在巴尔克斯之前将球解围
14'巴尔克斯想要脚下，队友却给了身前，被门将得到                   13'第13分钟，烈鸟挑传禁区，河南后卫抢在巴尔克斯之前将球解围
14'伊沃回撤拿球组织进攻                   13'第13分钟，烈鸟挑传禁区，河南后卫抢在巴尔克斯之前将球解围
14'传球出现了失误                   13'第13分钟，烈鸟挑传禁区，河南后卫抢在巴尔克斯之前将球解围
15'建业后场长传给肖智，被破坏出底线                   13'第13分钟，烈鸟挑传禁区，河南后卫抢在巴尔克斯之前将球解围
15'建业右路角球机会                   13'第13分钟，烈鸟挑传禁区，河南后卫抢在巴尔克斯之前将球解围
22'在前20分钟的比赛中，河南建业队的配合稍好于天津队                   22'河南队拼抢逐渐加强，第22分钟，伊沃背后放倒胡人天被警告
22'烈鸟左路拿球                   22'河南队拼抢逐渐加强，第22分钟，伊沃背后放倒胡人天被警告
22'传给周海滨                   22'河南队拼抢逐渐加强，第22分钟，伊沃背后放倒胡人天被警告
22'伊沃背后放倒了胡人天                   22'河南队拼抢逐渐加强，第22分钟，伊沃背后放倒胡人天被警告
23'节奏的控制方面，建业还是以稳为主                   22'河南队拼抢逐渐加强，第22分钟，伊沃背后放倒胡人天被警告
24'周海滨拿球，周海滨是泰达队新任队长                   22'河南队拼抢逐渐加强，第22分钟，伊沃背后放倒胡人天被警告
24'天津队右路进攻起球传入禁区                    22'河南队拼抢逐渐加强，第22分钟，伊沃背后放倒胡人天被警告
28'泰达扳平比分                   28'第28分钟，天津队赵宏略左路传中，周海滨插上到位，在后卫身前头球一蹭，皮球应声入网
28'周海滨                   28'第28分钟，天津队赵宏略左路传中，周海滨插上到位，在后卫身前头球一蹭，皮球应声入网
30'赵宏略左路长传禁区，周海滨后排插上将球顶进                   28'第28分钟，天津队赵宏略左路传中，周海滨插上到位，在后卫身前头球一蹭，皮球应声入网
30'周海滨很少进头球阿                   28'第28分钟，天津队赵宏略左路传中，周海滨插上到位，在后卫身前头球一蹭，皮球应声入网
38'撒哈拉中场直接传给伊沃，后者越位在先                   38'第38分钟，吴与戈麦斯配合出现失误，险些被巴尔克斯找到机会，幸亏戈麦斯反应及时将球解围
38'周海滨左路起球给到后点遭到顾操的拦截出来                   38'第38分钟，吴与戈麦斯配合出现失误，险些被巴尔克斯找到机会，幸亏戈麦斯反应及时将球解围
39'河南队中场配合出现了失误                   38'第38分钟，吴与戈麦斯配合出现失误，险些被巴尔克斯找到机会，幸亏戈麦斯反应及时将球解围
39'泰达后场控球转移到右路                   38'第38分钟，吴与戈麦斯配合出现失误，险些被巴尔克斯找到机会，幸亏戈麦斯反应及时将球解围
39'外力中场铲球犯规，吃到本场第一张黄牌                   38'第38分钟，吴与戈麦斯配合出现失误，险些被巴尔克斯找到机会，幸亏戈麦斯反应及时将球解围
41'赵宏略左路突破被撒哈拉解围                   38'第38分钟，吴与戈麦斯配合出现失误，险些被巴尔克斯找到机会，幸亏戈麦斯反应及时将球解围
44'巴尔克斯传球，被河南队挡出边线                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
44'比赛到了43分钟                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
44'双方都在中场传递                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
45'整体上来讲上半场还是比较流畅                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
46'两个进球双方都抓住各自机会。                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
46'杜佳大脚给前场，外力脚下打滑                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
46'周海滨插上传球送至禁区，球被守门员没收                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
46'下半场开始了                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
46'双方交换了场地                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
46'中场双方都没进行换人                   44'第44分钟，顾操停球时意外摔倒，白岳峰得球下底传中，但皮球距门太近被吴 直接摘下
50'定位球到后点，卢卡斯抢点门将没收                   50'第50分钟，赵宏略左路下底传中被挡出底线，天津队角球，普拉利甘吉前天头球冲顶顶出底线
51'建业又获得左路角球机会                   50'第50分钟，赵宏略左路下底传中被挡出底线，天津队角球，普拉利甘吉前天头球冲顶顶出底线
51'角球开出到前点，李本舰争到将球碰出底线                   50'第50分钟，赵宏略左路下底传中被挡出底线，天津队角球，普拉利甘吉前天头球冲顶顶出底线
53'泰达前场进攻，巴尔克斯得球后直接打门，十分漂亮被门将没收了                   50'第50分钟，赵宏略左路下底传中被挡出底线，天津队角球，普拉利甘吉前天头球冲顶顶出底线
58'泰达左路进攻斜传没能过去                    57'第57分钟，河南队快速反击，右路直传后帕蒂尼奥杀入禁区小角度抽射被杜佳扑下
59'建业起球到身后，吕建军的射门慢了一拍                   57'第57分钟，河南队快速反击，右路直传后帕蒂尼奥杀入禁区小角度抽射被杜佳扑下
62'比赛重新进行                   62'第62分钟，河南队右路突然发难，萨哈拉底线附近回敲，吕建军直接传中，帕蒂尼奥在两名后卫之中旱地拔葱高高跃起将球顶入网窝
63'泰达右路进攻，白岳峰拿球往里传被挡出                   62'第62分钟，河南队右路突然发难，萨哈拉底线附近回敲，吕建军直接传中，帕蒂尼奥在两名后卫之中旱地拔葱高高跃起将球顶入网窝
63'建业进球了！                   62'第62分钟，河南队右路突然发难，萨哈拉底线附近回敲，吕建军直接传中，帕蒂尼奥在两名后卫之中旱地拔葱高高跃起将球顶入网窝
64'帕蒂尼奥                   62'第62分钟，河南队右路突然发难，萨哈拉底线附近回敲，吕建军直接传中，帕蒂尼奥在两名后卫之中旱地拔葱高高跃起将球顶入网窝
64'萨哈拉右路起球，帕蒂尼奥轻松将球顶进，帕蒂尼奥是下半场替补上场的                   62'第62分钟，河南队右路突然发难，萨哈拉底线附近回敲，吕建军直接传中，帕蒂尼奥在两名后卫之中旱地拔葱高高跃起将球顶入网窝
