1'上半场比赛开始！！                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
1'白衣白裤的曼联开球，从画面的左侧向右进攻                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
1'曼联前场进攻，德佩左路拿球，斜传球到禁区                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
2'拉什福德跟进弹射，打偏！！                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
2'拉拉纳前场右路拿球，面对费莱尼的逼抢，强突                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
2'费莱尼上前一步，卡住身位，拉拉纳再突，摔倒在地                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
3'裁判没有表示，球出底线，曼联门球！！                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
3'施奈德林前场中路拿球，亨德森上抢，蹬踏犯规！！                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
3'亨德森被主裁判出示了黄牌警告！！                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
4'开场3分钟，主裁判就出牌了，节奏很快啊！！                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
4'莫雷诺左路拿球，直塞找前插的库蒂尼奥                   1'开场不到1分钟，德佩左路传中，莫雷诺冒顶，但拉什福德12码处将皮球撞偏
20'库蒂尼奥直塞打身后，克莱恩前插，被回防的德佩拉倒在地                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
20'裁判给了点球！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
20'德佩同时被主裁判出了黄牌警告！！                   20'利物浦第20分钟取得领先，埃姆雷-詹直传，德佩禁区边缘内对克莱因犯规被罚黄牌，斯图里奇主罚点球射左下角，德赫亚判断正确扑救碰到皮球，但无力阻止大门失守
