3'巴列卡诺球员恩巴巴大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是贝贝.                   1'马竞第1分钟积极施压，比埃托传球，科雷亚突入禁区右侧劲射被扑出远角
4'Luciano Vietto为马德里竞技在对方半场,赢得一个任意球.                   1'马竞第1分钟积极施压，比埃托传球，科雷亚突入禁区右侧劲射被扑出远角
4'巴列卡诺球员蒂托拼抢犯规,对手获得控球权.                   1'马竞第1分钟积极施压，比埃托传球，科雷亚突入禁区右侧劲射被扑出远角
4'马德里竞技球员胡安弗兰拼抢犯规,对手获得控球权.                   1'马竞第1分钟积极施压，比埃托传球，科雷亚突入禁区右侧劲射被扑出远角
4'米库为巴列卡诺赢得一个任意球.                   1'马竞第1分钟积极施压，比埃托传球，科雷亚突入禁区右侧劲射被扑出远角
55'马德里竞技换人,格里兹曼换下Óliver Torres                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
55'L-赫尔南德斯为马德里竞技在左路,赢得一个任意球.                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
55'巴列卡诺球员哈维-格拉拼抢犯规,对手获得控球权.                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
55'进球啦！！！马德里竞技球员格里兹曼大禁区外左脚射门,球从左下角飞进球门,球进了! 马德里竞技 1-0 巴列卡诺.                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
57'马德里竞技球员格里兹曼拼抢犯规,对手获得控球权.                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
57'蒂托为巴列卡诺赢得一个任意球.                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
58'巴列卡诺换人,皮蒂换下贝贝                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
58'马德里竞技球员格里兹曼大禁区外左脚射门,被防守球员封堵.给他传球的是托雷斯.                   55'马竞第55分钟打破僵局，菲利佩长传被克雷斯波勉强挡出，跟进的格列兹曼左路禁区边缘抽射近角入网，这是他本赛季第21粒联赛入球
