1'好的，随着李俊的一声哨响比赛开始了！                   1'双方第1分钟便在中场展开激烈拼抢
1'观球不骂真君子 :我能冒昧的问个问题吗？是乐乐还是乐乐？(19:36---恩，是乐乐                   1'双方第1分钟便在中场展开激烈拼抢
1'比赛开始后首先控球的是国安，球在浅唱右路                   1'双方第1分钟便在中场展开激烈拼抢
2'乌塔卡拿球被断掉！泰达右边反击！                   1'双方第1分钟便在中场展开激烈拼抢
2'泰达在左侧前场拿到一个边线球。                   1'双方第1分钟便在中场展开激烈拼抢
3'左边王新欣突破的时候失误了，球出了边线，国安球权。                   1'双方第1分钟便在中场展开激烈拼抢
3'莫春辉1 :曹阳怎么了，有谁知道(19:37)---曹阳好像是训练中扭伤了。                   1'双方第1分钟便在中场展开激烈拼抢
3'国安右路拿到一个边线球，陈志钊的突破。                   1'双方第1分钟便在中场展开激烈拼抢
4'看看这个角球怎么样！                   1'双方第1分钟便在中场展开激烈拼抢
4'角球开到前点被李玮峰顶出底线，继续角球！                   1'双方第1分钟便在中场展开激烈拼抢
4'张稀哲角球开到后点，巴塔拉头球进了！！！！                   1'双方第1分钟便在中场展开激烈拼抢
4'看看这个角球怎么样！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
4'角球开到前点被李玮峰顶出底线，继续角球！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
4'张稀哲角球开到后点，巴塔拉头球进了！！！！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
5'宗垒出击以后，巴塔拉头球顶空门得手！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
5'这个球杜震宇在后点也没有防守到位啊！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
6'这边泰达在反击中瓦伦西亚突破到禁区右脚打门稍稍偏出！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
6'老囍老囍 :陈志钊进球！！！(19:42)---进球的是巴塔拉！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
6'继续看比赛，国安后场控球。                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
7'乌拉卡回撤到中路接应！                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
7'张稀哲在左路突破的时候被白岳峰破坏出底线，角球。                   4'第4分钟，国安队角球开出，巴塔拉头球攻门撞上对方后卫出了底线
6'这边泰达在反击中瓦伦西亚突破到禁区右脚打门稍稍偏出！                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
6'老囍老囍 :陈志钊进球！！！(19:42)---进球的是巴塔拉！                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
6'继续看比赛，国安后场控球。                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
7'乌拉卡回撤到中路接应！                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
7'张稀哲在左路突破的时候被白岳峰破坏出底线，角球。                   6'天津队不甘落后，第6分钟，瓦伦西亚接长传甩开于洋杀入禁区射门，皮球偏出远门柱
