1'切尔西后场马蒂奇左侧找到奥斯卡                   1'双方第1分钟显得小心谨慎
1'直塞到前场，帕雷德斯卡住身位，把球让出底线                   1'双方第1分钟显得小心谨慎
1'戈麦斯大脚开出门球                   1'双方第1分钟显得小心谨慎
2'伊格哈洛头球顶了一下                   1'双方第1分钟显得小心谨慎
2'沃森直塞，伊格哈洛拼抢对米克尔犯规                   1'双方第1分钟显得小心谨慎
2'祖马右侧给到伊万，切尔西后场控制                   1'双方第1分钟显得小心谨慎
3'沃特福德盘踞中后场，没有上压                   1'双方第1分钟显得小心谨慎
3'切尔西发起长传，科斯塔没有拿住                   1'双方第1分钟显得小心谨慎
3'奥斯卡中场横向转移                   1'双方第1分钟显得小心谨慎
3'威廉右路交给伊万                   1'双方第1分钟显得小心谨慎
3'伊万45度吊起，被卡斯卡特顶出                   1'双方第1分钟显得小心谨慎
4'小法外围得球，在吊一脚，太深了                   1'双方第1分钟显得小心谨慎
4'戈麦斯出击把球没收                   1'双方第1分钟显得小心谨慎
4'伊格哈洛捂着大腿外侧，一瘸一拐                   1'双方第1分钟显得小心谨慎
4'刚才和祖马拼抢的时候被撞了一下，应该问题不大                   1'双方第1分钟显得小心谨慎
33'科斯塔禁区内一脚斜射，碰到卡斯卡特身上稍稍偏出                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
33'威廉角球直接送禁区，没有制造威胁                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
33'切尔西外围控制住，在给右路威廉                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
33'威廉低球送入，中间奥斯卡脚后跟一磕，被挡出来                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
34'球回到面前，再来一脚，还是被挡出                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
34'左侧马蒂奇传中，落点太靠外                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
34'威廉回敲小法，重新组织                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
34'左侧奥斯卡强行突破到底线                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
34'倒三角传中，没有机会了                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
34'伊格哈洛前场得球，1打4                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
35'连续踩单车，等待同伴接应                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
35'最后传球直接丢掉                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
35'胡拉多左路得球，回敲一下给霍勒巴斯                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
35'大黄蜂在转移到右路的帕雷德斯                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
36'胡拉多中场交给伊格哈洛，小法拼抢犯规                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
36'中圈附近定位球                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
36'霍勒巴斯送到禁区左侧                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
36'迪尼头球一点，被伊万解围                   33'切尔西第33分钟险些破门，奥斯卡长传，迭戈-科斯塔摆脱2人防守后禁区左侧12码处斜射，皮球打中卡斯卡特偏转后擦右侧立柱偏出
55'帕雷德斯后场抢断，自己一条龙，杀到前场                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
55'右路帕雷德斯传中被挡出来                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
56'切尔西浪费了一次好机会啊                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
56'阿斯皮利奎塔送直塞到禁区内                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
56'科斯塔跟上，杀到小禁区底线附近                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
56'横推门前，奥斯卡打偏了                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
56'这个球太浪费了                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
56'但从慢镜头来看科斯塔接球时候越位在先，这是一次误判                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
57'双方今天进攻都很粗糙                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
57'贝赫拉米边路拿球，回敲给卡斯卡特                   55'第55分钟，迭戈-科斯塔小禁区左侧底线附近回传，奥斯卡近距离捅射偏出近角
