1'阿兰前场中路拿球，被绿城破坏出去                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
1'李学鹏边路拿球，给保利尼奥，在给边路的高拉特                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
2'高拉特来到右边路拿球，连续的传递，球丢了                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
2'罗竞中场断球，塞给拉蒙的时候，球被断下来                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
3'张琳芃助攻上来，给郜林                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
3'高拉特塞给禁区里的阿兰，球被解围出去                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
3'外围有机会，张琳芃直接一脚打门！球打在边网上                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
4'绿城后场大脚开到前场，拉蒙自己带球                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
4'分到右边路，起球到禁区，冯潇霆解围出去                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
4'绿城前场得到一个角球                   1'七位国脚尽出的恒大第1分钟迅速展开冲击
10'恒大中场断球，直塞球找阿兰，球被破坏出去                   10'第10分钟，加比奥内塔与拉蒙连续传递形成渗透，拉蒙在小禁区线前几乎获得直面门将的机会，张琳芃及时卡位将球保护给曾诚
11'加比奥内塔和拉蒙前场一连串的配合，拉蒙禁区里拿球，张琳芃及时的回防解围                   10'第10分钟，加比奥内塔与拉蒙连续传递形成渗透，拉蒙在小禁区线前几乎获得直面门将的机会，张琳芃及时卡位将球保护给曾诚
11'恒大前场进攻，郑智分边路保利尼奥                   10'第10分钟，加比奥内塔与拉蒙连续传递形成渗透，拉蒙在小禁区线前几乎获得直面门将的机会，张琳芃及时卡位将球保护给曾诚
11'传球到中路，被绿城拦断下来                   10'第10分钟，加比奥内塔与拉蒙连续传递形成渗透，拉蒙在小禁区线前几乎获得直面门将的机会，张琳芃及时卡位将球保护给曾诚
12'绿城前场中路配合，冯潇霆把球抢断下来                   10'第10分钟，加比奥内塔与拉蒙连续传递形成渗透，拉蒙在小禁区线前几乎获得直面门将的机会，张琳芃及时卡位将球保护给曾诚
13'金英权后场拿球，找前场阿兰，绿城犯规了                   10'第10分钟，加比奥内塔与拉蒙连续传递形成渗透，拉蒙在小禁区线前几乎获得直面门将的机会，张琳芃及时卡位将球保护给曾诚
22'恒大前场的反击，郜林右侧下底                   22'第22分钟，保利尼奥前插分球引出流畅运动战，郜林右路低传禁区，无人盯防的阿兰迎球施射将球打偏在边网上
22'敲回中路，跟进的阿兰右脚打门，又是打在边网上                   22'第22分钟，保利尼奥前插分球引出流畅运动战，郜林右路低传禁区，无人盯防的阿兰迎球施射将球打偏在边网上
23'李学鹏左侧直接起球到禁区，被解围出去                   22'第22分钟，保利尼奥前插分球引出流畅运动战，郜林右路低传禁区，无人盯防的阿兰迎球施射将球打偏在边网上
23'郜林前场断球了，带球到禁区右侧，陈晓把球解围出边线                   22'第22分钟，保利尼奥前插分球引出流畅运动战，郜林右路低传禁区，无人盯防的阿兰迎球施射将球打偏在边网上
24'这个球吹了郜林进攻犯规，踩到陈晓的脚了                   22'第22分钟，保利尼奥前插分球引出流畅运动战，郜林右路低传禁区，无人盯防的阿兰迎球施射将球打偏在边网上
