6'鲁能右路的进攻，过顶找吴兴涵                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
6'吴兴涵停球没停好，球先出边线！！                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
6'恒大进球了！！1-0！！                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
6'塔利斯卡！！！                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
7'塔利斯卡中路拿球，面对多人围抢，强突到禁区弧顶，起脚远射，球擦着立柱内侧进网！                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
7'这球王大雷毫无办法！！                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
8'塔利斯卡的个人能力体现的淋漓尽致，这记内角弧线球相当漂亮                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
8'鲁能中场抢断，分球左侧给塔尔德利                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
8'反击了，塔尔德利的传中球到前点                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
9'刘军帅的甩头轰门，击中立柱弹出！！！                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
9'冯潇霆赶紧将球解围出禁区                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
9'塔利斯卡倒地中场，有些受伤                   6'第6分钟，塔利斯卡晃开郑铮后远射破门
58'保利尼奥后场拿球，带球到前场                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
58'大范围转移球到右路给到于汉超                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
58'于汉超的下底传中到门前                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
58'塔利斯卡冲抢头球没顶到                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
59'球打在了后点高拉特身上，高拉特顺势一脚，被王大雷挡出                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
59'恒大再进一个，3-0！！                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
59'高拉特！！                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
60'于汉超右路传中，球打在后点的高拉特身上，高拉特顺势打门被王大雷封堵，禁区内混战，球在空中飞，高拉特头球顶进！                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
60'塔尔德利前场左路拿球，强突到禁区                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
60'面对梅方的防守，假传真扣                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
61'闪开再横切，面对补防的保利尼奥，摔倒在地                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
61'裁判没理会，刘殿座出击将球拿到                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
61'鲁能刚刚完成了第二次换人：周海滨上，换下了吴兴涵                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
61'李学鹏前场左路拿球，强突下底传中到前点                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
61'高拉特的头球轰门，王大雷倒地将球封堵出底线                   58'第58分钟，于汉超传中造成门前混乱，高拉特头球得分
74'蒿俊闵前场中路拿球，分球右侧给张驰，强突后传中到门前，佩莱插上头球轰门顶进！！                   74'第74分钟，李学鹏传中，保利尼奥捅射破门
74'恒大又进了，4-1！！                   74'第74分钟，李学鹏传中，保利尼奥捅射破门
74'保利尼奥！！                   74'第74分钟，李学鹏传中，保利尼奥捅射破门
76'李学鹏左路拿球强突下底，倒三角回传，高拉特前点故意一漏，中路跟进的保利尼奥抽射打进！！                   74'第74分钟，李学鹏传中，保利尼奥捅射破门
76'塔利斯卡中场拿球，郑铮的上抢犯规！                   74'第74分钟，李学鹏传中，保利尼奥捅射破门
77'鲁能的前场进攻，蒿俊闵中路拿球                   74'第74分钟，李学鹏传中，保利尼奥捅射破门
49'塔利斯卡左路拿球，斜塞中路找高拉特                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
49'吉尔上前一步，将球解围                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
50'佩莱中场和冯潇霆争抢头球                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'佩莱的身后推人犯规！！                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'恒大中场的任意球，塔利斯卡斜传禁区                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
51'第一点被鲁能球员解围出来                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
49'球出边线，恒大的界外球                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
49'佩莱左路背身拿球，回传郑铮                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
49'郑铮直塞，郜林上抢将球碰出底线！！                   49'开场4分钟，广州恒大角球进攻制造威胁，塔利斯卡低传到禁区弧顶，郑智跟进低射，球被王大雷扑出
