17'里纳乌多将球处理出底线,罗马获得角球.                   17'开场17分钟，托蒂右侧开出角球，罗马尼奥利头球偏出
17'罗马球员罗马尼奥利大禁区中央尝试头球,可惜皮球偏出球门.给他传球的是托蒂.                   17'开场17分钟，托蒂右侧开出角球，罗马尼奥利头球偏出
18'射门!!!罗马球员弗洛伦齐大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是皮亚尼奇.                   17'开场17分钟，托蒂右侧开出角球，罗马尼奥利头球偏出
19'卡斯坦将球处理出底线,卡塔尼亚获得角球.                   17'开场17分钟，托蒂右侧开出角球，罗马尼奥利头球偏出
20'罗马球员弗洛伦齐一脚直塞球给利亚伊奇,但是边裁举旗显示后者已经越位.                   17'开场17分钟，托蒂右侧开出角球，罗马尼奥利头球偏出
25'卡塔尼亚球员博格西奥大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   25'第25分钟，贝赫西奥禁区边缘射门被德桑克蒂斯得到
26'进球啦！！！卡塔尼亚球员伊兹科大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是莱托. 卡塔尼亚 1-0 罗马.                   25'第25分钟，贝赫西奥禁区边缘射门被德桑克蒂斯得到
28'卡塔尼亚球员里纳乌多拼抢犯规,对手获得控球权.                   25'第25分钟，贝赫西奥禁区边缘射门被德桑克蒂斯得到
28'德罗西为罗马在对方半场,赢得一个任意球.                   25'第25分钟，贝赫西奥禁区边缘射门被德桑克蒂斯得到
34'进球啦！！！卡塔尼亚球员伊兹科大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是博格西奥. 卡塔尼亚 2-0 罗马.                   34'第34分钟，卡斯特罗左路反击挑传，贝赫西奥头球蹭到后门柱，伊斯科停球小角度推射入球门顶端，2比0
37'进球啦！！！罗马球员托蒂大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是弗洛伦齐. 卡塔尼亚 2-1 罗马.                   34'第34分钟，卡斯特罗左路反击挑传，贝赫西奥头球蹭到后门柱，伊斯科停球小角度推射入球门顶端，2比0
37'罗马换人,热尔维尼奥上,塔代伊因伤下场.                   34'第34分钟，卡斯特罗左路反击挑传，贝赫西奥头球蹭到后门柱，伊斯科停球小角度推射入球门顶端，2比0
37'巴里恩托斯为卡塔尼亚在对方半场,赢得一个任意球.                   34'第34分钟，卡斯特罗左路反击挑传，贝赫西奥头球蹭到后门柱，伊斯科停球小角度推射入球门顶端，2比0
37'罗马球员皮亚尼奇拼抢犯规,对手获得控球权.                   34'第34分钟，卡斯特罗左路反击挑传，贝赫西奥头球蹭到后门柱，伊斯科停球小角度推射入球门顶端，2比0
