25'斯旺西球员博尼大禁区外右脚射门,命中门柱横梁.给他传球的是谢尔维.                   25'第25分钟，伯尼远射打中横梁
25'罗斯将球处理出底线,斯旺西获得角球.                   25'第25分钟，伯尼远射打中横梁
25'斯旺西球员波苏埃洛大禁区中央右脚射门,被防守球员封堵.给他传球的是齐科.                   25'第25分钟，伯尼远射打中横梁
25'沃克尔将球处理出底线,斯旺西获得角球.                   25'第25分钟，伯尼远射打中横梁
26'斯旺西本-戴维斯受伤倒地,比赛暂停                   25'第25分钟，伯尼远射打中横梁
28'暂停结束,球员们重新开始比赛.                   25'第25分钟，伯尼远射打中横梁
35'进球啦！！！热刺球员阿德巴约球门线跟前头球,球从左下角飞进球门,球进了!助攻的是埃里克森. 斯旺西 0-1 热刺.                   35'第35分钟，埃里克森右路传中，阿德巴约近距离冲顶破门
36'热刺球员沙德利大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是登贝莱.                   35'第35分钟，埃里克森右路传中，阿德巴约近距离冲顶破门
53'斯旺西球员齐科自摆乌龙,斯旺西 0-2 热刺                   53'第53分钟，沃克尔禁区右侧传中，奇科自摆乌龙
78'进球啦！！！斯旺西球员博尼大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是拉马. 斯旺西 1-3 热刺.                   78'斯旺西第78分钟扳回一城，拉马赫禁区左侧传球，伯尼14码处凌空弹射破门，这是他本赛季第14粒入球，其中联赛打入7球
79'热刺换人,诺顿换下列侬                   78'斯旺西第78分钟扳回一城，拉马赫禁区左侧传球，伯尼14码处凌空弹射破门，这是他本赛季第14粒入球，其中联赛打入7球
80'热刺球员罗斯被主裁判出示了一张黄牌.                   78'斯旺西第78分钟扳回一城，拉马赫禁区左侧传球，伯尼14码处凌空弹射破门，这是他本赛季第14粒入球，其中联赛打入7球
81'阿德巴约为热刺在左路,赢得一个任意球.                   78'斯旺西第78分钟扳回一城，拉马赫禁区左侧传球，伯尼14码处凌空弹射破门，这是他本赛季第14粒入球，其中联赛打入7球
81'斯旺西球员齐科拼抢犯规,对手获得控球权.                   78'斯旺西第78分钟扳回一城，拉马赫禁区左侧传球，伯尼14码处凌空弹射破门，这是他本赛季第14粒入球，其中联赛打入7球
