6'郜林右路控球，交给了郑智                   6'开场6分钟，广州恒大打破僵局
6'高拉特首开纪录！                   6'开场6分钟，广州恒大打破僵局
7'郑智中场直传打穿了对方整条防线，高拉特插上形成单刀，大力低射球门左下角球进！                   6'开场6分钟，广州恒大打破僵局
7'中场郜林的接应被戴琳撞倒                   6'开场6分钟，广州恒大打破僵局
8'金英权交给冯潇霆，长传上来，郜林护好球                   6'开场6分钟，广州恒大打破僵局
8'回给郑龙，郜林再接应，对方的防守贴得很紧                   6'开场6分钟，广州恒大打破僵局
9'罗比尼奥接应转身，搓传很漂亮，插上的保利尼奥左脚停球不好，球直接出底线                   6'开场6分钟，广州恒大打破僵局
9'保利尼奥交给高拉特，回给冯潇霆                   6'开场6分钟，广州恒大打破僵局
9'长传找到郜林，没有停好，阿洛伊西奥断球                   6'开场6分钟，广州恒大打破僵局
9'高拉特中场断球交给左路的罗比尼奥                   6'开场6分钟，广州恒大打破僵局
10'罗比尼奥想穿当过人，没有成功，王永珀将球拿到                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
10'罗比尼奥前场反断，远射被王大雷抱住                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
10'张琳芃右路的上抢成功断球，斜向传球，罗比尼奥越位                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
11'王大雷的长传球，直接飞出底线                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
11'曾诚长传上来，中场绞杀，高拉特犯规了                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
12'尤西雷控球，交给王永珀                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
12'出球慢了，差点被断                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
12'戴琳长传前场右路，阿洛伊西奥越位                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
12'郑智分给张琳芃                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
12'张琳芃的传球，郑龙脚后跟传给郑智                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
13'金英权拿球，交给冯潇霆再交给张琳芃                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
13'罗比尼奥回接，交左路的空档                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
13'李学鹏压上有点慢了                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
13'李学鹏交给高拉特，高拉特回传短了，李微断球被保利尼奥拉倒                   10'第10分钟，罗比尼奥禁区外觅得机会远射，球被王大雷没收
25'连续的倒脚到了右路，蒙蒂略控球不错                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
25'蒿俊闵直传，阿洛伊西奥回做，蒙蒂略的硬射被曾诚扑出                   25'第25分钟，山东鲁能打出默契配合，蒿俊闵挑传禁区前沿，阿洛伊西奥胸部停球，王永珀跟进凌空抽射，曾诚飞身将球扑出
