1'上半场比赛开始！！！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
1'黑色球衣的皇马，从画面的右侧向左进攻！！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
1'马竞后场抢断，过顶球找托雷斯                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
2'托雷斯和拉莫斯抢点头球！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
2'拉莫斯被托雷斯撞翻 ，裁判吹罚托雷斯犯规！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
3'莫德里奇右路拿球，转身摆脱上抢的马竞球员                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
3'突破后横传中间！！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
3'本泽马故意一漏，身后的C罗停球                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
3'再斜塞想给本泽马，被防守球员伸脚挡出                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
3'球到了C罗脚下，禁区外直接起脚打门，打偏！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
4'达尼洛右路停球，没停好                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
4'菲利佩上抢，达尼洛解围球，抬脚过高！！                   1'马竞第1分钟就展开积极攻势，格列兹曼30码外远射高出
7'萨维奇被主裁判出示了黄牌警告！！                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
7'马竞获得前场右路的任意球机会！！                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
7'克罗斯任意球斜传到禁区，卡塞米罗的头球，被奥布拉克挡出                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
8'卡拉斯科前场右路拿球，内切摆脱防守                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
8'到了禁区，面对卡塞米罗和瓦拉内的防守                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
8'卡拉斯科倒在了禁区里，裁判没理会                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
8'球被皇马球员出脚解围！！                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
8'加比外围拿球，再给卡拉斯科                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
9'卡拉斯科横传中路，萨乌尔停球，一脚远射，打偏！                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
10'菲利佩左路拿球，横传中间给到卡拉斯科                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
10'卡拉斯科再给加比，加比再回传卡拉斯科                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
10'卡拉斯科右路的斜传球到后点，直接出了底线！                   7'第7分钟，克罗斯右路任意球传中，卡塞米罗远点小禁区边缘力压科凯头球攻门被奥布拉克神勇救出
12'直塞给到托雷斯，托雷斯背身拿球                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
12'没机会转身，回传给到加比                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
12'加比再给卡拉斯科，卡拉斯科中路突进，起脚远射，被挡出底线                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
12'马竞获得右侧角球机会！！                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
12'球进了！！！                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
12'萨乌尔的头球建功！！！                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
13'科克右侧角球开出到前点，萨乌尔高高跃起，甩头轰门，顶进近角！！！                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
14'马竞前场进攻，右路的传中到禁区                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
14'瓦拉内停球停大，莫德里奇出脚解围！！                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
15'球到了外围加比脚下，远射，被防守球员挡出！！！                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
15'格里兹曼前场右路拿球，横传给到卡拉斯科                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
15'卡拉斯科直塞禁区找托雷斯                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
15'托雷斯前插接应，瓦拉内回防，身体接触后                   12'马竞第12分钟取得领先，科凯开出角球，萨乌尔前点小禁区边缘抢在C罗之前头球破门
