4'石家庄永昌界外球                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
4'边线球掷出                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
5'延边前场反抢得球，池忠国禁区外围直接打远射偏出                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
5'池文一大脚开出门球                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
6'永昌前场逼抢，鲁本犯规了                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
6'延边后场定位球                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
7'金波右路突破，赢得了角球                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
7'尼古拉角球直奔球门，关震没收皮球                   4'第4分钟，池忠国在对方大禁区外左侧远射，皮球偏离了目标
8'马修斯禁区内打门，踢空了啊                   8'第8分钟，刘君鹏大力远射，皮球飞入底线
8'永昌转移球到左路                   8'第8分钟，刘君鹏大力远射，皮球飞入底线
9'黄世博前场逼抢犯规                   8'第8分钟，刘君鹏大力远射，皮球飞入底线
9'斯蒂夫禁区前沿护球倒地                   8'第8分钟，刘君鹏大力远射，皮球飞入底线
10'裁判示意没有犯规                   8'第8分钟，刘君鹏大力远射，皮球飞入底线
10'永昌右路传中，球被后卫大脚解围出去                   8'第8分钟，刘君鹏大力远射，皮球飞入底线
11'延边边路传中，被后卫顶出，斯蒂夫弧顶直接打门被封堵                   8'第8分钟，刘君鹏大力远射，皮球飞入底线
49'永昌明显加强了进攻                   48'3分钟之后，延边富德右路传中，河太均前插到对方禁区内右脚射门，皮球高出横梁
50'毛里西奥左路突破横敲中圈                   48'3分钟之后，延边富德右路传中，河太均前插到对方禁区内右脚射门，皮球高出横梁
50'永昌右路传中被解围                   48'3分钟之后，延边富德右路传中，河太均前插到对方禁区内右脚射门，皮球高出横梁
50'马修斯底线附近摆脱，出了底线                   48'3分钟之后，延边富德右路传中，河太均前插到对方禁区内右脚射门，皮球高出横梁
50'裁判给了门球                   48'3分钟之后，延边富德右路传中，河太均前插到对方禁区内右脚射门，皮球高出横梁
51'马修斯前场突破，尼古拉卡住位置                   48'3分钟之后，延边富德右路传中，河太均前插到对方禁区内右脚射门，皮球高出横梁
33'刘君鹏得到了一张黄牌                   32'第32分钟，刘君鹏在拼抢中踢倒了裴育文，虽然他向主裁判做出了解释，但还是领到了一张黄牌
