1'比赛开始了，上半场阿森纳开球                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
1'回敲给到后面的队长默特萨克                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
1'在分左侧霍尔丁，斜传向前给到374                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
1'374长传转移到右路                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
1'球被对手解围出来                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
1'阿森纳重新组织，还是给到桑切斯，分边左翼伊沃比                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
2'低球斜传，被科隆队挡出                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
2'右侧默特萨克拼抢拉人犯规                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
2'科隆后场交给克伦特，长传送到禁区内                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
3'禁区内阿森纳解围出去                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
3'外围中路措勒拿球                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
3'在横敲，埃尔纳尼把球拦截，左路给霍尔丁                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
3'回敲默特萨克，斜传到右侧霍尔丁                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
3'斜传向前给右路小老虎                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
4'小老虎被逼抢，赫克托的解围                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
4'霍尔丁血拼被吹犯规                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
4'双方今天犯规挺多啊                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
4'科隆定位球，挑传给到禁区中央，连续的高空作业                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
4'球到了弧顶附近，又是霍尔丁踢人犯规                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
4'这次霍尔丁吃到黄牌                   1'科隆第1分钟反客为主展开攻势，莱曼任意球射门偏出
49'中圈附近埃尔纳尼得球，控制一下节奏，身前在给右路                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
49'伊沃比中路交给埃尔纳尼，左侧再分桑切斯                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
49'横敲中路，长传送到禁区左侧                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
49'伊沃比得球，回敲被后卫挡了一下                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
50'球弹到禁区左侧的科拉希纳茨面前                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
50'科拉希纳茨二话不说，直接上去就是一脚，有了                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
50'科拉希纳茨的进球，换人真好使啊，替补上来闪电进球啊                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
51'科拉希纳茨加盟阿森纳之后没有什么适应期，直接就表现出很棒的状态                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
51'这球是伊沃比的传球被防守队员一挡，禁区左侧科拉希纳茨爆射远角得手                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
52'蒙雷亚尔拿球，长传到前场                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
52'左侧争顶，吉鲁顶出边线                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
52'科隆边线球给出，拼抢中埃尔纳尼断下                   49'阿森纳第49分钟扳平，埃尔内尼挑传禁区左侧，沃尔科特底线附近传中被挡出，科拉希纳茨禁区左侧10码处抽射远角入网，1-1
