6'中场维拉蒂将球断下来                   6'第6分钟，迪马利亚直传，卡瓦尼12码处顺势单刀抽射擦右侧立柱偏出
6'直塞球给到卡瓦尼，继续来一脚打门，打偏了                   6'第6分钟，迪马利亚直传，卡瓦尼12码处顺势单刀抽射擦右侧立柱偏出
7'阿尔维斯又将球断下来                   6'第6分钟，迪马利亚直传，卡瓦尼12码处顺势单刀抽射擦右侧立柱偏出
7'迪马利亚将球传导禁区，球被解围出来                   6'第6分钟，迪马利亚直传，卡瓦尼12码处顺势单刀抽射擦右侧立柱偏出
8'莫塔中场将球控制下来                   6'第6分钟，迪马利亚直传，卡瓦尼12码处顺势单刀抽射擦右侧立柱偏出
9'莫塔送出斜传球，球被拦截下来了                   6'第6分钟，迪马利亚直传，卡瓦尼12码处顺势单刀抽射擦右侧立柱偏出
42'巴黎进球了！！！！！！！！！！！！                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
42'卡瓦尼的进球                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
43'迪马利亚分球边路阿尔维斯，传球中路，卡瓦尼拿球，来一脚推射，将球打进                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
44'镜头马上给到了内马尔，内马尔在场边也非常的高兴呀                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
44'OK，继续看比赛把                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
44'上半场接近尾声了                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
45'亚眠获得前场任意球机会                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
45'任意球开到禁区，球直接被门将没收了                   42'巴黎第42分钟打破僵局，阿尔维斯右路传中，卡瓦尼停球摆脱防守后10码处低射破门
81'卡瓦尼前场拿球，带球突破，横传球给到帕斯托雷，帕斯托雷直接来一脚将球打进                   81'巴黎第81分钟扩大比分，维拉蒂直传，卡瓦尼禁区右侧低传，帕斯托雷10码处推射入网，2-0
82'OK，我们继续看比赛                   81'巴黎第81分钟扩大比分，维拉蒂直传，卡瓦尼禁区右侧低传，帕斯托雷10码处推射入网，2-0
83'迪马利亚前场拿球                   81'巴黎第81分钟扩大比分，维拉蒂直传，卡瓦尼禁区右侧低传，帕斯托雷10码处推射入网，2-0
83'斜传球给到拉比奥特，传球禁区，球被解围出来                   81'巴黎第81分钟扩大比分，维拉蒂直传，卡瓦尼禁区右侧低传，帕斯托雷10码处推射入网，2-0
84'外围帕斯托雷拿球                   81'巴黎第81分钟扩大比分，维拉蒂直传，卡瓦尼禁区右侧低传，帕斯托雷10码处推射入网，2-0
84'传球禁区，球直接被门将没收了                   81'巴黎第81分钟扩大比分，维拉蒂直传，卡瓦尼禁区右侧低传，帕斯托雷10码处推射入网，2-0
