13'今天的比赛对于巴萨来说并不着急                   11'赫塔菲第11分钟错过机会，安赫尔禁区左侧斜传，但莫利纳11码处推射高出
13'巴萨中路送直塞                   11'赫塔菲第11分钟错过机会，安赫尔禁区左侧斜传，但莫利纳11码处推射高出
13'传跑没有形成默契                   11'赫塔菲第11分钟错过机会，安赫尔禁区左侧斜传，但莫利纳11码处推射高出
26'赫塔菲进球了！！！                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
26'但似乎是越位了                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
26'赫塔菲的球迷也是摊手啊                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
26'慢镜头回放确实是越位了                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
27'罗德里格斯前场接球带球到禁区，面对门将推射将球打进                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
27'裁判在听取VAR的意见                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
27'抱歉打门的是莫利纳                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
27'还是越位了                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
27'比分还是0-0                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
28'赫塔菲这次的进攻也是给巴萨提了一个醒                   26'第26分钟，库蒂尼奥传球被拦截，福尔基耶直传，莫利纳越位单刀破门被判无效
39'裁判又是给了巴萨一个任意球                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
39'往前推进了几米                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
39'1-0！！！！                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
39'比达尔！！！！                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
40'梅西任意球给到前点，皮克头球蹭了一下，也是干扰了门将，索里亚倒地扑了一下没有打远，比达尔跟进捅射破门！！                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
41'罗德里格斯禁区内接球                   39'巴萨第39分钟取得领先，梅西右路任意球斜传，皮克小禁区边缘头球攻门被勉强扑出，比达尔近距离捅射入网
