4'德布劳内传到点球点，曼加拉头球攻门被阿德里安双手挡出                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
4'中场仍然是曼城的控球                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
4'费尔南迪尼奥长传打到禁区，雷德头球顶到第一点                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
5'慢镜来看，接应德布劳内开出角球头球攻门的是费尔南迪尼奥不是曼加拉                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
6'克雷斯维尔后场拿球                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
6'中路过渡                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
6'摩西远距离打门，乔哈特出现失误呀！球入网                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
6'此时此刻值得来杯嘉士伯！                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
7'摩西远射打近角，乔哈特倒地慢了没有摸到球，球从球门右下角入网                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
7'这是曼城在本赛季英超丢的第一个球                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
7'兰齐尼左路的推进被萨尼亚拦截出边线                   4'开场仅4分钟，德布劳内开场角球，费尔南迪尼奥10码处头球攻门被阿德里安扑出
76'克拉罗夫率的是有点夸张                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
76'费尔南迪尼奥直传，亚亚图雷传中是吊门吧，阿德里安将球没收                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
76'纳瓦斯又是下底传中，线路上没有队友                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
77'詹金森抽筋了                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
78'德布劳内的传球，雷德上抢成功                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
79'诺布尔带球需要将球保护在脚下更长的时间                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
79'萨尼亚转身传球                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
79'博尼拿球，拖慢了节奏                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
79'德布劳内右路传中被汤姆金斯解围                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
79'亚亚图雷反抢拉倒了耶拉维奇                   76'西汉姆第31分钟扩大比分，帕耶特开出角球，里德头球攻门被费尔南迪尼奥封堵，但巴西人奥比昂牵制下未能及时解围，萨科混战中近距离破门，2-0
