3'上半场比赛已经开始了                   1'曼城第1分钟就控制局面，南安普敦收缩防线应对
16'乔哈特拿球开出给克里希                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
16'孔帕尼回传给左路，约维蒂奇和阿圭罗配合                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
16'亚亚图雷外围突然一脚远射                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
16'很有威胁阿                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
17'纳瓦斯斜塞禁区内的阿圭罗，没有传过去，方特大脚把球破坏，皮球又落回了曼城脚下                    16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
17'南安普顿中场拿球组织进攻                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
18'南安普顿回传后场倒脚，机会不多                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
18'孔帕尼断球给左路纳斯里                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
19'曼城大范围转移给纳斯里                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
19'再交给克里希                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
19'曼城这边也不急于进攻，在前场耐心传递                   16'第16分钟，纳瓦斯回传，亚亚-图雷30码处凌空抽射被福尔斯特救下
30'之前99场阿圭罗进了64粒球                   30'曼城第30分钟险些破门，纳斯里反击中直传，约维蒂奇禁区左侧10码处射门从福尔斯特双腿间穿过，但阿尔德韦雷尔德在门线前及时解围
30'曼城纳斯里给了左路的约维蒂奇，后者的射门在门线上被挡出                   30'曼城第30分钟险些破门，纳斯里反击中直传，约维蒂奇禁区左侧10码处射门从福尔斯特双腿间穿过，但阿尔德韦雷尔德在门线前及时解围
31'刚才为南安普顿门线救险的是比利时国脚阿尔德韦雷尔德                   30'曼城第30分钟险些破门，纳斯里反击中直传，约维蒂奇禁区左侧10码处射门从福尔斯特双腿间穿过，但阿尔德韦雷尔德在门线前及时解围
