2'双方在中场展开激烈拼抢                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
2'这场比赛孔帕尼回归                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
3'萨巴莱塔右路直塞到禁区打身后，阿圭罗射门                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
3'没人碰到皮球，直接出了底线，这是曼城开场后第一脚射门                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
4'斯旺西前场右路配合，博尼拿球给代尔，代尔过度被曼城破坏出边线                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
5'斯旺西后场拿球，再给右路                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
5'斯旺西中后场耐心倒脚，寻找机会                   2'开场仅2分钟，阿圭罗切入禁区右侧的斜射偏出远角
19'曼城再次由纳斯里发动进攻                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
19'进球了！约维蒂奇                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
20'纳瓦斯右路斜传门前，约维蒂奇门前抢点将球打进，非常漂亮的边中配合！1-1曼城扳平比分！                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
20'[此时此刻值得来杯嘉士伯]                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
21'百密一疏啊，斯旺西经不住曼城轮番进攻                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
21'曼城左路纳斯里卷土重来，阿圭罗强突，被斯旺西解围了                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
21'打平显然不是曼城的目标                   19'曼城沉稳组织攻势并在第19分钟扳平比分，亚亚-图雷分球右路，纳瓦斯传中，无人防守的约维蒂奇近距离扫射入网
