7'特拉奥雷为门兴赢得一个任意球.                   7'开场7分钟，香川真司直传，姆希塔良弧线球入远角，但被判越位
7'多特蒙德球员皮什切克拼抢犯规,对手获得控球权.                   7'开场7分钟，香川真司直传，姆希塔良弧线球入远角，但被判越位
8'多特蒙德球员香川真司一脚直塞球给姆希塔良,但是边裁举旗显示后者已经越位.                   7'开场7分钟，香川真司直传，姆希塔良弧线球入远角，但被判越位
10'施梅尔策将球处理出底线,门兴获得角球.                   7'开场7分钟，香川真司直传，姆希塔良弧线球入远角，但被判越位
53'特拉奥雷为门兴赢得一个任意球.                   51'6分钟后，施梅尔策左路传中，奥巴梅扬前点头球蹭入远角，2比0
53'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   51'6分钟后，施梅尔策左路传中，奥巴梅扬前点头球蹭入远角，2比0
54'门兴球员特拉奥雷拼抢犯规,对手获得控球权.                   51'6分钟后，施梅尔策左路传中，奥巴梅扬前点头球蹭入远角，2比0
54'姆希塔良为多特蒙德赢得一个任意球.                   51'6分钟后，施梅尔策左路传中，奥巴梅扬前点头球蹭入远角，2比0
50'进球啦！！！多特蒙德球员姆希塔良大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是罗伊斯. 多特蒙德 4-0 门兴.                   50'第50分钟，多特右路送出过顶球，罗伊斯反越位突入禁区右侧回敲被奥巴梅扬漏过，姆希塔良在门前10米处推进远角，4比0
53'特拉奥雷为门兴赢得一个任意球.                   50'第50分钟，多特右路送出过顶球，罗伊斯反越位突入禁区右侧回敲被奥巴梅扬漏过，姆希塔良在门前10米处推进远角，4比0
53'多特蒙德球员罗伊斯拼抢犯规,对手获得控球权.                   50'第50分钟，多特右路送出过顶球，罗伊斯反越位突入禁区右侧回敲被奥巴梅扬漏过，姆希塔良在门前10米处推进远角，4比0
