2'那不勒斯球员Duván Zapata大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是因西涅.                   2'开场2分钟，因西涅开出任意球，萨帕塔头球偏出右门柱
4'波尔塔诺瓦将球处理出底线,那不勒斯获得角球.                   2'开场2分钟，因西涅开出任意球，萨帕塔头球偏出右门柱
5'安东尼尼为热那亚在左路,赢得一个任意球.                   2'开场2分钟，因西涅开出任意球，萨帕塔头球偏出右门柱
5'那不勒斯球员梅斯托危险动作,对手获得控球权.                   2'开场2分钟，因西涅开出任意球，萨帕塔头球偏出右门柱
5'黄牌！那不勒斯球员梅斯托因为有危险动作,被主裁判出示黄牌.                   2'开场2分钟，因西涅开出任意球，萨帕塔头球偏出右门柱
14'进球啦！！！那不勒斯球员潘德夫大禁区外左脚射门,球从右下角飞进球门,球进了! 热那亚 0-1 那不勒斯.                   14'那不勒斯第14分钟取得领先，因西涅左路捅传，库奇卡中路解围，但回传力量太轻，潘德夫得球变线摆脱甘贝里尼，禁区边缘左脚低射钻进右下角，1比0
16'那不勒斯球员Duván Zapata拼抢犯规,对手获得控球权.                   14'那不勒斯第14分钟取得领先，因西涅左路捅传，库奇卡中路解围，但回传力量太轻，潘德夫得球变线摆脱甘贝里尼，禁区边缘左脚低射钻进右下角，1比0
16'甘贝里尼为热那亚赢得一个任意球.                   14'那不勒斯第14分钟取得领先，因西涅左路捅传，库奇卡中路解围，但回传力量太轻，潘德夫得球变线摆脱甘贝里尼，禁区边缘左脚低射钻进右下角，1比0
23'射门!!!热那亚球员安东尼尼大禁区中央头球,被对方守门员横身扑出.给他传球的是沃萨齐科.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
23'热那亚球员波尔塔诺瓦拼抢犯规,对手获得控球权.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
23'潘德夫为那不勒斯在对方半场,赢得一个任意球.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
23'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
23'卡列洪为那不勒斯在右路,赢得一个任意球.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
25'进球啦！！！那不勒斯球员潘德夫大禁区右侧右脚射门,球从左下角飞进球门,球进了! 热那亚 0-2 那不勒斯.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
26'库奇卡为热那亚赢得一个任意球.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
26'那不勒斯球员贝赫拉米拼抢犯规,对手获得控球权.                   23'第23分钟，弗尔萨利科右路传中，安东尼尼头球被雷纳得到
51'热那亚球员库奇卡大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是卡莱奥.                   51'第51分钟，库奇卡禁区边缘打偏
53'那不勒斯球员贝赫拉米拼抢犯规,对手获得控球权.                   51'第51分钟，库奇卡禁区边缘打偏
53'斯托扬为热那亚在对方半场,赢得一个任意球.                   51'第51分钟，库奇卡禁区边缘打偏
54'热那亚球员库奇卡大禁区外右脚射门,被防守球员封堵.                   51'第51分钟，库奇卡禁区边缘打偏
54'梅斯托为那不勒斯赢得一个任意球.                   51'第51分钟，库奇卡禁区边缘打偏
54'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   51'第51分钟，库奇卡禁区边缘打偏
62'热那亚球员吉拉迪诺大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是桑塔纳.                   62'第62分钟，桑塔纳左路传中，吉拉迪诺在门前10米处头球偏出左门柱
62'因勒为那不勒斯赢得一个任意球.                   62'第62分钟，桑塔纳左路传中，吉拉迪诺在门前10米处头球偏出左门柱
62'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   62'第62分钟，桑塔纳左路传中，吉拉迪诺在门前10米处头球偏出左门柱
62'热那亚球员库奇卡被主裁判出示了一张黄牌.                   62'第62分钟，桑塔纳左路传中，吉拉迪诺在门前10米处头球偏出左门柱
65'布里托斯为那不勒斯赢得一个任意球.                   62'第62分钟，桑塔纳左路传中，吉拉迪诺在门前10米处头球偏出左门柱
65'热那亚球员吉拉迪诺拼抢犯规,对手获得控球权.                   62'第62分钟，桑塔纳左路传中，吉拉迪诺在门前10米处头球偏出左门柱
82'因勒将球处理出底线,热那亚获得角球.                   82'第82分钟，卡拉约几乎攻破老东家球门，斯托扬右侧开出角球，卡拉约头球偏出左门柱
82'热那亚球员卡莱奥大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是斯托扬.                   82'第82分钟，卡拉约几乎攻破老东家球门，斯托扬右侧开出角球，卡拉约头球偏出左门柱
84'热那亚球员卡莱奥球门左侧小角度左脚射门,被防守球员封堵.给他传球的是斯托扬.                   82'第82分钟，卡拉约几乎攻破老东家球门，斯托扬右侧开出角球，卡拉约头球偏出左门柱
84'布里托斯将球处理出底线,热那亚获得角球.                   82'第82分钟，卡拉约几乎攻破老东家球门，斯托扬右侧开出角球，卡拉约头球偏出左门柱
85'卡列洪为那不勒斯赢得一个任意球.                   82'第82分钟，卡拉约几乎攻破老东家球门，斯托扬右侧开出角球，卡拉约头球偏出左门柱
85'热那亚球员沃萨齐科拼抢犯规,对手获得控球权.                   82'第82分钟，卡拉约几乎攻破老东家球门，斯托扬右侧开出角球，卡拉约头球偏出左门柱
