4'纽卡中场拿球给到右路                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
4'长传直接找西塞                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
4'纽卡右路下底到禁区内                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
5'西塞原地甩头攻门                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
5'球擦着球门上沿出了底线                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
5'这次的头球还是颇具威胁                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
5'也是给曼城的后防提了一个醒                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
5'佩雷斯左路拿球连续的晃动突破                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
5'左路下底给到禁区后点                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
5'曼城这边保险起见将球顶出底线                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
6'角球送前点，亚亚-图雷头球破坏出底线                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
6'纽卡继续角球机会                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
6'角球这次给了一个后点                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
6'这球直接出了远端边线                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
7'曼城长传打到前场                   4'纽卡斯尔第4分钟险些破门，汤森德右路传中，西塞12码处头球攻门稍稍高出
29'纽卡这边机会来了                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
29'中场西索科直接从对方脚下断球                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
30'自己带球一路杀到曼城禁区内                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
30'最后的推射没有什么力量                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
30'纽卡开场后也是错过进球的机会                   29'第29分钟，科拉罗夫横传被西索科拦截，后者从中后场连过2人突破至禁区边缘的单刀射门被乔-哈特没收
