9'北京国安球员徐云龙拼抢犯规,对手获得控球权.                   8'第8分钟，张稀哲边路拿球后横行内切远射，皮球高飞出界
9'王永珀为山东鲁能在对方半场,赢得一个任意球.                   8'第8分钟，张稀哲边路拿球后横行内切远射，皮球高飞出界
14'射门!!!北京国安球员乌塔卡大禁区中央左脚射门,被对方守门员横身扑出.                   12'第12分钟，王晓龙中场抢断成功，安塔尔快速回追将其放倒，安塔尔被主裁判黄牌警告
15'杨程将球处理出底线,北京国安获得角球.                   12'第12分钟，王晓龙中场抢断成功，安塔尔快速回追将其放倒，安塔尔被主裁判黄牌警告
16'进球啦！！！北京国安球员乌塔卡大禁区右侧右脚射门,球从左上角飞进球门,球进了!助攻的是朴成. 山东鲁能 0-1 北京国安.                   16'第16分钟，安塔尔中场传球失误，朴成得球送出直塞球，乌塔卡反越位成功获得单刀球，面对出击的杨程，小角度外脚背劲射得手，北京国安1-0领先
19'马季奇为北京国安赢得一个任意球.                   16'第16分钟，安塔尔中场传球失误，朴成得球送出直塞球，乌塔卡反越位成功获得单刀球，面对出击的杨程，小角度外脚背劲射得手，北京国安1-0领先
19'山东鲁能球员Vágner Love手球犯规,对手获得球权.                   16'第16分钟，安塔尔中场传球失误，朴成得球送出直塞球，乌塔卡反越位成功获得单刀球，面对出击的杨程，小角度外脚背劲射得手，北京国安1-0领先
19'暂停结束,球员们重新开始比赛.                   16'第16分钟，安塔尔中场传球失误，朴成得球送出直塞球，乌塔卡反越位成功获得单刀球，面对出击的杨程，小角度外脚背劲射得手，北京国安1-0领先
25'射门!!!山东鲁能球员蒿俊闵球门左侧小角度右脚射门,被对方守门员横身扑出.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
25'山东鲁能球员王永珀大禁区中央尝试右脚射门,可惜皮球高出右上角球门.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
26'北京国安球员朴成拼抢犯规,对手获得控球权.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
26'崔鹏为山东鲁能在右路,赢得一个任意球.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
27'北京国安球员乌塔卡拼抢犯规,对手获得控球权.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
27'王彤为山东鲁能赢得一个任意球.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
28'北京国安球员卡努特拼抢犯规,对手获得控球权.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
28'崔鹏为山东鲁能在左路,赢得一个任意球.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
28'山东鲁能球员郑铮一脚直塞球给Vágner Love,但是边裁举旗显示后者已经越位.                   25'第25分钟，山东鲁能打出流畅配合，洛维直塞球穿透防守，刘彬彬快速杀到禁区小角度劲射被杨智挡出，郑铮禁区内得球后直接远射，球打偏了
40'郎征将球处理出底线,山东鲁能获得角球.                   38'第38分钟，郎征飞铲洛维犯规，郎征吃到黄牌
