1'上半场比赛开始！！                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
1'首先开球的是皇马                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
1'皇马后场横向转移到边路                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
1'给到了左路                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
1'没什么机会将球回敲                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
2'莱万特前场断球                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
3'西蒙右路的传球被挡出底线                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
3'角球送后点                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
3'库尔图瓦出来将球得到                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
4'莱万特长传打到底线                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
4'库尔图瓦将球让出底线                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
4'莱万特左侧低平球给到禁区                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
4'中路先被后卫解围                   1'莱万特第1分钟并未保守，卡巴科传球，罗奇纳远射偏出
23'禁区外围的打门打在防守球员身上出了底线                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
23'莱万特的角球                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
23'角球送中路                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
23'头球蹭了一下                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
23'后点！！！                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
23'队友跟进勾回来                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
24'中路的包抄点又少了                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
25'上半场比赛打过一半了                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
25'皇马有些被动啊                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
26'罗杰前场上抢有一个瞪踏的动作                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
26'罗杰得到一张黄牌！                   23'第23分钟，坎帕尼亚左路战术角球传中，罗贝尔头球攻门，马尔蒂小禁区右侧铲射击中近角立柱弹回
43'莱万特球员还在解释，说挡脸                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
43'但裁判并没有接受这一说法                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
43'本泽马来主罚                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
43'本泽马最爱右下角                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
43'看看这次打哪                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
43'还是直接推了右下角！！                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
43'0-1！！！                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
44'费尔南德斯判断错了方向                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
44'本泽马通过点球帮助皇马取得领先！！                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
45'莱万特前场中路送直塞                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
45'罗杰禁区内形成单刀推射！！                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
45'立柱啊！！                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
45'可惜                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
45'莱万特险些快速扳平比分                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
45'皇马左侧攻上来                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
46'底线的传球出界                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
46'上半场补时1分钟！！                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
46'下半场比赛开始！！                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
46'下半场比赛由莱万特开球                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
46'中场休息的时候双方都没有做出人员调整                   43'皇马第43分钟打破僵局，摩德里奇右路传中，巴尔迪禁区内手球犯规，主裁观看回放后判罚极刑，本泽马主罚点球命中
56'任意球给到中路                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
56'本泽马的头球攻门顶高了                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
57'下半场进行了10分钟，皇马的攻势还是比较猛的                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
57'裁判这边又要出牌                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
57'莱万特球员的动作有些大啊                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
58'罗奇纳得到一张黄牌！                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
58'莱万特球员的心态稍微有些失衡                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
59'莱万特中场传球往前送                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
59'失误了                   56'第56分钟，克罗斯右路任意球传中，本泽马小禁区前头球攻门击中横梁
71'皇马前场反抢的是时候犯规                   71'第71分钟，卢卡斯直传，维尼修斯突入禁区左肋的单刀射门被扑出
