1'上半场比赛开始                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
1'鲁能泰山队中圈开球                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
1'今天鲁能泰山队身着白色服装，而长春亚泰队身着红色服装                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
1'长春亚泰队后场拿球，右路快速进攻到前场，被杜威捅出底线                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
1'角球机会啊！                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
2'角球发到禁区内！被顶出来，李光的一脚远射，打在广告片上弹在球网！大家以为进了呢                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
2'王大雷大脚开球过中场，对方把球回传，交给门将                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
3'用户1zk47bcabz：长春开场挺猛啊回复[第一次进攻就有威胁！]                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
3'阿洛伊西奥直传球，交给洛维！                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
3'洛维突破，对方把球破坏                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
3'鲁能泰山队发出前场界外球，中路挑传右路                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
4'洛维接球，被三分盯防，把球抢断下来                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
4'从正常的实力来看，长春亚泰队不弱啊！但到目前为止战绩并不好！                   1'第1分钟，主场作战的长春亚泰占据场上进攻主动权
7'戴琳后场抢球犯规，放倒了贝切莱，长春亚泰队得到任意球机会                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
7'任意球发到前点！好悬啊！拉斐尔侧身打门，被挡出来！                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
8'从目前的表现来看，长春亚泰队的威胁更大一些！他应该是一支中游偏上的球队啊！                   7'第7分钟，长春亚泰任意球发到前点，拉斐尔转身射门被挡出
